news_title,news_content,published_date
"'KBO의 화이트삭스' 키움, 시즌 100패 페이스?...'야구는 투수 놀음' 거스런 혹독한 대가 치러, 삼성에 이틀간 24실점","후라도
미국프로야구 메이저리그의 다저스가 매년 강팀으로 군림하고 있는 원동력은 강력한 투수진 때문이다. 그들은 매년 투수진 보강에 아낌없이 투자한다. 야구는 투수놀음이기 때문이다.

단순한 논리이지만 진리이기도 하다. 타자들이 점수를 많이 낸다고 해도 투수들이 더 많은 점수를 내주면 패하게 돼 있다.

키움 히어로즈는 지난해 58승 86패로 꼴찌에 머물렀다.

그런데 올해는 100패 페이스다. 투수진이 더 허약해졌기 때문이다. 작년 외국인 투수 헤이수스와 후라도는 23승을 합작했다. 하지만 올해는 반타작도 힘들게 생겼다. 외국인 투수가 1명밖에 되지 않는다. 대신 외국인 타자를 2명으로 했다.

푸이그와 카니데스는 삼성 라이온즈와의 2연전에서 맹타를 휘둘렀다. 그러나 투수들이 삼성 타자들에게 2경기에서 홈런 6개 포함 33개의 안타를 얻어맞고 24실점 하며 참담하게 무너졌다.

문제는 이런 일이 시즌 내내 일어날 수 있다는 데 있다. 그렇게 되면 키움은 'KBO의 화이트삭스'가 될 수 있다. 화이트삭스는 지난해 162경기 중 121패를 했다.

키움은 단순한 진리를 거스르다 혹독한 대가를 치르고 있다.

앞으로 9개 구단은 키움을 승수 챙기기 먹잇감으로 여기고 총력을 기울일 것이다. 화이트삭스를 상대한 팀들이 그랬다.",2025-03-23
"홈런→볼넷→안타→전율의 KKK…에이스가 돌아온다, 원태인 퓨처스서 3이닝 1실점 쾌투","[마이데일리 = 김경현 기자] 삼성 라이온즈의 '에이스' 원태인의 1군 복귀가 임박했다. 원태인은 23일 함평 KIA 챌린저스 필드에서 열린 2025 메디힐 KBO 퓨처스리그 KIA 타이거즈와의 경기에서 선발투수로 등판해 3이닝 2피안타(1피홈런) 5탈삼진 1실점을 기록했다. 투구 수는 50개를 기록했다. 이 중 스트라이크가 33개로 깔끔한 비율을 보였다. 시작은 불안했다. 원태인은 1회 선두타자 정해원에게 중월 솔로 홈런을 허용했다 비거리가 125m나 나왔을 정도로 잘 맞은 타구. 이어 김석환에게 볼넷, 변우혁에게 안타를 맞고 무사 1, 2루에 몰렸다. 우리가 알던 모습으로 돌아왔다. 대량 실점 위기에서 원태인은 오선우-이영재-고종욱을 연달아 삼진으로 솎아내며 이닝을 마쳤다. 고종욱 상대 삼진이 백미였다. 초구와 2구 모두 볼을 던져 불리하게 승부를 시작했다. 파울로 첫 스트라이크를 만들었고, 연속으로 헛스윙을 유도해 위기를 탈출했다. 이후 원태인은 2회와 3회를 삼자범퇴로 정리했다. 4회부터 박준용이 등판, 원태인은 이날 임무를 마쳤다. 드디어 1군 등판이 가시권에 들어왔다. 원태인은 지난해 한국시리즈 4차전 경기 도중 어깨 통증을 호소하며 강판됐다. 검진 결과 오른쪽 어깨 관절 와순 손상 진단을 받았다. 결국 시즌 아웃되며 팀의 준우승을 지켜봐야 했다. 겨울내내 착실히 재활을 소화했고, 이날 퓨처스리그에서 막판 점검에 나선 것. 3월 말 복귀 예정이다. 23일 박진만 감독은 ""원태인과 데니 레예스가 생각보다 빨리 복귀할 것 같다""며 ""계획은 잠실 경기에 맞추고 있다""고 설명했다. 삼성은 28~30일 두산 베어스와 잠실에서 격돌한다. 다음주 주말 시리즈에서 복귀전을 치르는 것. 오른발 중족골 미세 피로골절로 이탈한 레예스도 마운드에 오른다. 레예스는 25일 경산 KT 위즈전 마운드에 오를 계획이다. 삼성 선발진의 정상화가 머지 않았다. 현재 삼성은 베테랑 좌완 백정현과 우완 김대호가 임시 선발로 투입된 상태다. 원태인과 레예스가 합류한다면, 후라도-레예스-원태인-최원태-좌완 이승현이라는 황금의 선발진을 구성하게 된다.",2025-03-23
"'디아즈 홈런 2방' 삼성, 불방망이 앞세워 이틀 연속 키움에 승리","멀티 홈런 친 삼성 디아즈. [삼성 라이온즈 제공]




삼성 라이온즈가 화끈한 방망이를 앞세워 개막 2연승을 달렸다.

삼성은 23일 대구 삼성라이온즈파크에서 열린 2025 신한 SOL 뱅크 KBO리그 키움 히어로즈와 경기에서 르윈 디아즈와 김영웅, 박병호가 홈런 4방을 몰아치는 등 장단 15안타를 터뜨려 11-7로 승리했다.

이틀간 33안타로 무려 24점을 뽑은 삼성은 LG 트윈스, SSG 랜더스와 함께 공동 선두를 형성하며 기분 좋게 출발했다.

양 팀 선발투수가 3회에 조기 강판한 가운데 삼성 타선의 화력이 돋보였다.

삼성이 2회말 2사 후 5연속 안타와 실책을 묶어 4점을 뽑자, 키움은 3회초 2사 만루에서 최주환이 2타점 적시타를 날려 2-4로 추격했다.

삼성은 3회말 르윈 디아즈가 우중월 솔로아치를 그려 5-2로 달아났으나 키움은 4회초 루벤 카디네스의 적시타로 다시 2점 차로 따라붙었다.

그러나 삼성은 5회말 김영웅이 솔로 홈런, 6회말 박병호가 투런 홈런을 날려 9-3으로 달아나며 키움의 추격을 뿌리쳤다.

키움은 8회초 카디네스가 만루홈런을 날리며 맹추격했으나 삼성은 공수 교대 후 디아즈가 다시 투런포를 외야 스탠드에 꽂아 쐐기를 박았다.

삼성이 개막 이후 2연승에 성공하는 순간이었다.",2025-03-23
"박진만 감독도 뿌듯 ""역시 홈런의 팀""→'2홈런' 디아즈 ""치자마자 느낌 왔어""","▲ 환하게 웃는 르윈 디아즈 ⓒ 삼성 라이온즈


[스포티비뉴스=대구, 맹봉주 기자] ""맞자마자 홈런을 직감했어요.""

개막 시리즈부터 홈런이 폭죽처럼 터진다. 삼성 라이온즈가 홈구장 대구 삼성라이온즈파크에서 이틀 연속 무시무시한 공격력을 자랑했다.

23일 삼성은 대구 삼성라이온즈파크에서 열린 2025 신한 SOL 뱅크 KBO리그 경기서 키움 히어로즈를 11-7로 이겼다. 개막 후 2연승으로 기분 좋은 출발을 알렸다.

이날 삼성은 총 18안타에 4홈런을 터트리며 키움을 힘으로 찍어 눌렀다. 특히 르윈 디아즈의 방망이가 뜨거웠다. 첫 경기에 4타수 3안타 2타점 1득점, 23일 경기는 5타수 2안타(2홈런) 3타점 2득점으로 맹타를 휘둘렀다.

삼성 박진만 감독은 ""홈런의 팀답게 타자들이 잘 쳤다. 전반적으로 선수들이 준비를 충실히했다. 덕분에 개막 2연전을 잘 치를 수 있었다""고 만족감을 드러냈다.

▲ 디아즈 ⓒ 삼성 라이온즈


경기 후 디아즈는 쾌조의 타격감을 밝혔다. ""2개 다 맞자마자 홈런을 직감했다. 처음 공은 높이 떠서 잠깐 봤다. 두 번째는 사실 치자마자 넘어갈 것 같았다. 이런 경기가 이번 시즌 많아야 할 것 같다""고 홈런 친 순간을 돌아봤다.

이어 ""타석에 들어서면서 점수가 필요한 상황임을 알고 있었다. 홈런보다는 어떻게 해서든 분위기를 연결해야겠다는 생각이었다. 좋은 공을 놓치지 말자고 다짐했다. 베트 중심에 잘 맞아서 넘어간 것 같다""고 덧붙였다.

팬들에 대한 감사한 마음도 잊지 않았다. 삼성라이온즈파크는 이틀 연속 24,000석이 가득 찼다.

디아즈는 ""야구장에 나와서 팬들을 만나는 게 정말 너무 즐겁다. 팬들에게 정말 고맙다""고 팬들에게 인사했다.",2025-03-23
"""물건이네!"" 삼성 배찬승, 1군 데뷔전 155km 괴력투 ""오승환 선배님과 비교되는 자체가 엄청난 영광"" [오!쎈 대구]","[OSEN=대구, 손찬익 기자] “엄청 긴장하고 떨리긴 했지만 꿈꿔왔던 순간이라 빨리 올라가고 싶었다. 설렘이 더 컸던 거 같다”. 프로야구 삼성 라이온즈의 ‘슈퍼 루키’ 배찬승이 1군 무대 첫 등판에서 완벽투를 뽐냈다. 대구고를 졸업한 뒤 올 시즌 삼성 유니폼을 입은 배찬승은 23일 대구삼성라이온즈파크에서 열린 키움 히어로즈와의 홈경기에서 세 타자를 꽁꽁 묶었다. 최고 구속 155Km까지 스피드건에 찍혀 화제를 모았다. 6-3으로 앞선 6회 마운드에 선 배찬승. 첫 타자 박주홍을 1루수 파울 플라이로 유도했다. 곧이어 메이저리그 통산 132홈런 타자 야시엘 푸이그를 2루 땅볼로 제압했다. 2사 후 이주형을 포수 스트라이크 낫 아웃으로 처리하며 이닝 마무리. 삼성은 키움을 11-7로 꺾고 개막 2연전을 쓸어 담았다. 박진만 감독은 “배찬승은 타순을 고려해 6회에 투입했다. 구위도 좋았지만 마운드 위에서 기존 선수들보다도 더 여유 있는 모습을 보여준 것 같아 믿음직스럽다”고 환한 미소를 지었다. 포수 강민호는 “진짜 물건이다. 더 이상의 설명이 필 요없다. 앞으로 더 잘할 것”이라고 박수를 보냈다. 다음은 배찬승과의 일문일답. ▲엄청 긴장하고 떨리긴 했지만 꿈꿔왔던 순간이라 빨리 올라가고 싶었다. 설렘이 더 컸던 거 같다 ▲힘줘서 존 안에 던졌는데 그렇게 잘 나올 줄 몰랐다. ▲안 떨리는 것처럼 보이지만 많이 떨렸다. ▲조금씩 들렸다. 지금껏 야구하면서 이렇게 큰 관심을 받는 건 처음이다. 기분 좋다. ▲공이 너무 좋다고 칭찬해주셨다. ▲초구 스트라이크를 잡고 들어가는 게 투수에게 유리하기 때문에 그 부분에 최대한 신경 쓰면서 스트라이크를 많이 잡으려고 했다. ▲선배님과 대화를 많이 나누지 못했지만 대선배님과 비교되는 자체가 엄청난 영광이다. 책임감을 가지고 던져야겠다는 생각이 들었다. ▲아무래도 두 번째 등판부터 여유가 생길 것 같다. ▲동생이 어제 만루 홈런을 터뜨려 되게 뿌듯했다. 동생의 좋은 기운이 제게 온 것 같다. ▲너무 좋게 말씀해주셔서 정말 감사하게 생각한다. 기회를 주신 것도 감사드린다. 앞으로 더 좋은 모습으로 기대에 부응하고 싶다. ▲아직 많이 부족하다고 생각하고 더 잘해야 한다. 더 노력하면 할 수 있지 않을까. (마무리 투수가 되는) 상상은 계속하고 있다. 마무리 투수 정말 매력 있을 것 같다. /what@osen.co.kr",2025-03-23
"2HR 다음은 4HR…삼성 타선, 라팍을 지배했다","사진=삼성라이온즈 제공
한 번 터지면, 멈출 수 없다. 프로야구 삼성이 무시무시한 화력을 자랑했다. 23일 대구 삼성라이온즈파크서 열린 키움과의 ‘2025 신한 쏠뱅크 KBO리그’ 홈경기서 11-7 승리를 거뒀다. 개막전이었던 22일 13-5 대승을 거둔 데 이어 두 경기 연속 두 자릿수 득점을 올리며 포효했다. 이틀 연속 승리 원동력이 비슷했다. 삼성표 다이너마이트 타선이 주효했다. 홈런 4방을 비롯해 장단 15안타를 때려냈다. 언제 터질지 모르는 한방은 상대 마운드를 압박하기 충분했다. 르윈 디아즈가 멀티홈런을 때려낸 가운데 신구 거포 박병호와 김영웅이 각각 손맛을 봤다. 전날에도 삼성은 홈런 2개 등 18안타를 합작하며 신바람을 낸 바 있다. 사진=삼성라이온즈 제공
 
마운드에도 긍정적인 영향을 미친다. 삼성 선발진은 아직 완전체가 아니다. 대니 레예스와 원태인이 빠져 있다. 다행히 오래 비우진 않는다. 3월 말 나란히 돌아올 예정이다. 로테이션 한 텀 정도는 버텨야 하는 상황. 날카로운 공격력은 큰 도움이 된다. 이날 선발투수로 나선 백정현이 2⅔이닝 만에 물러났다. 전날 아리엘 후라도가 6이닝을 책임진 덕분에 불펜 데이가 가능했다. 신인 배찬승을 포함해 총 8명의 투수가 마운드에 올랐다. 8회 초 우완 이승현이 루벤 카디네스에게 만루 홈런을 허용했지만 거기까지였다. 워낙 점수 차가 있었던 데다 8회 말 디아즈가 곧바로 쐐기포를 터트리며 추격의 의지를 꺾었다. 사진=삼성라이온즈 제공
 
수장도 만족감을 드러냈다. 박진만 삼성 감독은 “홈런의 팀답게 타자들이 잘 쳤다. 전반적으로 선수들이 준비를 충실히 한 덕분에 개막 2연전을 잘 치를 수 있었다”고 승리 소감을 전했다. 이날 프로 데뷔전을 치른 신인 배찬승에 대해선 “타순을 고려해 6회 투입했다. 구위도 좋았지만, 마운드 위에서 기존 선수들보다도 더 여유 있는 모습을 보여준 것 같아 믿음직스럽다”고 기대감을 드러냈다. 대구=이혜진 기자 hjlee@sportsworldi.com",2025-03-23
"'미쳤다' 2구 만에 배트 박살, 푸이그 상대로 '155km' 한가운데 배짱투…8구 만에 괴물 루키 증명","공 2개 만에 배트를 박살냈다. 공은 시속 153km의 돌직구. 이어 상대한 전 메이저리거를 상대로는 초구에 155km 공을 한가운데에 꽂아 넣었다. 공도 놀라운데 배짱이 놀랍다. 더 놀라운 건 이날 데뷔전을 치른 신인이라는 것이다. 삼성 라이온즈 신인 투수 배찬승이 데뷔전 강렬한 인상을 남겼다. 배찬승은 23일 대구 삼성라이온즈파크에서 열린 키움 히어로즈와의 2025 신한은행 SOL 뱅크 KBO리그 2차전에 6회 초 팀의 다섯 번째 투수로 등판, 1이닝 동안 8개의 공을 던져 삼진 1개 무실점 완벽투를 선보였다. 배찬승의 데뷔전이었다. 2025시즌 삼성의 1라운더 신인인 배찬승은 지난 스프링캠프와 시범경기에서 강렬한 인상을 남긴 뒤 1군 엔트리까지 승선했다. 팀 내 유일한 좌완 불펜 투수로 엔트리에 이름을 올린 그는 이날 처음으로 마운드에 올라 데뷔전을 치렀다. 데뷔전이 강렬했다. 선두타자 박주홍과의 승부에서 초구 시속 150km의 공을 던진 배찬승은 2구째 153km의 강속구를 던져 박주홍의 배트를 이끌어냈다. 배트에 맞는 순간 둔탁한 소리가 났고 배트가 쪼개졌다. 1루수 파울 플라이로 이어졌다. 배찬승의 강력한 구위가 돋보인 장면이었다. 이후 배찬승은 야시엘 푸이그를 만났다. 푸이그는 메이저리그 통산 861경기 타율 0.348, 132홈런에 빛나는 강타자다. 150km의 강속구라도 그에겐 익숙한 구속일 법했다. 하지만 배찬승은 주눅들지 않았다. 초구로 시속 155km의 공을 한가운데 꽂아 넣었다. 허를 찔린 푸이그는 파울로 걷어냈다. 이후 배찬승은 슬라이더 2개로 푸이그를 땅볼 처리했다. 3구는 배짱 좋게 존에 걸치는 슬라이더를 던져 푸이그를 돌려 세웠다. 전직 메이저리거를 상대로 배짱투를 선보였다. 다음 타자는 '이정후의 후계자' 이주형. 타격 능력이 뛰어난 이주형을 상대로 152km, 153km의 강속구를 던져 헛스윙을 이끌어내더니, 낮게 떨어지는 141km 슬라이더로 헛스윙을 다시 끌어내면서 삼자범퇴 이닝을 만들었다. 데뷔전을 8구만에 끝냈다. 하지만 강렬한 인상을 주기엔 충분했다. 그동안 삼성에 없던 '좌완 파이어볼러'로서 미래를 기대하게 했다. 윤승재 기자",2025-03-23
"디아즈 솔로포→카디네스 그랜드슬램→디아즈 2점 아치, 삼성 전·현직 외인타자 '홈런 맞대결'... 삼성 개막 2연승","[스타뉴스 | 양정웅 기자] 전·현직 삼성 라이온즈 외국인 타자가 '홈런 쇼다운'을 펼쳤다. 2경기에서 24점을 몰아친 삼성이 개막 2연승을 질주했다. 삼성은 23일 오후 2시 대구 삼성 라이온즈 파크에서 열린 키움 히어로즈와 2025 신한 SOL Bank KBO 리그 정규시즌 홈경기에서 11-7 승리를 거뒀다. 전날 열린 개막전에서도 홈런 2방을 터트려 13-5로 이겼던 삼성은 이로써 LG 트윈스, SSG 랜더스와 함께 2연승을 달리면서 공동 선두에 올랐다. 반면 다 따라간 경기를 놓친 키움은 두산 베어스, 롯데 자이언츠와 함께 공동 8위가 됐다. 앞선 경기의 흐름을 이어간 삼성은 초반부터 대량 득점을 올렸다. 2회말 2사 후 김헌곤과 김영웅의 연속 안타로 1, 3루 찬스를 잡은 후 이재현의 좌전 적시타로 선취점을 올렸다. 이어진 만루 기회에서도 류지혁의 2타점 적시타와 상대 실책 속에 4점을 몰아쳤다. 삼성은 3회말에도 르윈 디아즈의 솔로포로 한 점을 추가했다. 하지만 키움의 추격도 만만찮았다. 3회초 야시엘 푸이그의 볼넷과 루벤 카디네스의 안타, 김동헌의 몸에 맞는 볼로 2사 만루를 만든 키움은 2번째 투수 양창섭으로부터 최주환이 2타점 적시타를 뽑아냈다. 카디네스가 4회초에도 왼쪽으로 향하는 1타점 적시타를 뽑아내며 키움은 3-5로 쫓아갔다. 경기 중반 들어 삼성이 꾸준히 점수를 올리며 격차를 벌렸다. 5회말 김영웅의 솔로포로 도망가기 시작한 삼성은 6회말에도 박병호가 키움 이강준의 패스트볼을 공략, 오른쪽 담장을 넘어가는 투런 홈런을 폭발시켰다. 여기서 그치지 않고 7회 류지혁의 희생플라이까지 나오며 삼성은 6점 차를 만들며 승부를 결정짓는 듯했다. 하지만 삼성은 '어제의 동지'에게 한방 얻어맞으며 위기에 몰렸다. 8회초 키움은 1사 후 전태현의 볼넷과 박주홍, 푸이그의 연속 안타로 만루 기회를 잡았다. 이주형이 삼진으로 물러났지만, 카디네스가 이승현의 슬라이더를 공략해 좌월 만루홈런을 터트렸다. 이 그랜드슬램으로 키움은 7-9로 턱밑까지 쫓아갔다. 역전 위기에 처했던 삼성을 구한 것도 홈런이었다. 8회말 삼성은 선두타자 강민호가 2루타를 기록했고, 이어 나온 디아즈가 키움 원종현의 변화구를 놓치지 않고 받아쳤다. 타구는 우중간을 향해 날아가 담장을 넘어갔다. 본인의 시즌 2번째 홈런이었다. 삼성은 8회 올라온 김재윤이 1⅓이닝을 잘 틀어막아 승리를 지켰다. 이날 홈런을 주고받은 카디네스와 디아즈는 묘한 인연이 있다. 카디네스는 2024시즌 도중 데이비드 맥키넌의 대체선수로 삼성 유니폼을 입었다. 임팩트 있는 모습을 보여주며 7경기에서 타율 0.333, 2홈런으로 장타력을 과시했다. 하지만 옆구리 통증을 호소하며 엔트리에서 제외됐고, 설상가상으로 복귀 후 안일한 수비를 펼쳐 코칭스태프의 눈밖에 났다. 결국 삼성은 카디네스를 방출하고 디아즈를 데려와 남은 시즌 치렀다. 29경기에서 홈런 7개를 기록한 디아즈는 포스트시즌에서도 맹활약했고, 결국 삼성과 재계약을 맺게 됐다. 한국 무대를 잠시 떠났던 카디네스도 키움과 계약하며 KBO로 돌아왔다. 개막 2경기에서 카디네스는 0.667(9타수 6안타)의 타율과 1개의 홈런, 디아즈는 타율 0.556(9타수 5안타)과 2홈런으로 나란히 맹타를 휘둘렀다.",2025-03-23
"최고 구속 155km…배찬승, '괴물 신인' 맞았다→강속구로 이닝 삭제","[스포티비뉴스=대구, 맹봉주 기자] 드디어 모습을 드러냈다. 삼성 라이온즈 신인투수 배찬승이 프로야구 데뷔전을 치렀다. 23일 대구 삼성라이온즈파크에서 열린 2025 신한 SOL 뱅크 KBO리그 키움 히어로즈전이 무대였다. 개막전이었던 22일엔 나서지 않았다. 삼성은 초반부터 대량 득점에 성공하며 넉넉하게 이겼다. 신인의 데뷔전으로는 부담을 덜어줄 수 있었지만, 삼성 박진만 감독은 배찬승을 쓰지 않았다. 배찬승을 필승조로 생각한다는 의미. 박진만 감독은 ""어제(22일)는 아껴두려고 했다. 점수 차가 있지 않았나""라고 말했다. 이날은 일찍이 등판을 예고했다. ""오늘(23일)은 등판하지 않을까 한다. 내일(24일)은 휴식일이다. 불펜 투수들이 몇 개 던지지 않아 오늘은 웬만하면 다 투입시키려 한다""고 밝혔다. 배찬승은 6회초 삼성이 6-3으로 이기고 있는 상황에서 마운드에 올랐다. 초구부터 강렬했다. 구속 150km 공을 뿌렸다. 두 번째 공은 153km. 키움 타자 박주홍의 베트를 부러트린 강력한 패스트볼이었다. 다음 타자 야시엘 푸이그에게 던진 초구는 155km가 찍혔다. 공 세 개 연속 구속이 증가하며 타자들을 힘으로 압도했다. 패스트볼 구위가 워낙 위력적이다보니, 변화구 쓰기가 더 편했다. 키움 타자들은 배찬승의 강속구를 대비하다 슬라이더에 당했다. 푸이그, 이주형 모두 배찬승 슬라이더에 아웃됐다. 1이닝을 공 단 8개로 마쳤다. 삼진 1개가 곁들인 1이닝 무안타 무실점 경기였다. 삼성이 11-7로 이기며 홀드까지 기록했다. 신인선수의 데뷔전 홀드는 프로야구 역대 10번째다. 경기 후 박진만 감독은 ""타순을 고려해 배찬승을 6회에 투입했다. 구위도 좋았지만, 마운드 위에서 기존 선수들보다 더 여유 있는 모습을 보여준 것 같아 믿음직스럽다""고 배찬승의 투구를 칭찬했다. 배찬승은 현재 삼성 불펜 라인업에 있는 유일한 왼손 투수다. 팀 내 가치가 굉장히 높다는 뜻. 데뷔전 투구를 꾸준히 이어간다면 삼성의 굳건한 필승조로 자리잡는 건 물론이고, 신인왕까지 넘볼 수 있다.",2025-03-23
"빛났던 '디아즈·배찬승'…삼성라이온즈 순풍 질주, 개막 홈 2연승","한 경기 2개의 홈런으로 팀 승리를 이끈 디아즈와 신인 데뷔 경기 10번째 홀드를 기록한 배찬승이 빛났던 삼성라이온즈가 개막 2연승으로 공동 선두에 올라섭니다.

23일 오후 대구삼성라이온즈파크에서 펼쳐진 2025 신한 SOL BANK KBO리그 키움히어로즈와의 시즌 2차전에서 삼성은 4개의 홈런과 불펜 5명의 무실점 투구에 힘입어 11-7로 승리합니다.

백정현과 하영민의 선발 맞대결로 맞붙은 경기에서 기선 제압은 삼성이었습니다.

2회말 2사 이후 김헌곤의 안타로 시작된 찬스에서 삼성은 김영웅-이재현-김지찬-류지혁의 연속안타와 상대 실책을 더해 4점을 선취해 앞서갑니다.

선발 백정현이 3회초 2사 위기 상황에서 내려간 뒤, 2실점으로 끌려갔지만, 3회말 디아즈의 시즌 마수걸이 홈런으로 다시 리드를 더한 삼성은 다시 추격하던 키움을 5회 터진 김영웅의 첫 홈런으로 달아납니다.

6회말 박병호의 1호 홈런으로 2점을 더한 삼성은 8회초 카디네스의 리그 첫 만루홈런으로 2점 차 추격을 허용했지만, 8회말 디아즈가 시즌 두 번째 홈런을 2점 홈런으로 추가하며 승기를 확정했습니다.

타자들의 활발한 홈런포 사이 투수들도 역시 중간계투로서 가능성을 입증한 삼성은 특히, 신인 배찬승의 호투가 눈부셨습니다.


8-3으로 삼성이 앞서던 7회초 등판한 배찬승은 8개의 투구로 삼진 1개 포함 삼자범퇴 이닝으로 엄청난 신인 탄생을 예고합니다.

홈런의 힘과 불펜의 가능성을 바탕으로 개막 2연승과 함께 공동 선두에 등극한 삼성은 오는 화요일부터 NC다이노스를 상대로 홈 주중 3연전을 펼칩니다.
(사진제공-삼성라이온즈)",2025-03-23
