news_title,news_content,published_date
엄상백 '첫 출격을 앞두고 불펜피칭 직캠!'[엑's 숏폼],"(엑스포츠뉴스 잠실, 김한준 기자) 25일 오후 서울 송파구 잠실야구장에서 열린 '2025 신한 SOL Bank KBO리그' 한화 이글스와 LG 트윈스의 경기, 경기 전 한화 엄상백이 불펜피칭을 하고 있다.

4년 최대 총액 78억원에 계약하며 한화 유니폼을 입은 엄상백은 26일 잠실 LG와의 경기에서 팬들에게 첫 선을 보인다.",2025-03-25
"프로야구 LG, 개막 후 3연속 매진…전산화 한 2001년 이후 처음(종합)","한화 대 LG 경기
(서울=연합뉴스) 윤동진 기자 = 25일 잠실야구장에서 열린 2025 KBO리그 한화 이글스 대 LG 트윈스 경기. 2회 말 한화 선발투수 류현진이 역투하고 있다. 2025.3.25 mon@yna.co.kr


(서울=연합뉴스) 김경윤 기자 = 프로야구 LG 트윈스가 2001년 이후 처음으로 개막전 이래 3경기 연속 매진을 기록했다.

LG는 25일 ""서울 잠실구장에서 열린 한화 이글스와 홈 경기 입장권 2만3천750장이 모두 팔렸다""고 밝혔다.

개막전부터 3경기 연속 매진이 나온 건 한국야구위원회(KBO)가 관중 집계를 전산화한 2001년 이후 처음이다.

LG는 22일과 23일 잠실구장에서 열린 롯데 자이언츠와 개막 2연전도 만원 관중을 모았다.

프로야구는 올 시즌 역대 최초로 개막 2연전 10경기 매진을 기록하는 등 뜨거운 열기를 이어가고 있다.

cycle@yna.co.kr",2025-03-25
"류현진, 빛바랜 생일날 역투...한화, 불펜 난조-타선 침묵에 와르르","[이데일리 스타in 이석무 기자] ‘괴물 에이스’ 류현진(한화이글스)이 올 시즌 첫 선발등판에서 눈부신 호투로 마운드를 지배했다. 하지만 야구는 혼자 힘으로 승리를 가져올 수 없었다. 25일 잠실야구장에서 열린 2025 KBO리그 한화이글스 대 LG트윈스 경기. 1회 말 한화 선발투수 류현진이 역투하고 있다. 사진=연합뉴스
25일 잠실야구장에서 열린 2025 KBO리그 한화이글스 대 LG트윈스 경기. 2회말 한화 선발투수 류현진이 역투하고 있다. 사진=연합뉴스
류현진은 25일 잠실구장에서 열린 프로야구 2025 신한 SOL 뱅크 KBO리그 LG트윈스와 원정경기에 선발등판해 6이닝을 3피안타 무실점으로 틀어막았다. 삼진은 5개를 잡았고 사사구는 1개도 허용하지 않았다. 마침 이날은 류현진의 38번째 생일이라 호투가 더 의미있었다. 류현진은 한국과 미국에서 활약하면서 생일날 등판한 것이 이번이 처음이다. 총 81개 공을 던진 가운데 최고 구속은 148km를 찍었다. 직구(43개), 체인지업(22개), 컷패스트볼(12개), 커브(3개), 슬라이더(1개) 등 다양한 구종을 구사했다. 개막전 선발 등판을 외국인투수 코디 폰세에게 양보하고 3선발로 나선 류현진은 1회말 첫 타자 홍창기를 루킹 삼진으로 잡으며 산뜻하게 출발했다. 1회를 삼자범퇴로 처리한 류현진은 2회말도 선두타자 문보경에게 좌전 안타를 내줬을 뿐 이후 세 타자를 가볍게 범타 처리했다. 3회말에는 박해민과 구본혁을 연속 삼진 처리하는 등 다시 삼자범퇴로 이닝을 마무리했다. 류현진은 0-0으로 맞선 4회말 선두 타자 송찬의에게 좌중간 2루타를 허용하면서 첫 실점 위기를 맞이했다. 하지만 송찬의가 3루 도루를 시도하는 것은 포수 최재훈이 잡아내면서 고비를 넘겼다. 류현진은 5회말에도 선두타자 오지환을 루킹 삼진으로 돌려세웠다. 다음 타자 박동원에게 우전 안타를 내줬지만 대타 김현수와 박해민을 연속 내야 땅볼로 잡고 무실점 행진을 이어갔다. 6회말에도 구본혁, 홍창기, 송찬의를 삼자범퇴로 잡아낸 류현진은 0-0으로 맞선 7회말 수비 때 구원투수 박상원과 교체돼 승리투수가 되진 못했다. 마운드를 내려간 류현진은 더그아웃에서 구원투수들이 와르르 무너지는 모습을 씁쓸하게 지켜봐야 했다. 류현진이 내려가자마자 한화 불펜은 기다렸다는 듯이 볼넷을 남발하며 실점을 헌납했다. 7회말에 올라온 박상원은 오스틴 딘과 문보경을 연속 볼넷으로 내보내고 무사 1, 2루 위기를 자초했다. 앉아서 기회를 잡은 LG는 오지환의 희생번트로 1사 2, 3루를 만든 뒤 박동원의 3루수 땅볼로 안타 1개 없이 0의 균형을 깼다. 한화는 8회말 4점이나 내주면서 추격의지가 꺾였다. 특급 신인으로 기대를 모았던 정우주가 마운드에 올랐지만 아웃카운트 1개도 잡지 못하고 볼넷, 안타, 몸에 맞는 공으로 무사 만루 위기를 자초한 뒤 강판됐다. 또다시 거저 찬스를 잡은 LG는 급하게 올라온 좌완 김범수를 상대로 오스틴이 중전 적시타, 문보경이 2타점 우측 2루타를 때려 승부에 쐐기를 박았다. 결과는 LG의 5-0 완승. 한화 방망이도 할 말은 없었다. 이날 한화는 LG 선발 엘리에이저 에르난데스를 전혀 공략하지 못했다. 에르난데스는 7회까지 단 1안타 1볼넷만 내주고 삼진을 8개나 잡는 압도적인 피칭을 펼쳤다. 에르난데스에게 꽁꽁 묶인 한화 타선은 8회 김진성, 9회 김강률로 이어진 LG 불펜도 공략하지 못하고 영봉패를 당했다. 야구는 슈퍼스타 한 명의 활약으로 절대 이길 수 없는 스포츠라는게 여실히 드러난 경기였다.",2025-03-25
한화 류현진 38번째 생일 6이닝 무실점 호투...그러나 웃진 못했다 [IS 잠실],"류현진(한화 이글스)이 자신의 38번째 생일에 무실점 호투를 펼쳤다. 다만 승리 투수가 되진 못했다. 류현진은 25일 서울 잠실구장에서 열리는 LG 트윈스와 원정 경기에 선발 등판해 6이닝 동안 3피안타 5탈삼진 무실점을 기록했다. 0-0으로 맞선 7회 말 마운드를 박상원에게 넘겨 시즌 첫 승 달성은 다음으로 미뤘다. 특유의 제구력을 앞세워 스트라이크존 구석을 찌르면서 탈삼진 5개를 뽑았다. 4사구는 단 하나도 없었다. 직구 최고 시속은 148㎞(43개)까지 나왔다. 류현진은 시즌 첫 등판에 나선 데다 오는 30일 KIA 타이거즈전까지 주 2회 등판을 앞둔 터라 81개의 공을 던지고 마운드를 내려갔다. 한화 에이스 류현진은 올해 코디 폰세와 라이언 와이스에 이어 개막 3번째 경기에 등판했다. 특히 이날은 류현진의 38번째 생일. 류현진이 생일에 등판하는 건, 한국과 미국 생활을 합해 이번이 처음이다. 류현진은 지난해 LG를 상대로 한 첫 등판에서의 아쉬움을 털어냈다. 지난해 3월 23일 LG와의 개막전에 선발 등판해 3과 3분의 2이닝 동안 6피안타 5실점(2자책)으로 고전했다. 하지만 이후 두 차례 맞대결은 호투, 2024년 LG전에서 1승 1패, 평균자책점 1.84로 마쳤다. 류현진은 1회 세 타자를 삼자범퇴로 막았다. 2회 선두 타자 문보경에게 안타를 내줬으나 후속 세 타자를 범타로 처리했다. 4회에는 선두 타자 송찬의에게 2루타를 맞았으나 1사 3루에서 상대의 3루 도루 시도 때 포수 최재훈의 정확한 송구로 아웃 처리하며 한숨을 돌렸다. 5회에는 1사 후 박동원을 우전 안타로 출루시켰으나 실점 없이 막았다. 한화는 류현진이 마운드를 내려가자마자 7회 1점, 8회 4점을 뺏겨 0-5로 졌다. 류현진은 자신의 생일날 선발 투수로서 몫을 다했지만 팀 패배로 웃진 못했다. 잠실=이형석 기자",2025-03-25
"'생일에 시즌 첫 등판' 류현진, 6이닝 5K 무실점 쾌투…팀 패배로 '아쉬운 하루'(종합)","[서울=뉴시스]김희준 기자 = 38번째 생일에 2025시즌 첫 등판에 나선 '코리안 몬스터' 류현진(한화 이글스)이 쾌투로 생일을 자축했다. 다만 타선이 터지지 않아 승리는 불발됐고, 팀이 패배하면서 크게 웃지 못했다. 류현진은 25일 잠실구장에서 벌어진 2025 신한 쏠뱅크 KBO리그 LG 트윈스와의 경기에 선발 등판해 6이닝 3피안타 무실점으로 호투했다. 김경문 한화 감독은 오는 30일 대전 KIA 타이거즈전에도 선발 등판해야하는 류현진의 투구수를 80~90개로 정했고, 류현진은 81개의 공을 던졌다. 삼진 5개를 잡았고, 볼넷은 하나도 내주지 않았다. 류현진은 최고 시속 148㎞ 직구에 주무기 체인지업을 앞장세워 무실점 투구를 펼쳤다. 여기에 컷 패스트볼, 커브를 섞어던졌다. 호투에도 승리는 류현진의 몫이 아니었다. 0-0으로 맞선 7회말 교체돼 시즌 첫 승리를 다음으로 미뤘다. 한화 타선이 LG 선발 엘리에이저 에르난데스 공략에 애를 먹으면서 한 점도 내지 못했다. 한화 타선은 7회까지 안타 1개, 볼넷 1개를 얻는데 그쳤다. 불펜진이 크게 흔들린 한화는 0-5로 패배했다. 류현진도 씁쓸함을 남긴 채 생일을 보냈다. 2013년부터 2023년까지 미국 메이저리그(MLB)에서 11년을 뛴 류현진은 2023시즌을 마친 후 친정팀 한화 복귀를 택했고, 28경기에서 158⅓이닝을 던지며 10승 8패 평균자책점 3.87의 성적을 거뒀다. 스프링캠프와 시범경기를 거치며 컨디션을 끌어올린 류현진은 한화의 3선발로 시즌을 출발했다. 한화는 22일과 23일 KT 위즈전에는 각각 코디 폰세, 라이언 와이스를 선발로 내세웠다. 1987년 3월25일생인 류현진은 생일을 맞아 시즌 첫 등판에 나섰고, 호투를 펼치며 기분좋은 생일을 만들었다. LG 타선이 22~23일 롯데 자이언츠와의 개막 2연전에서 홈런 7방을 치는 등 뜨겁게 달아오는 상태였지만, 무실점으로 봉쇄했다. 류현진은 KBO리그 복귀 첫 해였던 지난해에도 LG를 상대로 3경기에 등판해 14⅔이닝 1승 1패 평균자책점 1.84로 강한 면모를 자랑했다. 지난해 LG와의 개막전에서 3⅔이닝 6피안타 3볼넷 5실점(2자책점)으로 흔들렸던 류현진은 올해에도 첫 상대로 만난 LG에 설욕했다. 류현진은 1회말 LG 리드오프 홍창기를 4구 만에 삼진 처리하며 상쾌하게 출발했고, 삼자범퇴 이닝을 만들었다. 2회말 선두타자 문보경이 좌전 안타를 맞은 류현진은 오지환을 투수 플라이로 물리친 뒤 박동원에 진루타를 내줬다. 그러나 2사 2루의 실점 위기에서 문정빈을 포수 스트라이크아웃 낫아웃으로 처리했다. 류현진은 삼진 2개를 곁들여 3회말도 삼자범퇴로 마무리했다. 4회말에는 선두타자 송찬의에 좌중간을 가르는 2루타를 헌납했다. 그러나 오스틴 딘에 유격수 땅볼을 유도한 류현진은 포수 최재훈이 송찬의의 3루 도루를 저지해줘 아웃카운트를 늘렸고, 문보경을 투수 땅볼로 잡아 이닝을 마쳤다. 류현진은 5회말 선두타자 오지환을 삼진으로 돌려세운 후 박동원에 우중간 안타를 맞았지만, 대타로 나선 김현수에 1루수 땅볼을 이끌어내 침착하게 아웃카운트를 늘렸다. 류현진은 6회말 선두타자 구본혁을 중견수 뜬공으로 잡았다. 구본혁이 우중간에 안타성 타구를 날렸는데, 중견수 에스테반 플로리얼이 몸을 날려 타구를 걷어냈다. 호수비에 힘을 얻은 류현진은 홍창기를 유격수 땅볼로, 송찬의를 우익수 뜬공으로 잡고 깔끔하게 이닝을 끝냈다. 류현진은 7회말 박상원에 마운드를 넘기며 임무를 마쳤다. 류현진이 내려간 이후 한화 불펜진은 완전히 무너졌다. 7회 등판한 박상원은 볼넷 2개와 몸에 맞는 공 1개를 내주며 1이닝 1실점했다. 8회에는 신인 정우주가 볼넷과 안타, 몸에 맞는 공을 연이어 내주고 무사 만루 위기를 만들었고, 김범수도 급한 불을 끄지 못해 4점을 더 줬다. 잘 던지고도 팀의 패배를 바라봐야했던 류현진에게는 아쉬움이 남는 38번째 생일이 됐다.",2025-03-25
"선발로 돌아온 'LG 복덩이', 독수리 타선 잠재웠다…한화 꺾고 '3연승 질주'","'복덩이' 엘리에이저 에르난데스(LG 트윈스)가 '괴물' 류현진(한화 이글스)과 선발 맞대결에서 판정승을 거뒀다. 에르난데스는 25일 서울 잠실구장에서 열린 2025 신한 SOL 뱅크 KBO리그 한화 이글스와 주중 시리즈 1차전에 선발 등판했다. 이날 에르난데스는 7이닝 1피안타 1볼넷 8탈삼진의 완벽투를 펼치고 승리투수가 됐다. LG는 한화에 5-0 승리를 거두고 시즌 3연승을 달렸다. 총 88개의 공을 던졌다. 에르난데스는 직구, 커브, 슬라이더, 체인지업, 커터를 골라 뿌렸다. 직구 최고 구속은 149km가 기록됐다. 7이닝을 완벽하게 봉쇄한 에르난데스의 뒤를 김진성과 김강률이 잘 지켰다. 1회초 피안타는 있었지만 큰 위기는 없었다. 선두타자 김태연에게는 직구로만 승부를 걸었다. 7구째 공을 김태연이 힘껏 잡아당겼지만 좌익수 송찬의가 담장 앞에서 잡아냈다. 후속 문현빈에게는 좌중간 안타를 맞았다. 그러나 에스테반 플로리얼, 노시환을 연속 삼진을 처리하고 이닝을 마쳤다. 에르난데스는 2회 감을 잡은 모습이었다. 채은성, 안치홍을 삼진으로 잡아냈다. 한화의 중심 타자 4명을 모두 연속으로 돌려세웠다. 다음 타자인 임종찬은 에르난데스의 공을 정교하게 때려 1루수 방면으로 빠르게 보냈다. 하지만 오스틴이 몸을 던지며 공을 낚아채 3번째 아웃카운트를 완성했다. 3회도 순조로웠다. 최재훈, 심우준, 김태연을 모두 범타 처리했다. 에르난데스가 3회에 던진 공은 단 8개였다. 가슴을 쓸어내릴 만한 순간도 있었다. 에르난데스는 4회 선두타자 문현빈에 초구로 체인지업을 택했다. 문현빈은 이를 완벽하게 잡아당겼고, 폴대를 살짝 빗겨나가는 파울 홈런을 때렸다. 제구가 흔들린 에르난데스는 이날 경기 첫 볼넷을 기록, 문현빈에게만 2번째 출루를 허용했다. 플로리얼의 타석 때도 안타성 타구가 파울이 되는 아찔한 상황을 맞았다. 운이 좋게 안타를 내주지 않은 에르난데스는 플로리얼을 삼진으로 잡아냈다. 이어 노시환의 3루수 방면 땅볼 타구 때는 선행 주자 문현빈이 2루에서 잡혔다. 2사 후에는 채은성을 삼진으로 돌려세우며 실점 없이 이닝을 끝냈다. 5회에는 초반 두 타자 안치홍, 임종찬을 빠르게 삼진으로 돌려세웠다. 마지막 타자 최재훈까지 내야 땅볼로 깔끔하게 정리했다. 에르난데스는 6회 수비진 도움을 받으며 무실점 행진을 이어갔다. 우선 첫 타자 심우준을 외야 플라이로 아웃 시켰다. 후속 김태연에게 던진 2구째 슬라이더가 복판에 몰렸다. 김태연은 이를 그대로 받아 쳐 좌중간으로 타구를 보냈다. 이때 중견수 박해민의 엄청난 호수비가 나왔다. 손을 뻗어 몸을 날렸고 타구를 잡아냈다. 이어 문현빈에게 투수 앞 땅볼 타구를 만들었다. 7회에도 야수들이 에르난데스의 역투를 도와줬다. 플로리얼은 2루수 땅볼로, 노시환은 3루수 라인드라이브 아웃을 당했다. 마지막 타자 채은성은 유격수 방면 땅볼로 아웃됐다. 특히 3루수 문보경은 노시환의 타석 때 날카로운 타구를 펄쩍 뛰어올라 잡으며 에르난데스에 힘을 실었다. 괴물에 막혀 있던 LG 타선은 류현진이 마운드를 떠나자마자 점수를 뽑았다. 7회말 선두타자 오스틴 딘과 문보경이 한화 박상원을 상대로 연속 볼넷을 고르며 기회를 차렸다. 이어 오지환의 희생 번트로 1사 2, 3루 찬스를 만들었고, 박동원의 땅볼 타점으로 1-0 리드를 잡았다. 점수가 나자 LG 염경엽 감독은 8회부터 불펜을 가동했다. 김진성은 8회 등판해 안치홍과 황영묵을 상대로 아웃카운트 2개를 올렸다. 이어 이도윤에 좌전 안타를 맞았다. 후속 권광민의 타석에서는 박해민의 호수비가 또 나왔다. 권광민은 김진성의 4구째 높은 직구를 때려 좌중간으로 뻗는 타구를 만들었는데, 박해민이 다시 한번 몸을 던지며 타구를 낚아챘다. LG는 8회말에 승부에 쐐기를 박았다. 4점을 추가했다. 한화 1라운더 루키 정우주를 노련하게 흔들었다. 첫 타자 구본혁의 볼넷을 시작으로 홍창기의 안타, 송찬의의 몸에 맞는 공이 연속으로 나왔다. 정우주는 아웃카운트를 1개도 잡지 못하고 마운드를 떠나야 했다. 무사 만루 기회에서 오스틴이 정우주에 이어 등판한 김범수를 상대로 1타점을 올렸다. 이어진 찬스에서는 문보경이 2타점 적시타를 터뜨렸다. 계속된 무사 2, 3루, 오지환이 친 평범한 내야 플라이 볼을 한화 유격수 심우준이 잡았다 놓치면서 1점을 더 내줬다. 9회 염 감독은 김강률을 마운드에 세웠다. 김강률은 마지막 이닝을 실점 없이 끝내며 5-0 승리를 지켜냈다. 한화 선발 류현진도 엄청난 투구를 펼쳤다. 6이닝 3피안타 5탈삼진 무실점으로 완벽한 피칭을 선보였다. 류현진은 직구, 커브, 슬라이더, 체인지업, 커터 등을 섞어 81구를 뿌렸다. 직구 최고 구속은 148km가 나왔다. 하지만 타선의 도움을 전혀 받지 못하며 승리를 쌓지 못했다.",2025-03-25
"'6이닝 무실점' 류현진, 생일날 눈부신 역투...에르난데스와 명품 투수전","[이데일리 스타in 이석무 기자] 역시 류현진(38·한화이글스)이었다. ‘괴물 에이스’ 류현진이 올 시즌 첫 선발등판에서 눈부신 호투로 마운드를 지배했다. 25일 잠실야구장에서 열린 2025 KBO리그 한화이글스 대 LG트윈스 경기. 1회 말 한화 선발투수 류현진이 역투하고 있다. 사진=연합뉴스
25일 잠실야구장에서 열린 2025 KBO리그 한화이글스 대 LG트윈스 경기. 2회말 한화 선발투수 류현진이 역투하고 있다. 사진=연합뉴스
류현진은 25일 잠실구장에서 열린 프로야구 2025 신한 SOL 뱅크 KBO리그 LG트윈스와 원정경기에 선발등판해 6이닝을 3피안타 무실점으로 틀어막았다. 삼진은 5개를 잡았고 사사구는 1개도 허용하지 않았다. 류현진이 6이닝 이상 투구하면서 무실점으로 막은 것은 지난해 6월 18일 키움 히어로즈전(8이닝 무실점) 이후 약 9개월 만이다. 총 81개 공을 던진 가운데 최고 구속은 148km를 찍었다. 직구(43개), 체인지업(22개), 컷패스트볼(12개), 커브(3개), 슬라이더(1개) 등 다양한 구종을 구사했다. 마침 이날은 류현진의 38번째 생일이라 호투가 더 의미있었다. 류현진은 한국과 미국에서 활약하면서 생일 날 등판한 것이 이번이 처음이다. 개막전 선발 등판을 외국인투수 코디 폰세에게 양보하고 3선발로 나선 류현진은 1회말 첫 타자 홍창기를 루킹 삼진으로 잡으며 산뜻하게 출발했다. 1회를 삼자범퇴로 처리한 류현진은 2회말도 선두타자 문보경에게 좌전 안타를 내줬을 뿐 이후 세 타자를 가볍게 범타 처리했다. 3회말에는 박해민과 구본혁을 연속 삼진 처리하는 등 다시 삼자범퇴로 이닝을 마무리했다. 류현진은 0-0으로 맞선 4회말 선두 타자 송찬의에게 좌중간 2루타를 허용하면서 첫 실점 위기를 맞이했다. 하지만 송찬의가 3루 도루를 시도하는 것은 포수 최재훈이 잡아내면서 고비를 넘겼다. 류현진은 5회말에도 선두타자 오지환을 루킹 삼진으로 돌려세웠다. 다음 타자 박동원에게 우전 안타를 내줬지만 대타 김현수와 박해민을 연속 내야 땅볼로 잡고 무실점 행진을 이어갔다. 6회말에도 구본혁, 홍창기, 송찬의를 삼자범퇴로 잡아낸 류현진은 0-0으로 맞선 7회말 수비때 구원투수 박상원과 교체돼 승리투수가 될 기회는 얻지 못했다. LG 선발로 나선 엘리에이저 에르난데스도 7이닝 동안 88개 공을 던지면서 1피안타 무실점 완벽투를 펼쳤다. 삼진은 8개나 잡으면서 류현진과 명품 선발대결을 펼쳤다.",2025-03-25
‘역시 에이스’ 류현진 6이닝 무실점…‘개막 2연전 7홈런’ LG 타선 잠재웠다[스경x현장],"류현진이 25일 잠실 LG전에 선발 등판해 역투하고 있다. 연합뉴스


역시 에이스다. 류현진(38·한화)이 LG의 뜨거운 타선을 잠재웠다.

류현진은 25일 서울 잠실구장에서 열린 LG전에 선발 등판해 6이닝 3안타 무실점 호투를 펼쳤다. 사사구 없이 삼진만 5개 솎았다.

한화는 앞서 KT와 개막 2연전에 코디 폰세와 라이언 와이스 등 외국인 투수 2명을 먼저 선발 투수로 기용했다. 김경문 한화 감독은 개막 전 미디어데이에서 류현진이 3선발로 시작하는 이유에 대해 “류현진은 더 이상 적은 나이가 아니다”며 “아껴야 한다”고 말했다.

언뜻 에이스 자리를 내준 듯했지만, 류현진은 경기력으로 자신의 가치를 증명했다. KT와 개막 시리즈 1차전에서 5이닝 2실점 한 폰세, 2차전에서 6이닝 4실점(3자책) 한 와이스보다 더 깔끔한 투구를 했다.

특히 이날 상대는 개막 시리즈부터 심상찮은 타격감을 보인 LG였다. 앞서 LG는 롯데와 개막 2연전에서 7홈런 포함 28안타를 몰아쳐 22득점을 올렸다.

25일 한화-LG전이 열린 서울 잠실구장에는 2만3750명 만원 관중이 찾아왔다. 연합뉴스


류현진은 1회부터 홍창기, 송찬의, 오스틴 딘으로 이어지는 LG 상위 타선을 범퇴로 처리하며 무실점 피칭을 이어갔다.

심우준, 안치홍, 에스테반 플로리얼 등 야수들도 호수비로 류현진의 어깨를 가볍게했다. 특별히 위기라고 부를 만한 장면도 없었다.

류현진은 최고 시속 148㎞ 직구 43개, 체인지업 22개, 커터 12개, 커브 3개, 슬라이더 1개 등 총 81구를 던졌다. 많이 던지진 않았지만, 상대 타이밍을 뺏는 느린 커브 최저 구속은 114㎞였다. 완벽에 가까운 제구로 다양한 구종을 던진 류현진 앞에 LG 타선은 침묵헀다.

이날 경기는 평일임에도 2만3750명 만원 관중이 찾아왔다. 생일을 맞은 류현진은 원정 응원석을 가득 메운 한화 팬들에게 최고의 피칭을 선물했다.

잠실 | 배재흥 기자 heung@kyunghyang.com",2025-03-25
"역시 류현진, LG전 6이닝 5K 무실점…송곳 제구로 역투","(서울=연합뉴스) 김경윤 기자 = '코리안 몬스터' 류현진(38·한화 이글스)이 자신의 38번째 생일에 최고의 투구를 펼쳤다. 1987년 3월 25일생인 류현진은 25일 서울 잠실구장에서 열린 2025 프로야구 LG 트윈스와 방문 경기에 선발 등판해 6이닝 동안 3피안타 무사사구 5탈삼진 무실점으로 호투했다. 올 시즌 첫 선발 등판한 류현진은 1회 첫 타자 홍창기를 루킹 삼진으로 잡으며 산뜻하게 출발했다. 1회를 삼자범퇴로 막은 류현진은 2회 선두 타자 문보경에게 좌전 안타를 내줬으나 후속 타자 세 명을 가볍게 제압하며 무실점 행진을 이어갔다. 3회엔 박해민과 구본혁을 연속 삼진 처리하는 등 압도적인 모습을 보였다. 그는 0-0으로 맞선 4회말 선두 타자 송찬의에게 좌중간 2루타를 얻어맞았지만, 포수 최재훈이 3루 도루를 저지하며 도왔다. 류현진의 송곳 제구력은 5회말 수비 때 절정에 달했다. 그는 선두 타자 오지환을 상대로 스트라이크 존 바깥쪽에 걸치는 직구를 뿌려 루킹 삼진을 기록했다. 오지환이 혀를 내두를 정도로 기가 막힌 공이었다. 류현진은 이후 박동원에게 우전 안타를 내줬으나 대타 김현수를 1루 내야 땅볼로 유도했다. 이어 박해민을 2루 땅볼로 잡으며 실점하지 않았다. 한화 2루수 안치홍은 강습 타구를 잡은 뒤 2루 바운드 송구를 펼치는 호수비로 류현진을 도왔다. 류현진은 6회에도 구본혁, 홍창기, 송찬의를 세 타자 연속 범타 처리했다. 투구 수 81개를 기록한 류현진은 0-0으로 맞선 7회말 수비에서 박상원과 교체됐다. 류현진이 6이닝 이상 던지고 무실점한 건 지난해 6월 18일 키움 히어로즈전(8이닝 무실점) 이후 약 9개월 만이다. 이날 류현진은 직구(43개), 체인지업(22개), 컷패스트볼(12개), 커브(3개), 슬라이더(1개) 등 다양한 구종을 섞어 던졌다. 직구 최고 구속은 시속 148㎞를 찍었다. cycle@yna.co.kr",2025-03-25
"'생일에 시즌 첫 등판' 류현진, 6이닝 5K 무실점 쾌투로 자축…승리는 불발","[서울=뉴시스]김희준 기자 = 38번째 생일에 2025시즌 첫 등판에 나선 '코리안 몬스터' 류현진(한화 이글스)이 쾌투로 생일을 자축했다. 다만 타선이 터지지 않아 승리는 불발됐다. 류현진은 25일 잠실구장에서 벌어진 2025 신한 쏠뱅크 KBO리그 LG 트윈스와의 경기에 선발 등판해 6이닝 3피안타 무실점으로 호투했다. 김경문 한화 감독은 오는 30일 대전 KIA 타이거즈전에도 선발 등판해야하는 류현진의 투구수를 80~90개로 정했고, 류현진은 81개의 공을 던졌다. 삼진 5개를 잡았고, 볼넷은 하나도 내주지 않았다. 류현진은 최고 시속 148㎞ 직구에 주무기 체인지업을 앞장세워 무실점 투구를 펼쳤다. 여기에 컷 패스트볼, 커브를 섞어던졌다. 호투에도 승리는 류현진의 몫이 아니었다. 0-0으로 맞선 7회말 교체돼 시즌 첫 승리를 다음으로 미뤘다. 한화 타선이 LG 선발 엘리에이저 에르난데스 공략에 애를 먹으면서 한 점도 내지 못했다. 한화 타선은 7회까지 안타 1개, 볼넷 1개를 얻는데 그쳤다. 2013년부터 2023년까지 미국 메이저리그(MLB)에서 11년을 뛴 류현진은 2023시즌을 마친 후 친정팀 한화 복귀를 택했고, 28경기에서 158⅓이닝을 던지며 10승 8패 평균자책점 3.87의 성적을 거뒀다. 스프링캠프와 시범경기를 거치며 컨디션을 끌어올린 류현진은 한화의 3선발로 시즌을 출발했다. 한화는 22일과 23일 KT 위즈전에는 각각 코디 폰세, 라이언 와이스를 선발로 내세웠다. 1987년 3월25일생인 류현진은 생일을 맞아 시즌 첫 등판에 나섰고, 호투를 펼치며 기분좋은 생일을 만들었다. LG 타선이 22~23일 롯데 자이언츠와의 개막 2연전에서 홈런 7방을 치는 등 뜨겁게 달아오는 상태였지만, 무실점으로 봉쇄했다. 류현진은 KBO리그 복귀 첫 해였던 지난해에도 LG를 상대로 3경기에 등판해 14⅔이닝 1승 1패 평균자책점 1.84로 강한 면모를 자랑했다. 지난해 LG와의 개막전에서 3⅔이닝 6피안타 3볼넷 5실점(2자책점)으로 흔들렸던 류현진은 올해에도 첫 상대로 만난 LG에 설욕했다. 류현진은 1회말 LG 리드오프 홍창기를 4구 만에 삼진 처리하며 상쾌하게 출발했고, 삼자범퇴 이닝을 만들었다. 2회말 선두타자 문보경이 좌전 안타를 맞은 류현진은 오지환을 투수 플라이로 물리친 뒤 박동원에 진루타를 내줬다. 그러나 2사 2루의 실점 위기에서 문정빈을 포수 스트라이크아웃 낫아웃으로 처리했다. 류현진은 삼진 2개를 곁들여 3회말도 삼자범퇴로 마무리했다. 4회말에는 선두타자 송찬의에 좌중간을 가르는 2루타를 헌납했다. 그러나 오스틴 딘에 유격수 땅볼을 유도한 류현진은 포수 최재훈이 송찬의의 3루 도루를 저지해줘 아웃카운트를 늘렸고, 문보경을 투수 땅볼로 잡아 이닝을 마쳤다. 류현진은 5회말 선두타자 오지환을 삼진으로 돌려세운 후 박동원에 우중간 안타를 맞았지만, 대타로 나선 김현수에 1루수 땅볼을 이끌어내 침착하게 아웃카운트를 늘렸다. 류현진은 6회말 선두타자 구본혁을 중견수 뜬공으로 잡았다. 구본혁이 우중간에 안타성 타구를 날렸는데, 중견수 에스테반 플로리얼이 몸을 날려 타구를 걷어냈다. 호수비에 힘을 얻은 류현진은 홍창기를 유격수 땅볼로, 송찬의를 우익수 뜬공으로 잡고 깔끔하게 이닝을 끝냈다. 류현진은 7회말 박상원에 마운드를 넘기며 임무를 마쳤다.",2025-03-25
