news_title,news_content,published_date
"ML 88홈런 클래스라 더 힘들었나...무안타 침묵 깨는 첫 홈런 치고 ""이제 숨 좀 쉬겠다"" [오!쎈 광주]","[OSEN=광주, 이선호 기자] ""이제 숨 좀 쉴 수 있겠다"". 메이저리그 88홈런 타자도 그렇게 부담이 컸을까?  KIA타이거즈 새 외국인타자 패트릭 위즈덤(31)이 무안타 침묵을 화끈한 홈런으로 깼다. 25일 광주-기아 챔피언스필드에서 열린 2025 프로야구 키움히어로즈와의 경기에 2번타자 겸 3루수로 출전해 5타수 2안타 3타점 1득점의 활약을 펼쳤다. 팀의 11-6 승리를 이끌었다. 개막 2연전에서 8타석 무안타에 그쳤다. 볼넷 3개를 골라내는 선구안으로 보였다. 좋은 타구가 나오지 않아 알게 모르게 부담도 느꼈다. 이범호 감독은 김도영이 허벅지 부상으로 빠지자 대신 위즈덤을 2번 3루수로 앉혔다. 가장 득점력을 높이기 위한 타순이라고 이유를 설명했다. 이런 변화가 위즈덤을 깨웠다. 1회말 무사 2루에서 첫 타석은 투수 앞 땅볼에 그쳤다. 3회는 중견수 뜬공이었다. 모처럼 타구가 외야 멀리 날아갔다. 5-3으로 앞선 4회말 한 방이 터졌다. 1사2루에서 키움 선발 김윤하의 직구를 끌어당겨 왼쪽 담장을 훌쩍 넘겼다. 11타석만에 나온 첫 안타였고 첫 손맛이었다. 6회는 2루 뜬공으로 물러났으나 7회 1사1,3루에서는 좌익수 앞에 떨어지는 적시타를 날려 멀티히트를 완성했다. 3경기만에 답답증을 시원하게 날려버리는 타격을 펼쳤다. 수비도 탄탄했다. 5회 2사후 이주형의 타구를 잡아 빠른 바운드 송구로 잡아냈다. 메이저리그 내야수다운 안정감이었다. 위즈덤은 경기후 취재진에 둘러싸였다. ""(홈런은) 높은 직구였다. 배럴타구를 만들기 상당히 좋은 타구였다. 생각보다 멀리 날아간 것 같다. 안타가 나오지 않아 내 스스로 압박을 많이 느꼈다. 오늘 홈런 이후 조금 숨 좀 쉴 수 있겠다. 3루수는 3개월전까지 봤다. 상당히 잘하는 것 같아 기분이 좋다""며 기분좋은 표정을 지었다. 홈런을 때린 비결을 고졸루키 박재현의 충고라고 소개했다. ""오늘 박재현이 와서 타이밍 좀 맞게 잘 쳐라라고 조언을 해주었다. 그 말을 듣고 눈이 번쩍 떠져서 홈런을 칠 수 있었다""며 웃었다. 이어 ""이제까지 부담감 느낄 거 다 느꼈다. 앞으로 부담감 느끼지 않겠다.  팬들이 열정적이다. 플레이 할때 더 끌어올리도록 도와준다""며 고마움을 전했다. 개막 2연전에서 좋은 타구를 만들지 못한 이유에 대해서 ""볼을 많이 기다렸다. 그것 때문에 계속 타이밍이 뒤에서 맞았다. 오늘은 공격적으로 치려고 했는데 잘 이루어졌다. KBO리그 투수들이 많은 구종을 던진다. 나도 그것을 알고 멀리 치려고 노력하고 있다""고 설명했다. /sunny@osen.co.kr",2025-03-25
"KIA 조상우가 150km로 친정 나들이…이적 신고식 아픔 훌훌, 그런데 아는 선수 없다? 어떻게 이런 일이[MD광주]","[마이데일리 = 광주 김진성 기자] 150km. KIA 타이거즈 이적생 불펜 조상우(31)가 이적 후 두 번째 등판에 나섰다. 22일 NC 다이노스와의 개막전만큼 눈에 띄는 경기였다. 상대가 친정 키움 히어로즈였기 때문이다. 조상우는 대전고를 졸업하고 2013년 1라운드 1순위로 키움에 입단했다. 조상우는 키움에서만 9년간 343경기에 나갔다. 때로는 마무리로, 때로는 중간계투로 뛰었다. 이기고 있을 때나 지고 있을 때, 동점일 때…상황을 가리지 않았다. 작년엔 사회복무요원을 마치고 돌아와 잔부상이 있었지만, 이젠 다 괜찮아졌다. 조상우는 지난 겨울 미국 노스캐롤라이나주 샬럿 트레드 어슬레틱센터에서 임기영과 함께 개인훈련을 했다. 여기서 투구 밸런스를 다잡더니, 포심 스피드를 확연히 회복했다. 작년에 140km대 초반까지 떨어진 스피드가 150km까지 올라왔다. 조상우는 이날 친정을 상대로 150km을 뿌리며 자신을 정리한 친정에 무력시위를 했다. 조상우는 11-6으로 앞선 8회초 선두타자 대타 전태현에게 147km 포심을 뿌리다 우중간안타를 맞았다. 박주홍을 포크볼로 헛스윙 삼진 처리했다. 여동욱을 150km 하이패스트볼로 유격수 뜬공, 어준서를 150km 몸쪽 낮은 포심으로 우익수 뜬공을 유도했다. 조상우는 개막전서 6회초 1-0 리드서 아웃카운트를 1개도 잡지 못한 채 1피안타 2볼넷을 허용하며 씁쓸하게 마운드를 떠나야 했다. 이날 조상우는 그때와 확연히 다른 모습이었다. 데뷔전서 제구가 흔들리는 모습이 확연했으나 이날은 안정적이었다. 스코어가 벌어져 있었고, 조상우로선 편안하게 마운드에 오를 수 있었다. 그런데 조상우가 이날 상대한 친정 타자들이 사실은, 조상우와 일면식도 없는 사이일 수도 있어 눈에 띈다. 전태현, 여동욱, 어준서는 올해 입단한 신인이다. 이들은 조상우를 알긴 알아도 TV에서만 봤던 대선배다. 그나마 조상우와 잘 아는 선수는 외야수 박주홍이다. 그런데 박주홍도 2020년 1차지명으로 입단한 뒤 이날까지 1군 통산 112경기에만 나간 선수다. 성장세가 더디다. 조상우의 사회복무요원 생활을 감안하면 실제로 1군에서 부대낀 시간은 길지 않았을 듯하다. 물론 조상우가 이주형, 최주환, 송성문 등 상위타선 타자들과 맞붙었으면, 잘 아는 선수들끼리 맞대결이 성사됐을 것이다. 서로 잘 알아서 그만큼 승부가 재밌었을 것이다. 조상우의 등판시점이 하필 키움 신인들에게 걸렸다고 봐야 한다. 그렇다고 해도 그만큼 키움이 신인들, 저연차들에 대한 의존도가 높다는 걸 증명한다.",2025-03-25
"5홈런 꽝! 위즈덤 마수걸이 투런포+올러 QS 첫 승...꽃감독 ""홈런으로 분위기 가져왔다"" [오!쎈 광주]","[OSEN=광주, 이선호 기자] ""홈런으로 분위기 가져왔다"".

KIA타이거즈가 홈런쇼를 펼치며 대승을 거두었다. 25일 광주-기아 챔피언스필드에서 열린 2025프로야구 키움히어로즈와의 팀간 첫 경기에서  11-6으로 승리했다. 기븐좋게 주중 첫 경기를 잡으며 2승1패를 기록했다.

홈런 5개 포함 17안타를 몰아치는 타선이 빛났다.

나성범은 0-3으로 뒤진 1회말 추격의 투런포, 3회말 역전 결승 솔로홈런까지 연타석포를 터트렸다. 최원준은 동점 솔로홈런, 최형우는 5-3으로 달아나는 중월 솔로포를 쏘아올렸다. 

2번 3루수로 출전한 위즈덤은 7-3으로 차리를 벌리는 투런포로 KBO리그 첫 안타를 신고했다.  

선발 아담 올러는 데뷔등판에서 퀄리티스타트를 성공하며 첫 승을 낚았다. 성적은 6이닝 5피안타(1홈런)  6탈삼진 4실점(3자책) 호투였다.  

이범호 감독은 ""자칫 끌려갈 수 있었던 흐름에서 1회말 나성범이 곧바로 따라가는 홈런을 쳐주면서 분위기를 대등하게 가져갈 수 있었다. 중요한 타이밍마다 홈런이 나오면서 분위기를 확실히 우리쪽으로 가져올 수 있었다. 중심타순에 배치된 타자들과 하위타순에서 최원준이 활발한 공격을 보였다""며 박수를 보냈다.  

이어 ""올러가 2회초부터 본인의 투구를 해주면서 안정감있는 모습을 보여줬다. 빠른공에 힘이 느껴졌고, 슬러브의 음직임도 좋았다. 다음 등판도 기대된다""며 호평했다.  

마지막으로 ""주중 첫 경기가 중요한데 스타트를 잘 끊은 거 같다. 끝까지 응원해주신 팬 분들께 감사드리며, 내일도 최선을 다 하겠다""고 약속했다. /sunny@osen.co.kr",2025-03-25
‘투런+3타점’ ML 88홈런 거포 마침내 ‘쾅’…“올라올 것” 꽃감독 믿음→곧바로 ‘실현’ [SS시선집중],"KIA 위즈덤이 25일 광주-기아 챔피언스 필드에서 열린 2025 KBO리그 정규시즌 키움전에서 4회말 좌월 투런포를 터뜨리고 있다. 사진 | KIA 타이거즈

[스포츠서울 | 광주=김동영 기자] 너무 스윙을 아끼는 듯했다. 때를 기다렸다. 칠만한 공이 들어오자 거침이 없다. ‘메이저리그(ML) 88홈런 거포’ 패트릭 위즈덤(34)이 완전히 터졌다. KIA도 웃는다. 위즈덤은 25일 광주-기아 챔피언스 필드에서 열린 2025 KBO리그 정규시즌 키움전에 2번 3루수로 선발 출전해 투런 홈런 포함 5타수 2안타(1홈런) 3타점으로 활약했다. ML에서 통산 88홈런을 때렸다. 2021~2023년 3년 연속 20홈런 이상 때렸다. 검증된 소크라테스 브리토를 보내고 데려온 자원. 당연히 기대가 컸다. KIA 위즈덤이 25일 광주-기아 챔피언스 필드에서 열린 2025 KBO리그 정규시즌 키움전에서 4회말 좌월 투런포를 때린 후 더그아웃으로 돌아와 세리머니를 하고 있다. 사진 | KIA 타이거즈

뭔가 성과가 나오지 않았다. 스프링캠프 평가전은 그럴 수 있다. 시범경기 7경기에서 18타수 4안타, 타율 0.222로 썩 좋지 않았다. 안타 4개 중에 홈런이 1개, 2루타가 1개다. 장타는 나왔다. 정규시즌 개막 2연전에서 다시 침묵했다. 8타석 5타수 무안타. 볼넷 3개를 골라 3득점이다. 타율 0.000인데 출루율은 0.375다. 뭔가 묘했다. 이날 폭발했다. 1회말은 투수 땅볼에 그쳤다. 3회말에는 중견수 뜬공. 개막 후 10타석 연속 무안타. 11번째는 다르다. 2사 2루에서 상대 선발 김윤하를 공략해 좌월 투런 아치를 그렸다. 5-3에서 7-3으로 달아나는 투런 홈런이다. KIA 위즈덤이 25일 광주-기아 챔피언스 필드에서 열린 2025 KBO리그 정규시즌 키움전에서 4회말 좌월 투런포를 터뜨리고 있다. 사진 | KIA 타이거즈

정규시즌 첫 안타를 홈런으로 장식했다. 그렇게 기다리던 한 방. 이후 7회말에는 추가 적시타까지 더했다. 멀티히트까지 완성했다. 사실 이날 위즈덤은 처음으로 2번으로 나섰다. 수비도 3루수를 봤다. ML 시절 가장 많이 본 포지션. 경기 전 훈련에서 안정적인 모습을 보였다. 김민우 코치가 “잘한다”고 감탄했을 정도다. 갑자기 타순이 바뀌고, 수비 자리가 바뀌면 영향이 있을 수 있다. 그러나 위즈덤은 전혀 문제가 없었다. KIA 위즈덤이 25일 광주-기아 챔피언스 필드에서 열린 2025 KBO리그 정규시즌 키움전에서 4회말 좌월 투런포를 터뜨리고 있다. 사진 | KIA 타이거즈

경기 전 이범호 감독은 “초반에 점수를 많이 빼려면 타순을 전체적으로 당기는 쪽이 낫다고 봤다. 위즈덤이 안타는 없어도 눈이 좋다. 아마 선호하는 공이 있지 않겠나. 공격적으로 나가도 될 것 같다. 올라올 것”이라고 믿음을 보였다. 딱 그대로 됐다. 터졌다. 시범경기부터 정규시즌 개막 첫 두 경기까지 ‘간’을 본 듯하다. ‘상당히 치기 어려운 공을 던진다’며 KBO리그 투수를 평가했다고. 그리고 ‘칠 만한’ 공이 오자 용서하지 않았다. raining99@sportsseoul.com",2025-03-25
‘무릎 통증’ 교체된 박찬호 큰 부상 피했다…“타박에 의한 염좌”,"KIA 박찬호가 25일 광주 키움전 1회 도루를 시도하던 중 무릎에 통증을 호소하고 있다. 티빙 중계화면 캡처


일단 한숨 돌렸다. KIA 리드오프 박찬호(30)가 병원 검진에서 ‘염좌’ 진단을 받았다.

KIA 관계자는 25일 “박찬호는 타박에 의한 염좌”라며 “추가 검진 계획은 아직 없다”고 전했다.

박찬호는 이날 광주 키움전에 1번 타자 유격수로 선발 출전했다. 0-3으로 뒤진 1회말 선두 타자로 나가 키움 선발 김윤하를 상대로 우전 안타를 쳤다. 직후 패트릭 위즈덤 타석에서 도루를 시도했고, 2루 베이스를 훔쳤다.

하지만 왼쪽 발을 뻗어 슬라이딩하는 과정에서 오른쪽 무릎이 지면에 박히며 충격을 받았다. 트레이너가 나와 박찬호 무릎 상태를 살폈고, 박찬호는 일단 2루 주자로 계속 경기에 임했다. 하지만 위즈덤의 땅볼 타구 때 3루까지 달리는 과정에서 다시 한번 통증을 호소했다.

절뚝이며 더그아웃으로 들어간 박찬호는 곧장 구단 지정 병원으로 이동해 자기공명영상(MRI) 검사를 받았다. 검진 결과 큰 부상을 피해 구단도 가슴을 쓸어내렸다.

앞서 22일 광주 NC 개막전에서 KIA 핵심 전력인 김도영이 주루 중 왼쪽 햄스트링 부상으로 전열에서 이탈했다. 불행 중 다행으로 부상 정도가 심각하지 않은 김도영은 4주가량 뒤 복귀할 전망이다. 마찬가지로 큰 부상을 피한 박찬호는 회복 상태를 본 뒤 복귀 시점이 정해질 예정이다.

KIA는 김도영, 박찬호 없이도 강했다. KIA는 나성범(2개), 최원준, 최형우, 위즈덤의 홈런포를 앞세워 키움을 11-6으로 물리쳤다.

잠실 | 배재흥 기자 heung@kyunghyang.com",2025-03-25
"'홈런 5방에 17안타' KIA, 키움 마운드 초토화...박찬호 부상은 아쉬움","[이데일리 스타in 이석무 기자] ‘디펜딩 챔피언’ KIA타이거즈가 시즌 초반 압도적인 모습을 보여주고 있다. KIA타이거즈 나성범이 키움히어로즈와 경기에서 투런홈런을 터뜨리고 있다. 사진=KIA타이거즈
KIA는 25일 광주 기아 챔피언스필드에서 열린 2025 신한 SOL뱅크 KBO리그 홈경기에서 홈런포 5방을 앞세워 키움히어로즈를 11-6으로 눌렀다. NC다이노스와 개막 2연전을 1승 1패로 마친 KIA는 이날 승리로 시즌 성적 2승1패를 기록했다. 반면 키움은 개막 3연패에 빠졌다. KIA는 이날 홈런 5방으로 키움 마운드를 무너뜨렸다. 주장 나성범이 1회말 투런에 이어 3회말 솔로까지 연타석 홈런을 쏘아올렸다. 최원준은 2회말 솔로홈런, 최형우는 3회말 솔로홈런을 기록했다. 빅리그에서 88홈런을 기록한 새 외국인타자 패트릭 위즈덤도 4회말 투런포를 쏘아올리며 KBO리그 첫 홈런을 신고했다. KIA는 홈런 5개 포함, 장단 17안타를 몰아쳤다. 1회부터 7회까지 매 이닝 득점을 올렸다. KIA 새 외국인투수 애덤 올러는 이날 선발로 나와 6이닝 동안 5피안타(1피홈런) 무사사구 6탈삼진 4실점(3자책)을 허용했지만 타선의 도움을 받아 KBO리그 첫 승리를 따냈다. 반면 키움 2년차 선발투수 김윤하는 5이닝 동안 9피안타(5피홈런) 2볼넷 3탈삼진 8실점(7자책)으로 난타당하고 패전을 기록했다. 한편, KIA는 이날 승리에도 불구, 마음껏 기뻐할 수 없었다. 주전 유격수 박찬호가 무릎 부상을 당해 교체됐기 때문이다. 박찬호는 0-3으로 뒤진 1회말 선두타자로 나서 우전안타를 치고 나간 뒤 2루 도루를 시도하는 과정에서 오른쪽 무릎 통증을 호소했다. 박찬호는 후속타자 패트릭 위즈덤의 투수 땅볼 때 간신히 3루까지 갔지만 결국 벤치에 교체를 요청했다. 대주자 김규성과 교체된 뒤 곧바로 광주 시내 병원으로 이동해 정밀 검진을 받았다. 검사 결과는 결과 타박에 의한 염좌 진단이 나왔다. 일단 큰 부상은 피한 것으로 보이지만 곧바로 경기에 나설 수 있을지는 아직 미지수다. KIA는 지난 22일 열린 개막전에서 간판타자 김도영이 왼쪽 햄스트링 부상을 당해 전력에서 이탈한 상황이다. 여기에 내야 수비의 핵인 리드오프 박찬호까지 결장할 경우 전력 손실이 클 수밖에 없다.",2025-03-25
"'홈런 5방' 앞세운 KIA, 키움에 11-6 승리…키움은 개막 3연패","[서울=뉴시스]문채현 기자 = '디펜딩 챔피언' KIA 타이거즈가 홈런 5방을 앞세워 키움 히어로즈를 제압했다. 키움은 개막 3연패에 빠졌다. KIA는 25일 광주-기아챔피언스필드에서 열린 2025 신한 쏠뱅크 KBO리그 키움과의 경기에서 11-6 승리를 거뒀다. KIA는 시즌 2승째를 쌓았음에도 마냥 웃을 수 없었다. 김도영에 이어 주전 유격수 박찬호마저 부상을 당했다. 박찬호는 병원 검진을 위해 곧바로 경기장을 떠났다. KBO리그 데뷔전에 나선 선발 아담 올러는 6이닝 5피안타(1홈런) 4실점(3자책)으로 다소 흔들렸으나 타선의 도움으로 승리를 챙겼다. 이날 KIA 타선은 연타석 아치를 그린 나성범을 포함해 홈런 5개를 터트렸다. 반면 마운드 불안이 그대로 드러난 키움은 개막 3경기째에도 승리를 거두지 못했다. 선발 투수 김윤하는 5이닝 9피안타(5홈런) 8실점(7자책)을 기록, 패전 투수에 이름을 올렸다. KBO리그 데뷔전을 치른 신인 어준서가 2타수 2안타 1홈런 맹활약을 펼친 것이 위안으로 남았다. 키움은 1회부터 상대 선발 올러를 매섭게 공략했다. 선두 타자 송성문부터 우전 안타를 치고 나가며 금세 1사 1, 3루 찬스를 잡았다. 루벤 카디네스의 희생 플라이로 키움은 선취 득점에 성공했고, 최주환의 우중간을 가르는 적시 2루타가 더해져 이주형까지 홈 베이스를 밟았다. 2점을 얻은 키움은 김동헌의 땅볼을 박찬호가 깔끔하게 처리하지 못하며 2사 1, 3루 찬스를 이어갔고, 박주홍의 안타로 한 점을 더 추가했다. KIA도 1회부터 홈런포를 터트렸다. 1사 주자 3루에 나선 나성범이 우중간 담장을 넘기는 대형 홈런을 작렬하며 KIA는 2점을 따라잡았고, 2회 2사 뒤 터진 최원준의 솔로포로 3-3 동점을 맞췄다. 3회에도 KIA의 불방망이는 식지 않았다. 3회말 1사 나성범이 연타석 아치를 그린 데 이어 최형우는 백투백 홈런을 만들어냈다. KIA는 4회말 2사 2루에 터진 패트릭 위즈덤의 홈런으로 7-3까지 점수 차를 벌렸다. 키움도 홈런으로 반격에 나섰다. 5회초 선두 타자로 나선 키움 신인 어준서는 데뷔 첫 안타를 홈런으로 장식했다. KIA는 5회말 1사 2, 3루에 나온 김태군의 희생 플라이로 1점을 다시 획득, 점수를 8-4로 만들었다. 6회말 1사 만루 기회를 다시 잡은 KIA는 김선빈의 2타점 적시타로 두 자릿수 득점까지 성공했다. 키움은 7회초 1사 후 대타 여동욱과 어준서, 푸이그의 연속 안타로 1점을 만회한 뒤 이주형과 카디네스가 사사구를 얻으며 1점을 더 추가했다. 다만 이어진 2사 만루 찬스에 나선 최주환이 2루수 땅볼로 물러나며 키움은 역전 찬스를 살리지 못했다. 위기를 넘긴 KIA는 7회말 1사 1, 3루 위즈덤의 적시타로 1점을 더하며 11-6으로 점수를 벌리고 승부에 쐐기를 박았다.",2025-03-25
"'홈런 5개 폭발' KIA, 키움에 11-6 승리…나성범 연타석포 '펑펑'","(서울=뉴스1) 권혁준 기자 = 프로야구 '디펜딩 챔피언' KIA 타이거즈가 홈런포를 앞세워 키움 히어로즈를 제압했다. KIA는 25일 광주 기아 챔피언스필드에서 열린 2025 신한 SOL뱅크 KBO리그 키움과의 경기에서 11-6으로 이겼다. KIA는 시즌 전적 2승1패를 마크했고, 키움은 개막 3연패에 빠졌다. KIA는 이날 홈런포만 5개를 터뜨리는 가공할 화력을 과시했다. 1회(2점)와 3회(1점) 연타석포를 터뜨린 나성범을 필두로 최원준(2회1점), 최형우(3회1점), 패트릭 위즈덤(4회2점)이 홈런포를 터뜨렸다. 홈런포를 포함해 장단 17안타를 때려낸 KIA는 1회부터 7회까지 매 이닝 득점을 올리기도 했다. KIA 선발 아담 올러는 이날 6이닝 동안 5피안타(1피홈런) 무사사구 6탈삼진 4실점(3자책)으로 다소 아쉬웠지만, 타선의 도움을 받아 KBO리그 첫 등판에서 승리투수가 됐다. 반면 키움 2년 차 투수 김윤하는 5이닝 9피안타(5피홈런) 2볼넷 3탈삼진 8실점(7자책)으로 난타 당하며 패전투수가 됐다. KIA는 1회초 불안하게 출발했다. 흔들린 선발 올러가 루벤 카디네스에게 희생플라이, 최주환에게 1타점 2루타를 맞았고 수비 실책까지 겹쳐 3실점 했다. 그러나 곧장 추격했다. 1회말 박찬호가 안타로 포문을 열었고, 1사 후 나성범의 2점홈런이 터졌다. 박찬호는 안타 후 도루 과정에서 무릎 부상을 당해 교체아웃됐는데, 병원 검진 결과 타박에 의한 염증으로 진단됐다. KIA는 2회말 최원준의 솔로포로 동점을 만들었고, 3회말엔 나성범-최형우의 백투백 홈런으로 5-3 역전에 성공했다. 4회말엔 위즈덤이 KBO리그 첫 안타를 2점 홈런으로 장식하며 7-3으로 벌렸다. 5회초 키움 루키 어준서에게 솔로포를 허용했지만, 5회말 김태군의 희생플라이로 다시 달아났다. KIA는 6회말 2점, 7회말 1점을 보태며 승리를 확정했다.",2025-03-25
[프로야구 광주전적] KIA 11-6 키움,"▲ 광주전적(25일)

키움 300 010 200 - 6

KIA 212 212 10X - 11

△승리투수 = 올러(1승)

△패전투수 = 김윤하(1패)

△홈런 = 어준서 1호(5회1점·키움)

나성범 1·2호(1회2점·3회1점) 최원준 1호(2회1점) 최형우 1호(3회1점) 위즈덤 1호(4회2점·이상 KIA)

(서울=연합뉴스)",2025-03-25
"KIA, 시즌 초반 잇따른 악재…박찬호마저 오른쪽 무릎 염좌 부상(종합)","KIA 박찬호
[연합뉴스 자료사진]


(서울=연합뉴스) 천병혁 기자 = '디펜딩 챔피언' KIA 타이거즈가 시즌 초반부터 잇단 악재에 휩싸였다.

25일 광주 기아챔피언스필드에서 열린 2025 신한 SOL 뱅크 KBO리그 키움 히어로즈와 경기에서 KIA 주전 유격수 박찬호가 무릎을 다쳐 교체됐다.

박찬호는 0-3으로 뒤진 1회말 선두타자로 나서 우전안타를 치고 나간 뒤 2루 도루에 성공했다.

하지만 도루 과정에서 오른 무릎에 충격을 받아 트레이너의 점검을 받았다.

박찬호는 재개된 경기에서 후속 타자 패트릭 위즈덤의 투수 땅볼 때 절뚝이며 3루까지 갔지만 통증이 심했는지 벤치에 손짓하며 교체를 요청했다.

결국 KIA는 박찬호 대신 김규성을 대주자로 내보냈다.

박찬호는 곧바로 광주 시내 병원으로 이동해 정밀 검진을 받았고, 타박에 의한 염좌 진단이 나왔다.

다행히 큰 부상은 피했으나 당분간 몸 상태 회복을 위해 휴식을 취해야 할 것으로 보인다.

회복 기간과 복귀까지 걸리는 시간은 상황을 지켜봐야 한다.

앞서 KIA는 지난 22일 열린 개막전에서 지난 시즌 최우수선수(MVP)로 뽑힌 김도영이 왼쪽 허벅지를 다쳐 이탈했다.

병원 검진 결과 햄스트링(허벅지 뒤 근육) 손상 판정을 받은 김도영은 한 달여 재활을 거쳐야 복귀할 수 있다.

KIA는 간판타자인 김도영에 이어 1번 타자와 유격수로 활약하는 박찬호마저 경기에 나서지 못한다면 초반 레이스에 차질을 빚을 전망이다.

shoeless@yna.co.kr",2025-03-25
