news_title,news_content,published_date
"베이비몬스터 잠실에 뜬다! 29일 잠실 삼성-두산전 시구·시타 진행 ""밝은 에너지 전달할 것""","(엑스포츠뉴스 유준상 기자) 걸그룹 '베이비몬스터(BABYMONSTER)'가 잠실야구장을 찾는다. 두산 베어스는 29일 서울 잠실야구장에서 열리는 2025 신한 SOL Bank KBO리그 삼성 라이온즈와 정규시즌 맞대결에서 승리기원 시구·시타를 진행한다. 이날 두산은 새로운 공식 후원사 '아디다스'와 함께하는 원 팀(One Team) 데이 행사 '아디다스 데이'를 진행한다. 중앙매표소 옆 행사장에서 아디다스와 함께하는 포토부스, 유니폼 커스텀 서비스 등 다양한 행사를 준비했으며, 경기 종료 후 응원가 레이저쇼가 열릴 예정이다. 시구·시타는 베이비몬스터가 장식한다. 베이비몬스터는 ‘아디다스 글로벌 파트너’로서 활발한 활동을 이어가고 있다. 베이비몬스터는 데뷔 첫 월드투어 '2025 BABYMONSTER 1st WORLD TOUR <HELLO MONSTERS>'로 전 세계 팬들의 뜨거운 관심과 사랑을 받고 있다. 베이비몬스터 멤버들은 ""두산 베어스 홈 개막 시리즈와 아디다스 '원 팀(One Team) 데이'를 함께하게 돼 매우 기쁘다""며 ""멋진 시구와 시타로 우리의 밝은 에너지를 전달하겠다""고 소감을 밝혔다. 한편 두산은 29일 경기를 포함해 28~30일 삼성과의 홈 개막 시리즈, 4월 1~3일 키움 히어로즈전까지 홈 6연전을 맞아 다채로운 이벤트를 준비했다. 홈 개막전 당일 선수단 입장 시 사전 공모를 통해 선발한 두산 팬들이 하이파이브로 맞이한다. 이어 어린이 팬이 홈 개막 선언과 그라운드 에스코트를 분위기를 달군다. 홈 개막 맞이 특별 팬 사인회도 진행된다. 내야수 강승호와 투수 최승용이 29일 오후 3시 30분부터 중앙출입문 옆 사인회장에서 팬들과 시간을 보낸다. 두산은 팬들을 위한 특별 선물과 공간도 준비했다. 삼성과의 3연전에서 응원 타올(경기당 3000명)을, 키움과의 3연전에서 마그넷(경기당 4000명)을 증정한다. 수령은 선착순으로 1루 내·외야 입장 출입구에서 가능하다. 또한 6연전 기간 1루 내야광장에 새로 바뀐 엠블럼과 유니폼 조형물을 설치, 추억을 남길 수 있는 포토존을 운영한다. 행사에 관한 자세한 내용은 두산 베어스 공식 홈페이지와 사회관계망서비스(SNS)를 통해 확인할 수 있다. 사진=엑스포츠뉴스 DB",2025-03-25
"“하늘이 시련을 주네요” 두산, 이병헌 장염 말소→시즌 초반부터 ‘불펜 운용’ 난관 [SS수원in]","두산 이병헌은 25일 수원케이티위즈파크에서 열린 2025 KBO리그 KT전을 앞두고 장염으로 엔트리에서 빠졌다. 고척 | 박진업 기자 upandup@sportsseoul.com

[스포츠서울 | 수원=박연준 기자] “하늘이 시련을 주네요” 시즌 초반부터 두산에 부상 이탈자가 잇따른다. 마운드 운용에도 차질이 빚어지고 있다. 왼손 불펜 이병헌(22)이 장염 증세로 1군 엔트리에서 제외됐다. 심각한 정도는 아니지만, 불펜 운영에는 적잖은 영향을 미친다. 이병헌은 25일 수원케이티위즈파크에서 열린 2025 KBO리그 KT전을 앞두고 엔트리에서 빠졌다. 경기 전 만난 두산 이승엽 감독은 “심각한 상태는 아니다. 회복까지는 열흘 정도 걸릴 것 같다”고 설명했다. 심각하지 않은 점은 다행이다. 문제는 부상자 '누적'이다. 시즌 개막 전부터 곽빈(내복사근 손상), 홍건희(팔꿈치 인대 통증) 등 핵심 투수들이 차례로 빠졌다. 개막 후 단 두 경기만에 이병헌까지 이탈하면서 불펜 구성에 차질이 생겼다. 이 감독은 “하늘에서 시련을 주는 것 같다. 그래도 이겨내야 한다. 엔트리에 있는 선수들을 믿는다”고 말했다. 팀 분위기를 해치지 않으려는 의지가 엿보인다. 이병헌이 장염 증세로 1군 엔트리에서 빠졌다. 고척 | 박진업 기자 upandup@sportsseoul.com

현시점에서 1군 왼손 불펜은 김호준 한 명뿐이다. 좌우 타자를 고려하기보다 당장 컨디션이 좋은 선수를 올리는 방식으로 운영해야 한다. 이 감독은 “필승조 자원이 많지 않다. 남은 자원으로 꾸려나가야 한다. 선발진도 6이닝 이상 던져줘야 남은 이닝을 편하게 풀 수 있다”고 말했다. 즉시 1군에 올라 올 수 있는 불펜 자원도 마땅치 않다. 지난해 어깨 부상으로 이탈했던 최지강이 복귀를 준비 중이지만, 1군 등판까지 시간이 더 필요하다. 최지강은 이날 퓨처스리그에서 약 30구 불펜피칭을 소화했다. 조만간 라이브 피칭도 돌입할 예정이다. 이 감독은 “페이스는 좋다. 다만 무리시킬 생각은 없다”고 말했다. 두산은 개막전에서 SSG에 2연패를 당했고, 이날은 KT를 상대한다. 시즌 초반부터 잇단 이탈이 이어지며 불펜 운용의 폭이 좁아진 상황이다. 이승엽 감독의 판단과 대응이 중요한 시점이다. duswns0628@sportsseoul.com",2025-03-25
"개막 2연패 속 빛난 두산의 새 톱타자, 김민석의 도전","개막 2연전에서 뼈아픈 연패를 당한 두산 베어스의 팬들은 새로운 톱타자 김민석(20)을 보며 위로를 얻었다. 김민석도 ""우승팀도 한 시즌에 50번은 패한다""면서 ""다음 경기를 준비하는 게 더 건설적""이라며 앞을 보며 나아가기로 했다. 두산은 22일과 23일 인천 SSG랜더스필드에서 벌인 SSG 랜더스와의 프로야구 개막 2연전에서 모두 패했다. 외국인 원투 펀치를 내세우고도 2패를 당해 상처가 더 컸다. 하지만, 소득은 있었다. 지난해 11월 롯데 자이언츠와의 트레이드로 영입한 김민석은 개막 2연전 모두 1번 타자 좌익수로 선발 출전해 9타수 3안타, 1볼넷, 2타점을 올렸다. 타율은 0.333, 출루율은 0.400이었다. 과감하게 김민석을 1번 타자로 낙점한 이승엽 두산 감독은 ""김민석이 개막전에서 2타점 3루타를 쳤다. 우리가 기대했던 게 나왔다""고 흐뭇해했다. 23일 경기 전 만난 김민석은 ""개막전에 출전한 건 처음이었다. 확실히 긴장했고, 개막전 첫 타석에서는 타이밍을 잡지 못하고 삼진을 당했다""며 ""그래도 경기를 치르면서 점점 안정됐고, 4회에 2타점 3루타를 쳤다. 그 당시에는 좋았다""고 말했다. 22일 SSG와의 개막전 4회초 2사 1, 2루에서 김민석은 4-3으로 뒤집는 2타점 3루타를 쳤다. SSG가 6-5로 역전승하긴 했지만, 두산 김민석도 역전 3루타로 강렬한 인상을 남겼다. 3루에서 포효도 했던 김민석은 ""동점을 만들겠다는 생각으로 타석에 섰는데 역전까지 성공해 그런 동작이 나왔다""고 떠올렸다. 올 시즌 KBO리그에서는 '장타력을 갖춘' 강백호(kt wiz), 야시엘 푸이그(키움 히어로즈)가 1번 타자로 나서 화제를 모은다. 출루에 능한 홍창기(LG 트윈스)는 '전통적인 1번 타자'로 LG 타선의 선봉에 선다. 김민석은 굳이 구분하자면 '전통적인 1번 타자'에 가깝다. 김민석은 ""나는 아직 홍창기 선배, 강백호 선배와는 비교조차 할 수 없다""고 몸을 낮추며 ""나만의 방식으로 '팀에 도움이 되는 톱타자'가 되고 싶다""고 했다. 두산은 김민석에게 자신감, 과감한 스윙 등을 주문했다. 김민석은 ""경기 시작을 알리는 톱타자는 초반 팀 분위기를 좌우할 수 있다고 들었다. 매번 잘 칠 수는 없지만, 아웃이 되더라도 과감하게 스윙하겠다""며 ""물론 선구안 연구도 하고 있다. 칠 수 있는 공을 적극적으로 공략하는 게, 내가 바라는 이상적인 모습""이라고 밝혔다. 새 팀에서 톱타자로 출발한 김민석은 롯데를 향한 고마움도 잊지 않고 있다. 김민석은 ""지금은 롯데를 떠났지만, 정말 좋은 기억만 있다""며 ""롯데에서 배운 걸 잘 활용해 더 좋은 선수가 되겠다""고 다짐했다. /연합뉴스",2025-03-25
"이병헌도 장염 이탈 불펜 악재, 이승엽 감독 “있는 선수들로 버텨야”[스경X현장]","두산 이병헌. 두산베어스 제공


개막 후 3경기째. 경기당 한 명씩 빠지는 꼴이다. 이승엽 두산 감독은 “하늘에서 시련을 주시네요”라며 씁쓸한 웃음을 지었다.

이 감독은 25일 수원 KT위즈파크에서 열린 KT와의 원정경기를 앞두고 좌완 불펜 이병헌의 1군 제외 소식을 전했다. 이 감독은 “이병헌이 장염이 걸렸다”며 “한 번 앓으면 컨디션이 떨어진다. 컨디션이 회복할 시간이 열흘 정도 필요할 것 같아 1군에서 말소했다”고 설명했다.

2025시즌 개막 초반 두산 마운드는 연이은 부상 이슈로 비상이 걸린 상태다. 필승조로 활약한 최지강은 스프링캠프에서 결막염으로 전열을 이탈해 4월초에나 합류 가능한 상황이다. 시즌 개막을 앞두고는 지난 시즌 15승을 따내 다승 1위에 오른 토종 우완 곽빈과 불펜 필승조인 우완 홍건희가 전열을 이탈했다. 곽빈이 선발에서 빠지면서 선발 경쟁에서도 좋은 구위를 보여줘 필승조로 돌렸던 최원준을 선발로 돌렸는데, 불펜에서 추가로 이탈자가 발생했다. 마무리 김택연-셋업맨 이영하로 이어지는 필승조에 앞서 등판할 카드가 부족해졌다. 핵심 불펜 자원이었던 김강률(FA LG행), 정철원(롯데 트레이드)이 나간 자리도 ‘미완’으로 남았다.

무거운 표정으로 부상 소식을 전한 이 감독은 “하늘에서 시련을 많이 주신다”며 “이겨내야 한다. 선수들을 믿는다”고 말했다. 불펜에 좌완 자원은 김호준 뿐이다. 이 감독은 “좌우타자 상대를 생각할 겨를이 없다. 컨디션 좋은 투수를 먼저 쓸 수밖에 없다”며 “선발이 내려가면 쓸 수 있는 불펜 자원이 부족하다. 있는 선수들로 잘 버텨야 한다”고 말했다.

수원 | 이정호 기자 alpha@kyunghyang.com",2025-03-25
[수원 토크박스] “시련을 많이 주시네요” 두산 부상 악령… 이병헌 장염 말소,"사진=두산 베어스 제공
 
“(하늘이) 시련을 많이 주시네요. 이겨내야 합니다.” 프로야구 두산이 정규리그 초입부터 선수단 연쇄 부상에 신음하고 있다. 개막에 앞서 국내 에이스 곽빈과 베테랑 필승조 홍건희가 낙마하더니, 이번엔 두 경기만에 왼손 셋업맨 이병헌의 전력 이탈 소식이 전해졌다. 장염으로 인한 말소, 최소 열흘가량은 시간이 필요할 전망이다. 갈 길이 멀다. 인천 원정길서 SSG와의 개막 2연전을 모두 패했다. 하루 휴식 후 마주한 상대는 KT다. 두산은 25일 수원 KT 위즈파크서 2025 신한 SOL뱅크 KBO리그 정규리그 KT와의 원정경기를 치른다. 이병헌은 이날 경기를 앞두고 1군 엔트리에서 제외됐다. 이승엽 두산 감독은 “(장염이) 크게 심한 건 아니다. 그래도 컨디션이 떨어지는 영역이기 때문에 회복할 시간이 열흘 정도는 필요할 것으로 보인다”고 설명했다. 개막 후 이제 두 경기를 소화했을 뿐이다. 그런데, 하나둘 부상자 명단이 늘고 있다. 국가대표 우완 곽빈은 내복사근 부분손상 진단을 받았고, 홍건희는 우측 팔꿈치 내측인대 손상 진단이 나왔다. 사진=두산 베어스 제공
 
두 선수 모두 4월 초 재검 예정이다. 여기에 이병헌까지 빠지고 만 것. 사령탑도 쓴웃음을 짓는다. 이 감독은 “(하늘이) 시련을 많이 주고 있다”며 “(그럼에도) 이겨내야 한다”고 목소리를 높였다. 현시점 이병헌이 빠진 두산 불펜에선 김호준이 유일한 왼손 자원이다. 이와 관련, 이 감독은 “지금은 좌·우 투수를 신경 쓸 겨를이 없다”면서 “필승조 자원이 부족한 상황이다. 있는 선수들로 버티는 수밖에 없다. 컨디션 좋은 선수가 마운드에 먼저 오를 것”이라고 설명했다. 그렇다고 부상 선수들의 복귀를 서두르는 건 계산에 없다. 지난해 후반기 어깨 통증으로 전력에서 이탈한 최지강의 경우도 마찬가지다. 퓨처스리그(2군)서 복귀를 위해 구슬땀을 흘리고 있다. 기존 계획대로 4월 중순 1군 복귀가 점쳐진다. 이 감독은 “(최지강이) 오늘(25일) 불펜 피칭 30구를 던졌다. 다음 주쯤 타자를 세워놓고 라이브 피칭에도 들어간다. 페이스가 잘 올라오고 있다. 무리해서 급하게 쓸 수는 없다. 오버페이스하지 않도록 할 것”이라고 밝혔다. 수원=김종원 기자 johncorners@sportsworldi.com",2025-03-25
"'부상 병동' 두산 또 악재…좌완 불펜 이병헌, 장염으로 1군 말소","곽빈·홍건희 이어 투수진 공백 커져
한화는 불펜 김범수·김종수 등록
두산 베어스 이병헌. /뉴스1 DBⓒ News1 김성진 기자


(서울=뉴스1) 권혁준 기자 = 시즌 초반부터 투수진의 잇단 부상으로 신음하고 있는 두산 베어스에 또 하나의 악재가 생겼다. 좌완 불펜투수 이병헌(22)이 장염 증세로 전력에서 이탈했다.

두산은 25일 경기 수원 케이티위즈파크에서 열리는 2025 신한 SOL뱅크 KBO리그 KT 위즈와의 경기를 앞두고 이병헌을 말소했다.

두산 관계자는 ""이병헌이 장염 증세를 보여 엔트리에서 제외했다. 일단은 열흘 후 등록이 가능할 것으로 보인다""고 전했다.

4년 차 좌완 이병헌은 두산의 핵심 불펜 자원이다. 지난해 77경기에서 65⅓이닝을 던지며 6승1패 1세이브 22홀드 평균자책점 2.89로 활약했다.

올 시즌에도 개막 2연전에 모두 등판하며 1홀드를 기록했는데, 주중 3연전을 앞두고 갑작스러운 장염 증세로 잠시 쉬어가게 됐다.

두산은 선발투수 곽빈이 내복사근 부분 손상, 필승조 홍건희가 오른쪽 팔꿈치 인대 손상 진단을 받아 이미 전력에 차질을 빚고 있다.

이병헌의 경우 곽빈이나 홍건희 같은 큰 부상은 아니지만, 당분간 불펜에 큰 공백이 생기는 것을 피할 수 없게 됐다.

두산은 일단 이병헌이 빠진 자리를 메우지 않았다. 등록된 투수는 11명이다

한화 이글스는 불펜투수 김범수와 김종수를 1군에 등록했다. 김범수는 한화의 좌완 불펜으로 활약이 기대되고, 김종수는 팔꿈치 수술로 2년의 공백기를 가진 끝에 올 시즌 돌아왔다.

이밖에 삼성 라이온즈는 이날 선발 등판하는 최원태를 1군에 올렸고, 키움 히어로즈는 신인 내야수 어준서를 등록했다.

KIA 타이거즈는 투수 김민재를, NC 다이노스는 투수 김진호를 1군에 불러들였다.",2025-03-25
"""하늘에서 시련을 준다"" 두산 '핵심 좌완' 이병헌, 1군 엔트리 말소…사유는 장염 [MD수원]","[마이데일리 = 수원 김경현 기자] 시즌 개막부터 꼬인다. 두산 베어스 좌완 투수 이병헌이 1군에서 빠졌다. 두산은 25일 수원 KT 위즈파크에서 열리는 2025 신한 SOL Bank KBO리그 KT 위즈와 주중 삼연전 첫 경기를 치른다. 경기에 앞서 안타까운 소식이 전해졌다. 이병헌이 장염으로 1군에서 이탈한 것. 이미 '에이스' 곽빈과 '필승조' 홍건희가 이탈한 상태다. 곽빈은 지난 19일 고양구장에서 2025 메디힐 KBO 퓨처스리그 고양 히어로즈와 경기 도중 옆구리에서 통증을 호소했다. 검진 결과 내복사근 부분 손상 진단이 나왔다. 홍건희는 16일 공을 던지다 우측 팔꿈치 통증을 느꼈다. 홍건희는 오른쪽 팔꿈치 내측 측부 인대 손상 소견을 받았다. 개막 2연전부터 스윕을 당했다. 두산은 SSG 랜더스와의 22일 5-6, 23일 2-5 패배를 당했다. 첫 주중 삼연전을 맞아 기세를 끌어올려야 하지만, 이병헌의 이탈로 흐름이 꺾였다. 이병헌의 소식을 전하며 이승엽 감독은 ""컨디션도 회복을 해야 되고 열흘은 시간이 좀 필요할 것 같다""며 말소 이유를 설명했다. 이어 ""하늘에서 시련을 많이 주신다. 이겨내야죠. 괜찮습니다. 선수들 있으면 믿어야죠""라고 필승을 다짐했다. 당장 엔트리에 왼손 불펜은 김호준만 남게 됐다. 이승엽 감독은 ""좌우 생각할 것 없다. 그냥 컨디션 좋은 선수를 먼저 쓸 수밖에 없다. 선발투수가 내려가면 사실 자원이 좀 부족하다. 필승조라고 할 수 있는 선수들이 조금 부족하다고 봐야 한다. 그래서 있는 선수들도 버티는 수밖에 없다""고 했다. 김민석(좌익수)-김재환(지명타자)-강승호(3루수)-제이크 케이브(우익수)-양의지(포수)-양석환(1루수)-오명진(2루수)-이유찬(유격수)-정수빈(중견수)이 선발로 출전한다. 선발투수는 최원준. 양의지는 23일 경기에서 파울볼에 왼쪽 발등을 맞았다. 이 여파로 살짝 내려간 타순에서 경기에 돌입한다. 이승엽 감독은 ""발가락에 타박상이 있어서 보호차원에서 (타순을) 빼줬다""고 밝혔다. 최원준이 일요일까지 주 2회 등판하냐고 묻자 ""이번 주 두 번 이런 거는 필요 없다. 오늘만 보겠다. 개막 원투 펀치를 내고 다 졌기 때문에, 오늘 세 번째 경기에서는 무조건 이기는 경기를 해야 한다""고 답했다.",2025-03-25
"""하늘이 시련을 주시네"" 두산 이병헌까지 장염 말소, 이승엽 감독은 헛웃음만 ""이겨내야죠"" [IS 수원]","이승엽 두산 베어스 감독이 헛웃음을 지었다. 이내 이 감독은 ""이겨내야죠""라며 필승을 다짐했다. 두산 베어스는 25일 수원 KT위즈파크에서 2025 신한은행 SOL 뱅크 KBO리그 KT 위즈와 원정 경기를 치른다. 두산은 지난 22일과 23일 열린 개막 2연전에서 SSG 랜더스에 2연패를 당했다. 분위기 반전이 절실하다. 25일 경기를 앞두고는 악재도 맞았다. 왼손 필승조 이병헌이 1군에서 말소된 것이다. 경기 전 만난 이승엽 감독은 ""이병헌이 장염이 걸렸다.""라며 ""한 번 앓으면 컨디션이 떨어진다. 컨디션이 회복할 시간이 열흘 정도 필요할 것 같아 1군에서 말소했다""라고 설명했다. 현재 두산 마운드는 부상병동이다. 셋업맨 홍건희가 오른 팔꿈치 내측인대 손상으로, 지난해 다승왕(15승) 에이스 투수 곽빈이 내복사근 부분손상으로 개막도 전에 전열에서 이탈했다. 여기에 이병헌까지 열흘 빠지면서 비상이 걸렸다. 이승엽 감독은 ""하늘에서 시련을 많이 주신다""라며 실소한 뒤, ""이겨내야 한다. 선수들을 믿는다""라고 말했다. 이병헌이 빠지면서 왼손 불펜 투수가 김호준밖에 남지 않았다. 이호준 감독은 ""좌우타자 상대를 생각할 겨를이 없다. 컨디션 좋은 투수를 먼저 쓸 수밖에 없다""며 ""우리가 선발 투수가 내려가면 쓸 수 있는 불펜 자원이 부족한 편이다. 있는 선수들로 잘 버티는 수밖에 없다""고 말했다. 이날 선발 마운드엔 최원준이 오른다. 선발 로테이션상 곽빈이 올라야 했지만, 곽빈이 시즌 전 부상을 당하면서 최원준이 3선발로 낙점됐다. 이승엽 감독은 ""(순서가 앞당겨졌어도) 최원준은 원래 선발로 준비했던 선수라 문제가 없을 거라고 본다. 시범경기에서도 컨디션이 좋았다(2경기 7이닝 1실점). 좋은 컨디션을 오늘 유지했으면 좋겠다. 6이닝 정도 던져줘야 계산이 설 것 같다""라며 기대했다. 이날 두산은 김민석(좌익수)-김재환(지명타자)-강승호(3루수)-케이브(우익수)-양의지(포수)-양석환(1루수)-오명진(2루수)-이유찬(유격수)-정수빈(중견수) 순으로 타선을 꾸렸다. 박준영 대신 이유찬이 선발 유격수로 나선다. 이승엽 감독은 ""박준영이 옆구리 투수를 상대로는 조금 좋지 않다. 이유찬이 개막 시리즈에서 공도 잘 따라가고 지난해 (고영표를) 상대한 경험이 있으니 믿어 보려고 한다. 오명진은 왼손 타자라서 오른손 투수가 나올 때 내보내는 건 당연하다. 컨디션 변동에 따라 박준영, 이유찬, 오명진 세 명을 번갈아 기용하려고 한다""라고 전했다. 수원=윤승재 기자",2025-03-25
"‘울고 싶어라’ 두산 또 악재 터졌다, 곽빈→홍건희→이병헌까지 1군 말소 “장염으로 휴식 필요” [오!쎈 수원]","[OSEN=수원, 이후광 기자] 프로야구 두산 베어스에 시즌 초반 부상자가 끊이질 않고 있다. 개막 직전 에이스 곽빈, 필승조 홍건희가 부상 이탈한 데 이어 좌완 필승조 이병헌마저 개막 후 세 번째 경기를 앞두고 장염에 걸려 말소됐다. 두산 베어스 이승엽 감독은 25일 수원KT위즈파크에서 열리는 2025 신한 SOL뱅크 KBO리그 KT 위즈와의 시즌 첫 맞대결을 앞두고 취재진과 만나 좌완 필승조 이병헌의 1군 말소 비보를 전했다. 이승엽 감독은 “이병헌이 장염에 걸렸다”라며 “그렇게 심하지는 않은 거 같은데 컨디션이 떨어지기 때문에 다시 회복을 하려면 그래도 열흘의 휴식이 필요할 거 같다”라고 밝혔다. 지난해 역대 좌완투수 최연소 20홀드에 빛나는 이병헌은 올해도 필승조 중책을 맡아 개막시리즈에 2경기에서 1홀드 평균자책점 0을 기록했다. 그리고 25일부터 시작되는 KT와의 주중 3연전 또한 불펜 대기가 예상됐지만, 장염 변수로 열흘 동안 휴식을 취해야하는 처지가 됐다. 두산은 2025시즌 개막 직전 '토종 에이스' 곽빈(내복사근)과 '필승조' 홍건희(팔꿈치)가 부상 이탈한 데 이어 '좌완 믿을맨' 이병헌까지 1군 엔트리에서 제외되는 악재를 맞이했다. 이승엽 감독은 “하늘에서 시련을 많이 주신다. 그래도 괜찮다. 이겨내야 한다. 선수들을 믿는다”라고 힘줘 말했다. 이병헌의 이탈로 이날 선발투수로 나서는 곽빈의 대체자 최원준의 어깨가 더욱 무거워졌다. 최원준이 긴 이닝을 소화해야 불펜 소모를 최소화할 수 있다. 이승엽 감독은 “이제 좌완이 김호준 밖에 없는데 지금 좌우를 생각할 때가 아니다. 필승조 자원이 부족해졌기 때문에 최원준이 최소 6이닝을 책임져줘야 한다. 그래도 계속 선발을 준비했고, 시범경기 때 컨디션이 좋았기 때문에 그 컨디션을 계속 유지했으면 좋겠다”라는 바람을 남겼다. 두산은 KT 선발 고영표를 맞아 김민석(좌익수) 김재환(지명타자) 강승호(3루수) 제이크 케이브(우익수) 양의지(포수) 양석환(1루수) 오명진(2루수) 이유찬(유격수) 정수빈(중견수) 순의 선발 라인업을 꾸렸다. 이승엽 감독은 박준영의 선발 제외에 대해 ""박준영이 옆구리 투수를 상대하는 게 부담스럽다. 이유찬의 경우 엊그제 공도 잘 따라갔고, 지난해 고영표를 상대한 경험도 있다. 또 오른손 투수가 나왔기 때문에 좌타자 오명진이 선발로 나가다 보니 박준영이 빠지게 됐다. 올해는 박준영 이유찬 오명진 세 선수를 돌려가면서 기용할 것""이라고 설명했다. /backlight@osen.co.kr",2025-03-25
"메이저리거 출신 케이브, 개막 2경기 무안타 침묵...두산 2연패 부진","[진병두 마니아타임즈 기자] 두산 베어스의 새 외국인 타자가 시즌 초반 한국 투수들의 공략법에 고전하고 있다. 메이저리그에서 검증된 실력을 가진 제이크 케이브가 개막 두 경기에서 답답한 침묵을 이어가며 팀의 부진에 한몫했다. 23일 인천 SSG랜더스필드에서 펼쳐진 '2025 신한 SOL Bank KBO' SSG와의 원정 경기에서 두산은 2-5로 패배했다. 이로써 두산은 새 시즌을 2연패로 시작했고, 반면 SSG는 개막 2연승을 달성했다. 지난 시즌 메이저리그 콜로라도에서 활약한 케이브는 MLB 통산 523경기에서 타율 0.251, 45홈런, 176타점을 기록한 검증된 타자다. 두산은 영입 당시 강한 손목 힘에서 나오는 빠른 배트 스피드가 케이브의 장점이라고 소개했지만, 한국 무대에서는 아직 적응이 더딘 모습이다. 개막전에서 4타수 무안타에 그친 케이브는 이날 경기 전 그라운드에 일찍 나와 다부진 표정으로 타격 연습에 임했다. 베테랑 강승호에게 여러 질문을 던지며 적응을 위한 노력을 보였지만, 실전에서는 아쉬운 결과가 이어졌다. 첫 타석인 1회초 2사 1루 상황에서 케이브는 SSG 에이스 김광현의 132km 슬라이더를 받아쳤으나 1루수 정면 땅볼에 그쳤다. 아쉬움에 배트를 공중으로 던지는 모습에서 그의 답답함이 엿보였다. 4회초 두 번째 타석에서는 김광현의 137km 슬라이더에 헛스윙 삼진을 당했고, 5회초 세 번째 타석에서도 139km 슬라이더에 또다시 삼진으로 물러났다. 더그아웃으로 돌아오는 케이브를 이승엽 감독이 외면하는 장면도 포착됐다. 8회초 마지막 타석에서는 SSG 투수 김민의 143km 투심을 받아쳤으나 중견수 플라이로 잡히며 이날도 4타수 무안타로 경기를 마쳤다. 개막 후 7타수 무안타의 부진한 성적이다. 케이브의 저조한 활약은 시범경기부터 예견된 측면이 있다. 그는 시범경기 9경기에서 25타수 6안타, 타율 0.240으로 기대에 미치지 못하는 모습을 보였다. 이에 대해 이승엽 감독은 케이브가 메이저리그에서 좋았을 때의 실력으로 돌아오기를 기다릴 수밖에 없다고 설명했다. 감독은 아마도 종이 한 장 차이인 것 같은데, 그것만 본인이 느끼면 좋아질 것이라는 기대감을 드러냈다. 한편 두산은 이날 선발 잭 로그가 6이닝 3피안타 2사사구 5탈삼진 4실점으로 준수한 투구를 선보였고, 타선에서는 이유찬이 2안타 2타점, 강승호가 3안타 2득점, 양석환이 3안타를 기록하는 등 국내 타자들의 활약이 있었지만, 팀 패배를 막아내지는 못했다.",2025-03-25
