news_title,news_content,published_date
‘시즌 1호 리드오프 홈런 폭발!’ 최지훈 “홈런 노릴 능력 없지만…10홈런도 기대해볼만해” [오!쎈 인천],"[OSEN=인천, 길준영 기자] 프로야구 SSG 랜더스 최지훈(28)이 리드오프 홈런을 쏘아올리며 팀 승리를 이끌었다. 최지훈은 26일 인천 SSG랜더스필드에서 열린 ‘2025 신한은행 SOL Bank KBO리그’ 롯데 자이언츠와의 경기에 1번 중견수로 선발출장해 4타수 1안타 1홈런 1타점 1득점을 기록했다. 1회말 선두타자로 나선 최지훈은 롯데 좌완 선발투수 김진욱의 2구째 시속 141km 직구를 받아쳐 우측 담장을 넘어가는 솔로홈런을 터뜨렸다. 시즌 1호 홈런으로 비거리는 110m가 나왔다. 올 시즌 리그 첫 번째, 개인 통산 4번째 1회말 리드오프 홈런이다. SSG는 최지훈의 홈런에 힘입어 3-1로 승리하고 주중 3연전 1승 1패 균형을 맞췄다. 최지훈은 경기 후 인터뷰에서 “어제 경기를 졌기 때문에 연패는 막아야 한다고 생각했다. 오늘 경기 승리로 다시 승수를 쌓아서 다행이다. 이겨서 기분 좋다”라고 승리 소감을 전했다. 이어서 “경기 전에 이숭용 감독님이 요즘 공을 너무 끌어놓고 친다고 하시더라. 그래서 앞에 포인트 주고 과감하게 돌렸다. 몸에 가까운 코스를 보고 있었다”라고 홈런 상황을 돌아봤다. 시즌 4경기 만에 첫 홈런이 나온 최지훈은 “홈런 이후 나머지 세 타석에서도 정타가 나왔는데 잡허서 아쉬웠다. 그래도 홈런이 나왔다는 점에 의의를 두고 싶다. 이제 4경기를 했을뿐이다. 140경기 남았다. 천천히 하겠다. 나는 홈런을 노리고 칠 수 있는 능력은 없다고 생각한다. 그래도 지금 밸런스를 잘 유지한다면, 두 자리 수 홈런을 기대해볼만 하지 않을까 싶다”라고 말했다. 이날 경기에서는 관중 1만4855명이 입장했다. “평일인데도 팬분들이 너무 많이 오셨다”라고 말한 최지훈은 “항상 감사한 마음을 가지고 그라운드에 서 있다. 나 스스로 늘 부족함을 느끼고 더 발전하려고 노력 중이다. 지금처럼 팬분들이 응원해주신다면, 더 좋은 선수가 되도록 열심히 하겠다”라고 다짐했다. /fpdlsl72556@osen.co.kr",2025-03-26
"'KKKKKK' 21세 4선발의 무력시위…활짝 웃은 이숭용 감독 ""팀 승리 이끄는 호투, 내가 원하는 그림"" [MD인천]","[마이데일리 = 인천 박승환 기자] ""내가 원하는 그림이었다"" SSG 랜더스는 26일 인천 SSG 랜더스필드에서 열린 2025 신한은행 SOL Bank KBO리그 롯데 자이언츠와 팀 간 시즌 2차전 홈 맞대결에서 3-1로 승리, 시리즈의 균형을 맞췄다. 경기 초반의 분위기를 잡았던 것은 SSG였다. SSG는 1회말 선두타자 최지훈이 롯데 선발 김진욱의 2구째 141km 직구를 공략, 우월 솔로홈런을 터뜨리며 기선제압에 성공했다. 올 시즌 리드오프 홈런 1호, 통산 371호, 개인 통산 4번째. 그리고 SSG는 2회말 박성한이 좌익 선상에 2루타를 터뜨리며 포문을 연 뒤 고명준의 볼넷으로 마련된 1, 2루에서 박지환이 우익수 앞에 절묘하게 떨어지는 안타로 추가점을 뽑아냈다. 이날 SSG의 승리는 마운드의 힘이었다. 미치 화이트가 부상으로 이탈한 가운데 당초 5선발이었던 송영진이 4선발의 중책을 맡게 됐는데, 이날 최고의 피칭을 선보였다. 송영진은 1회 선두타자 황성빈에게 안타를 맞는 등 1사 3루의 위기를 무실점으로 잠재우더니, 2~3회 롯데 타선을 모두 삼자범퇴로 돌려세웠다. 그리고 4회에는 병살타를 곁들이며 순항을 이어갔다. 첫 실점은 5회였다. 선두타자 나승엽을 잡아낸 뒤 전준우와 전민재에게 연속 안타를 허용하면서 실점 위기에 몰렸고, 박승욱을 삼진 처리하며 한숨을 돌리는 듯했으나, 정보근에게 적시타를 맞았다. 그래도 송영진은 이어 나온 황성빈을 땅볼로 잡아내며 최소 실점으로 큰 위기를 벗어났고, 6회에도 병살타를 유도하며 기대 이상의 투구를 선보였다. 그리고 투구수에 여유가 있었던 송영진은 7회에도 마운드에 모습을 드러냈다. 송영진은 첫 타자 나승엽에게 안타를 맞았으나, 전준우에게 땅볼을 유도해 선행 주자를 지워낸 뒤 마운드를 내려갔고, 바통을 이어받은 이로운이 실점 없이 이닝을 매조졌다. 이에 SSG는 8회말 마지막 공격에서 정준재의 2루타와 기예르모 에레디아의 볼넷으로 마련된 1, 2루 찬스에서 하재훈이 승기에 쐐기를 박는 적시타를 쳐낸 뒤 노경은이 지난 2023년 4월 23일 문학 키움 히어로즈전 이후 무려 703일 만에 세이브를 수확했다. 경기가 끝난 뒤 이숭용 감독은 ""오늘은 (송)영진이가 팀 승리를 이끄는 호투를 펼쳤다. 공격적 투구로 카운트를 선점했고 6이닝 이상을 던지며 퀄리티스타트(6이닝 3자책 이하)를 기록했다. 내가 원하는 그림이었다""며 ""4경기에서 3점차 이내 승부가 펼쳐지고 있는데, 불펜 투수들이 큰 힘이 되고 있다. 너무나 고맙다""고 투수진들을 향해 찬사를 보냈다. 이어 사령탑은 ""타선에서는 (최)지훈이의 선두타자 홈런으로 기선을 제압했고, 긴박한 리드상황에서 (하)재훈이가 8회말 달아나는 타점을 기록하면서 승리할 수 있었다""고 기쁜 마음을 드러냈다.",2025-03-26
"'롯데전 결승포' SSG 최지훈 ""기세 몰아 두 자릿수 홈런까지""","(인천=뉴스1) 문대현 기자 = 롯데 자이언츠를 상대로 '마수걸이 홈런'을 터트린 SSG 랜더스 최지훈(28)이 이숭용 감독의 조언 덕에 효과를 봤다고 털어놨다. 장타자는 아니지만, 이른 시기에 첫 홈런이 터지면서 2년 연속 두 자릿수 홈런에 대한 기대도 커졌다. 최지훈은 26일 인천 SSG랜더스필드에서 열린 2025 신한 SOL뱅크 KBO리그 롯데와 홈경기에 1번 중견수로 선발 출전해 4타수 1안타 1홈런 1타점 1득점으로 팀의 3-1 승리에 기여했다. 네 번의 기회에서 한 번밖에 출루하지 못했으나, 그 한 번이 결승점으로 이어진 홈런이라 의미가 컸다. 뜬공으로 물러난 타석에서도 공을 배트 중심에 맞히는 정확한 타격으로 다음 경기에 대한 기대감을 키웠다. 최지훈은 경기 후 ""어제 경기에서 졌기 때문에 연패해선 안 된다고 다짐했다. 오늘 경기로 다시 승수를 쌓아 다행""이라며 ""경기 전에 감독님께서 '요즘 공을 너무 끌어 놓고 친다'고 하셨다. 그래서 앞쪽에 포인트를 주고 과감하게 돌리려 했다. 몸쪽에 가까운 코스를 보고 있었는데 좋은 결과가 나왔다""고 설명했다. 최지훈은 장타자 유형은 아니다. 빠른 발을 바탕으로 한 주루와 정확한 콘택트가 장점인 타자다. 그래도 가끔 예기치 않은 상황에서 한 방을 터트리곤 한다. 2022년 10홈런, 2024년에는 11홈런을 치기도 했다. 이날 홈런으로 다시 한번 두 자릿수 홈런에 대한 기대감이 커졌다. 최지훈은 ""나머지 세 타석에서도 정타가 나왔는데 잡혀서 아쉬웠다. 그래도 홈런이 나왔다는 점에 의미를 두고 싶다""며 ""내가 홈런을 노리고 칠 능력은 없지만, 지금 밸런스를 잘 유지하면 10홈런도 기대해 볼 수 있을 것 같다""고 웃었다. 2020년 SK 와이번스(현 SSG) 입단 당시 김강민의 후계자로 '아기 짐승'이라는 별명을 갖고 있던 최지훈은 이제 어느덧 야수 조에서 꽤나 높은 위치로 올라섰다. 올해 스프링캠프에서는 야수조 조장을 맡기도 했다. 최지훈은 ""신인 때와 비교하면 확실히 (회복 속도가) 다르다. 그래도 지금은 괜찮다. 경기하기 딱 좋은 컨디션을 유지하고 있다""고 자신감을 내비쳤다. 그러면서 ""평일인데도 많은 팬이 야구장을 찾아주셔서 감사하다. 늘 부족함을 느끼고 노력하고 있다. 더 좋은 선수가 되기 위해 노력할 것""이라고 강조했다.",2025-03-26
투수 코치 하나가 분위기를 바꿨다… SSG 오프시즌 의외의 전력 보강? 마운드 희망 보이나,"[스포티비뉴스=인천, 김태우 기자] SSG 구단 관계자들은 지난 1월 코칭스태프 및 프런트 전체 워크숍에서 한 코치의 준비에 깜짝 놀랐다. 2025년 시즌을 앞두고 1군 투수 코치로 영입한 경헌호 코치가 그 주인공이었다. 팀과 계약한 지 얼마 안 되는 시점이었는데 이미 팀 투수들의 장·단점을 훤하게 꿰고 있었다. 지난 오키나와 2차 캠프 당시, 한 구단 관계자는 ""투수들의 분석을 정확히 다 끝내고 오셨더라""고 혀를 내둘렀다. 경헌호 코치는 전형적인 LG맨이다. 2000년 LG에서 1군에 데뷔해 2011년 마지막 1군 시즌을 보낼 때까지 1군 통산 337경기를 모두 LG에 바쳤다. 은퇴 이후에도 LG 코칭스태프에 오래 몸담았다. 1군과 2군을 오가며 LG 마운드 형성의 기틀을 만들었다는 평가를 받는다. 그런 경 코치에 대한 SSG의 관심은 사실 즉흥적인 것이 아니었다. 예전부터 데려오고 싶었던 코치였다. LG와 계약 등 여러 가지 이유로 무산됐다가 지난해 시즌이 끝난 뒤 기회가 닿았다. 사실 SSG와 접점이 거의 없는 지도자다. 현재 SSG 프런트 및 코칭스태프와 개인적인 인연이야 있지만 지도자로서는 바깥에서만 SSG를 봐 왔다. 그런 경 코치는 오프시즌 철저한 준비를 통해 선수들과 심층적인 면담을 이어 갔다. 마냥 자신의 의견만 밀어붙이지 않았다. 자신의 생각도 말하고, 선수의 생각도 들었다. 선수가 자신의 생각대로 해보겠다고 하면 마냥 말리지는 않았다. 대신 그에 따른 장·단점을 명확하게 설명하고, 만약 뜻대로 되지 않았을 때의 플랜까지 제안했다. 실제 문승원의 경우는 스위퍼를 열심히 준비했지만 경 코치와 면담 끝에 스위퍼는 일단 쓰지 않는 것으로 했다. 대신 슬라이더를 두 가지로 나눠 던지는 쪽으로 경 코치의 의견을 수렴했다. 25일 인천 롯데전에서 최고 130㎞대 후반에 이르는 고속 슬라이더, 그리고 120㎞대 중·후반의 느린 슬라이더를 나눠 쓰면서 상대 타자들의 타이밍을 뺏었다. 투심과 슬라이더 위주의 투수였던 김민 또한 처음에는 다른 구종을 선호했지만 ""커터가 좋다""는 경 코치의 조언을 받아들여 커터를 장착, 시즌 초반 톡톡히 재미를 보고 있다. 이숭용 SSG 감독은 경 코치에게 '공격적인 승부를 하는 마운드'를 주문했다. 지난해 볼넷이 너무 많았던 SSG고, 결국 이것이 마운드의 패착이었기 때문이다. 경 코치 또한 볼넷을 줄이고 공격적으로 승부를 하자는 마인드를 캠프 기간 내내 불어넣었다. 그 결과 오키나와 캠프 연습경기에서는 실제 투수들의 볼넷이 줄어드는 성과도 있었고, 꼭 기록적인 부분이 아니더라도 선수들의 투구 패턴이 더 공격적으로 바뀌었다는 평가를 받았다. 이숭용 감독이 캠프 기간 중 가장 만족한 부분 중 하나였다. 구단 관계자는 ""선수층을 폭넓게 활용하는 것을 선호하는 스타일""이라고 말한다. 경 코치도 시즌 마운드 운영을 그렇게 가져가고 있다. 한 구단 관계자는 ""상황을 미리 생각하고 준비를 빨리 하는 스타일이다. 준비를 해두고 그 옵션을 감독님에게 이야기한다""면서 ""단순히 '이런 옵션이 있습니다'라고 이야기하는 게 아니라, '이런 옵션이 있는데 이 옵션이 좋을 것 같습니다'라고 말하는 스타일이다. 감독님도 의견을 적극적으로 수용한다. 마운드 방문도 과감하다. 맞더라도 후회는 없이 맞자는 스타일""이라고 설명했다. 그런 가운데 SSG는 시즌 첫 네 경기에서 마운드의 희망을 보고 있다. 물론 아직 표본이 적다는 점에서 확신할 수 있는 수준은 아니지만, 볼넷 개수와 별개로 확실히 예년보다 공격적인 승부들이 많이 보이고 있고 탈삼진도 많아졌다. 특히 올해 시즌 프리뷰에서 그다지 좋은 평가를 받지 못했던 국내 투수들의 성적이 좋다. 여기에 투수 교체도 비교적 합리적이고 깔끔해졌다는 평가가 나온다. 차례로 선발로 나선 김광현(5⅔이닝 8탈삼진 2실점), 문승원(6이닝 2실점), 송영진(6⅓이닝 1실점)이 릴레이 호투를 펼치며 SSG 국내 선발진이 약하지 않다는 것을 보여줬다. 김민 노경은 조병현이라는 불펜 필승조는 물론, 한두솔 이로운까지 한 단계 더 성장한 모습을 보여주고 있다. 여기에 뒤에서 대기하고 있는 투수들이 조금 더 분전해주고, 햄스트링 부상으로 이탈한 미치 화이트가 들어오면 지난해보다 더 나아진 마운드를 구축할 수 있다. 지난해 딱 1승이 모자라서 가을야구에 못 갔던 SSG다. 마운드가 더 나아진다면, 올해 시즌 프리뷰를 무시할 만한 성과를 거둘 수 있다.",2025-03-26
위기는 기회! 송영진의 반전 QS 피칭…“감독님 제 투구 보셨죠?”,"인천 = 정세영 기자 이런 반전이 또 있을까. SSG의 선발 기대주 송영진(21)이 올 시즌 첫 선발 등판에서 강렬한 인상을 남겼다. 송영진은 26일 인천SSG랜더스필드에서 열린 롯데와의 2025 신한 쏠(SOL) 뱅크 KBO리그 홈경기에 선발투수로 등판해 6.1이닝을 6안타 1실점으로 막고 SSG의 3-1 승리를 이끌었다. SSG는 전날 패배를 설욕하고 시즌 3승째(1패)를 챙겼다. 6.1이닝은 지난 2023년 1군 무대에 데뷔한 송영진의 개인 최다 이닝. 종전은 6이닝으로, 총 5차례 있었다. 이날 송영진의 직구 최고 구속은 시속 145㎞였지만, 최고 시속 141㎞까지 찍힌 슬라이더(21개)와 느린 커브(20개), 비시즌 연마한 포크볼(3개)을 고루 던지며 롯데 타선을 효율적으로 틀어막았다. 삼진은 6개. 시즌 첫 승리를 챙긴 송영진은 경기 뒤 취재진을 만나 ""시즌 첫 등판에서 첫 단추를 좀 잘 껴서 너무 다행이라고 생각한다""면서 ""이제 한 경기 던졌다. 오늘 경기를 발판 삼아서 더 잘 던져야 한다""고 소감을 밝혔다. 송영진은 앞선 2월 스프링캠프에서 박종훈, 김건우, 정동윤 등과 5선발 경쟁을 펼쳤다. 캠프 때까진 좋았다. 일본 오키나와 스프링캠프가 끝난 후 팀 내 최우수선수(MVP)로 뽑힌 것. 송영진은 오키나와 평가전 2경기에서 5이닝 1피안타 무실점 6탈삼진의 뛰어난 성적을 남겼다. 그러나 정작 잘해야 할 시범경기에선 부진했다. 10일 한화와의 시범경기에서 3이닝 동안 5안타 3실점으로 흔들렸다. 당시 한화전이 끝난 뒤 이숭용 SSG 감독은 ""(송)영진이도 3년 차다. 기회를 주고 있고, 기대를 많이 했는데 생각했던 것만큼 올라오지 않는다""라고 아쉬움을 감추지 않았다. 송영진은 이달 20일 LG와의 퓨처스리그에서도 3.2이닝 동안 5안타 4실점으로 부진했다. 두 경기 연속 부진. 송영진은 5선발 경쟁에서 낙마할 수 있었다. 그러나 1군 첫 선발 등판에서 기막힌 반전에 이뤘다. 이날 송영진의 투구 내용는 인상적이었다. 1회 초 첫 타자 황성빈에게 좌전안타를 내줬으나 이후 2번 타자 윤동희부터 3회 황성빈까지 9명의 타자를 연속 범타로 처리했다. 특히 3회엔 3명의 타자를 모두 삼진으로 돌려세웠다. 5회 안타 3개를 내주며 1실점 했지만, 추가 실점 없이 마무리했고, 6회도 무실점으로 막아 끝내 시즌 첫 퀄리티스타트(6이닝 이상 3자책 이하)를 달성했다. 송영진은 ""한 타자, 한 타자, 1이닝 던진다는 생각으로 공격적으로 피칭을 했던 게 좋은 결과로 이어졌다""고 설명했다. 송영진은 ""감독님이 ‘조금 좋은 모습을 보여달라’, ‘확 꽂히게 좀 보여달라’고 하셨다. 그래서 감독님에게 ‘시즌 때 보여드리겠습니다’라고 했는데, 그래도 오늘 잘 보였던 것 같아서 기분이 좋다""라고 환한 미소를 지었다. 그러면서도 ""근데 이제 한 경기를 한 것""이라면서 ""저는 만족하지 않고, 올해 목표가 있으니 이제 시작이라 생각한다. 올해 목표는 규정이닝과 10승을 채우는 것""이라고 다부지게 말했다. 이숭용 SSG 감독은 ""(송)영진이가 팀 승리를 이끄는 호투를 펼쳤다. 공격적 투구로 카운트를 선점했고 6이닝 이상을 던지며 퀄리티스타트를 기록했다. 내가 원하는 그림이었다""라고 극찬을 아끼지 않았다.",2025-03-26
"프로 와서 처음 본 7회 풍경, SSG 송영진 “1회하고 같던데요”","프로 첫 7회의 풍경은 어땠을까. SSG 송영진(21)은 “1회랑 똑같았다”고 웃었다. 송영진이 26일 인천 롯데전, 시즌 첫 등판에서 6.1이닝 1실점 호투로 승리를 따냈다. 6.1이닝은 데뷔 후 최다 이닝 기록이다. 그동안 6이닝 피칭만 5차례 했다. SSG는 송영진에 이어 이로운, 김민, 노경은까지 롯데 타선을 꽁꽁 틀어막으며 3-1로 이겼다. 송영진의 공격적인 투구가 좋은 결과로 이어졌다. 이날 던진 공 83개 중 56개가 스트라이크였다. 초구부터 거침없이 존을 공략했다. 공격적으로 던지다 보니 파울로 스트라이크도 잡고, 초구 아웃도 잡을 수 있었다고 했다. 이날 초구부터 롯데 타자가 공격적으로 나왔지만, 송영진은 물러서지 않고 정면으로 맞붙었다. 그래서 결과가 더 좋았다. 주자를 내보낸 뒤에도 흔들리지 않았다. 송영진은 “작년까지는 항상 마운드 위에서 저하고 싸웠다. 오늘은 주자가 나가도 신경쓰지 않고 타자와 싸웠던 것 같다. 주자가 나가도 아웃 카운트하고 점수 하나 바꾸자고 생각한게 좋았던 것 같다”고 말했다. 시범경기만 해도 송영진의 투구 내용은 썩 좋지 않았다. 이숭용 SSG 감독이 직접 송영진에게 “좋은 모습을 좀 보여달라. 내가 확 꽂히게 해달라”고 주문을 했다. 송영진은 “그때 감독님께 정규시즌 들어가면 보여드리겠다고 했다. 오늘 잘 보여드린 것 같아서 기분이 좋다”고 말했다. 산뜻한 승리로 기분좋게 시즌을 출발했다. 송영진은 “이제 1경기 던진 거니까 만족하지 않는다. 스스로 목표가 있으니까 이제 시작이라고 생각한다”고 말했다. 송영진이 세운 목표는 규정이닝과 10승이다. 프로 2년차 시즌인 지난해 송영진은 99.1이닝에 5승 10패를 기록했다. 송영진은 불펜의 동료 투수들에게 고맙다고 했다. 7회 1사 1루에서 송영진은 입단 동기 이로운에게 공을 넘겼다. 2-1, 박빙 리드였기에 자칫하면 승리 투수 요건이 무너질 수도 있는 상황. 이로운은 공 1개로 롯데 전민재를 병살 처리하며 친구의 승리를 지켰다. 송영진은 “워낙 순식간에 이닝이 끝나서 따로 얘기도 못했다. 그냥 안아만 줬다”고 했다. 이날 등판은 하지 않았지만 마무리 조병현(23)도 고마운 선배다. 던지는 걸 보기만 해도 배우는 게 많다는 것이다. 송영진은 “병현이 형이 라커룸 바로 옆자리다. 병현이 형 던지는 걸 보면서 타자랑 싸워서 질 것 같지가 않다는 생각을 많이 했다. 병현이 형한테 ‘어떤 생각으로 던지느냐’고 항상 물어봤다”면서 “병현이 형이 항상 ‘네 볼 믿고 가운데만 보고 던지라’고 했다. 그 말 덕분에 자신감이 생긴 것 같다”고 말했다. SSG는 이날 승리로 전날 패배를 되갚았다. 개막전 드류 앤더슨의 3.2이닝 4실점 부진 이후 나온 선발들의 호투 릴레이가 고무적이다. 에이스 김광현이 5.2이닝 2실점을 했고, 전날 문승원도 6이닝 2실점을 했다. 불펜진도 안정적인 투구를 이어가는 중이다. 이숭용 감독은 경기 후 “영진이가 공격적인 투구로 카운트를 선점했고, 6이닝 이상을 던지며 퀄리티스타트를 기록했다. 내가 원하는 그림이었다”고 했다. 불펜을 향해서도 “3점 차 이내 승부가 계속 펼쳐지고 있는데 불펜 투수들이 큰 힘이 되고 있다. 너무나 고맙다”고 했다. 인천 | 심진용 기자 sim@kyunghyang.com",2025-03-26
"시즌 첫 경기서 개인 최다 이닝&승리…“송영진, 원했던 그림”","사진=SSG랜더스 제공
“송영진의 피칭, 원하던 그림이었다!”
 
프로야구 SSG가 설욕에 성공했다. 26일 인천 SSG랜더스필드에서 열린 롯데와의 ‘2025 신한 쏠뱅크 KBO리그’ 홈경기서 3-1 승리를 거뒀다. 전날 연장 11회까지 접전 끝에 2-3으로 패했던 아쉬움을 털어냈다. 시즌 성적 3승1패로 좋은 흐름을 이어갔다.
 
견고한 마운드가 눈에 띄었다. 선발투수로 나선 프로 3년차 송영진은 6⅓이닝 6피안타 1실점(1자책)으로 호투, 승리투수의 기쁨을 누렸다. 볼넷은 1개 내준 반면, 탈삼진은 6개나 잡아냈다. 6⅓이닝은 자신의 한 경기 최다 이닝 기록이기도 하다. 바통을 이어받은 이로운(⅔이닝), 김민, 노경은(이상 1이닝 무실점) 등도 안정적으로 뒤를 받쳤다.
 
사진=SSG랜더스 제공
 
타선에선 응집력 있는 면모가 인상적이었다. 롯데와 같은 7안타를 때려냈음에도 다른 결과를 냈다. 무엇보다 중요할 때마다 터지는 SSG표 장타가 주효했다. 특히 리드오프 최지훈은 1회 말 첫 타석에서 아치를 그리며 기선을 제압했다. 1회 말 선두타자 홈런은 초반 기선을 가져오는 게 큰 역할을 한다. 시즌 1호 이자 통산 371번째, 개인 4번째 기록이다.
 
수장도 미소를 지었다. 이숭용 SSG 감독은 “(송)영진이가 팀 승리를 이끄는 호투를 펼쳤다. 공격적 투구로 카운트를 선점했고 6이닝 이상을 던지며 퀄리티스타트(QS·선발 6이닝 이상 3자책 이하)를 기록했다. 내가 원하는 그림이었다”고 엄지를 치켜세웠다. 이어 “4경기에서 3점차 이내 승부가 펼쳐지고 있는데 불펜투수들이 큰 힘이 되고 있다. 너무나 고맙다. 타선에선 (최)지훈이의 선두타자 홈런으로 기선을 제압했다. 긴박한 리드상황에서 (하)재훈이가 8회 말 달아나는 타점을 기록하면서 승리할 수 있었다”고 평했다.
 
인천=이혜진 기자 hjlee@sportsworldi.com",2025-03-26
"'6⅓이닝 1실점'…감독이 던진 물음표, 느낌표로 바꾼 SSG 송영진","(인천=뉴스1) 문대현 기자 = SSG 랜더스의 3년 차 유망주 송영진(21)이 롯데 자이언츠전 호투로 이숭용 감독의 마음을 사로잡았다. 실전에서 통하는 투구로 5선발 경쟁에서 유리한 고지를 선점했으나, 정작 자신은 아직 갈 길이 멀다며 만족하지 않았다. 송영진은 26일 인천 SSG랜더스필드에서 열린 2025 신한 SOL뱅크 KBO리그 롯데와 홈경기에 선발 등판해 6⅓이닝 6피안타 1볼넷 6탈삼진 1실점 호투로 팀의 3-1 승리에 기여했다. 송영진은 2-1로 앞선 7회 1사 1루에서 이로운에게 공을 넘겼다. 이후 이로운(⅔이닝 무실점), 김민, 노경은(이상 1이닝 무실점)이 차례로 롯데 타선을 틀어막으며 송영진이 승리투수가 됐다. 경기 후 취재진과 만난 송영진은 ""주자가 나가도 신경 쓰지 않고 타자와 싸우는 데 집중한 것이 좋은 결과가 나왔다. 스프링캠프 때부터 투구 템포 조절을 위해 이미지 트레이닝을 해왔는데 그것도 오늘 호투에 도움이 된 것 같다""고 웃었다. 송영진은 2023년 혜성과 같이 등장했다. 그해 4월 14일, 에이스 김광현이 어깨 부상으로 전력에서 이탈하자 송영진에게 '대체 선발'의 기회가 왔고 5이닝 무실점으로 승리투수가 되며 기대에 부응했다. 2023시즌 성적은 3승3패 평균자책점 5.70. 특출나진 않았으나, 신인임에도 위축되지 않고 씩씩하게 속구를 던지는 모습이 인상적이었다. 2024시즌에는 성장세가 둔했다. 경기력에 기복을 보이며 5승10패 평균자책점 5.80에 머물렀다. '웃상'이던 얼굴에 그늘이 드리운 적도 있었다. 그러자 좌절하는 대신, 실력을 연마하는 데 집중했고, 5선발 경쟁에 뛰어들었다. 시범경기에서는 부진한 모습으로 이숭용 감독으로부터 '나에게 뭔가 확 꽂히게 만들어달라'는 일침을 받기도 했다. 당시 송영진은 '시즌 때 보여드리겠다'고 큰소리를 쳤는데, 이날 승리로 허언이 아니었음을 증명했다. 송영진은 ""마무리 (조)병현이형이 라커룸에서 내 옆자리를 쓴다. 그래서 경기 후 매번 어떻게 하면 공을 더 잘 던질 수 있는지 물어보는데 '그냥 자신을 믿고 가운데로만 던져라'고 하더라""며 ""오늘 다행히 첫 단추를 잘 끼웠다. 이를 발판 삼아 앞으로 더 잘 던지고 싶다""고 말했다. 이어 ""우리 팀 불펜이 좋아서 선발투수로 믿음이 간다. 친구 (이)로운이도 불펜에서 잘 던지고 있다""며 ""앞으로 나를 더 믿고, 목표인 규정 이닝 달성과 10승을 채우기 위해 더욱 노력하겠다""고 덧붙였다.",2025-03-26
"'홀드왕 타이틀홀더' 노경은, 703일 만에 SV...SSG 3승 견인 [IS 스타]","SSG 랜더스 셋업맨 노경은이 703일 만에 세이브를 올렸다. 사진=SSG 랜더스

'노장' 셋업맨 노경은(41)이 703일 만에 세이브를 올렸다. 

노경은은 26일 인천 SSG 랜더스필드에서 열린 2025 KBO리그 롯데 자이언츠와의 홈 주중 3연전 2차전에서 소속팀 SSG가 3-1로 앞선 9회 초 마운드에 올라 1이닝을 실점 없이 막아내며 세이브를 기록했다. 지난 2023년 4월 23일 인천 키움 히어로즈전 이후 703일 만에 세이브를 올렸다. 

SSG는 2-1, 1점 차 '살얼음판' 리드 속에 8회 말을 맞이했다. 선두 타자 정준재가 상대 투수 김상수로부터 좌전 2루타를 쳤고, 오태곤은 희생번트 작전을 잘 수행했다. 기예르모 에레디아가 고의4구로 출루해 만든 기회에서 전날(25일) 홈런을 쳤던 하재훈이 김상수의 슬라이더를 공략해 좌측 내야를 가르는 안타로 3루 주자를 홈으로 불러들였다. 

꼭 필요한 시점에 득점이 나온 SSG. 9회 초 마운드에는 지난 시즌(2024) 홀드왕(38개) 노경은이 마운드에 올랐다. 이숭용 SSG 감독은 전날(25일) 연장 승부 10회 등판한 마무리 투수 조병현에게 이날 휴식을 부여했다. 

노경은은 완벽한 투구로 임무를 완수했다. 한국 나이로 마흔두 살. 투수 중에는 그보다 선배가 오승환 한 명뿐이다. 그런 그가 이날 다시 한번 투혼의 투구를 보여줬다. SSG는 시즌 3승(1패)를 거뒀다. 

인천= 안희수 기자 anheesoo@edaily.co.kr",2025-03-26
"이숭용 SSG 랜더스 감독 ""송영진, 내가 원하는 그림"" [IS 승장]","SSG 랜더스 송영진이 26일 롯데 자이언츠전에서 6과 3분의 1이닝 1실점을 기록하며 승리 투수가 됐다. 사진=SSG 랜더스

SSG 랜더스가 시즌 3승을 거뒀다. 사령탑은 이상적인 경기를 치른 선수들을 두루 칭찬했다. 

SSG는 26일 인천 SSG 랜더스필드에서 열린 2025 KBO리그 롯데 자이언츠와의 홈 주중 3연전 2차전에서 3-1로 승리했다. 선발 투수로 나선 송영진이 6과 3분의 1이닝 1실점으로 호투했다. 개인 최다 이닝 신기록이었다. 타선에선 최지훈이 1회 말 선두 타자 안타를 쳤고, 2회 박지환이 우익 선상 적시타를 치며 추가 득점을 이끌었다. 추가 득점이 필요했던 8회는 주자를 3루에 두고 하재훈이 적시 좌전 안타를 쳤다. 조병현이 휴식을 부여받은 상황에서 베테랑 셋업맨 노경은이 9회를 깔끔하게 막아내며 승리를 지켜냈다. 

SSG는 두산 베어스와의 홈 개막 시리즈에서 2연승을 거뒀다. 전날(25일) 롯데 1차전에서는 연장 승부 끝에 2-3으로 패했지만, 연패를 허락하지 않았다. 

경기 뒤 이숭용 SSG 감독은 ""(송)영진이가 팀 승리를 이끄는 호투를 펼쳤다. 공격적 투구로 카운트를 선점했고 6이닝 이상을 던지며 퀄리티스타트를 기록했다. 내가 원하는 그림이었다""라고 극찬했다. 이어 무실점으로 자기 임무를 완수한 이로운과 김민, 노경은 등 불펜 투수들을 향해 ""4경기에서 3점차 이내 승부가 펼쳐지고 있는데 불펜투수들이 큰 힘이 되고 있다. 정말 고맙다""라고 평가했다. 알토란 같을 득점을 적소에 해준 타선에 대해서는 ""(최)지훈이의 선두 타자 홈런으로 기선을 제압했고 긴박한 리드상황에서 (하)재훈이가 8회말 달아나는 타점을 기록하면서 승리할 수 있었다""라고 평가했다. 

인천=안희수 기자 anheesoo@edaily.co.kr",2025-03-26
