news_title,news_content,published_date
"권희동, 146km 투심에 맞은 왼손 '단순 타박'...출전 공백은 짧을 듯","NC 권희동. 사진[연합뉴스]
프로야구 2025시즌 타율 1위를 달리는 NC 다이노스 권희동이 경기 도중 투구에 맞은 왼손에 대한 정밀 진단 결과 단순 타박이라는 의사 소견을 받았다.

권희동은 28일 경남 창원NC파크에서 열린 2025 신한 SOL뱅크 KBO리그 LG 트윈스와 홈 경기에 1번 타자 좌익수로 선발 출전했다.

1회말 첫 타석에서 상대 선발 요니 치리노스의 5구째 시속 146㎞ 투심에 왼쪽 손을 맞은 권희동은 결국 2회 교체됐고 인근 병원으로 옮겨 검진받았다.

NC 구단은 29일 권희동의 상태에 대해 ""단순 타박으로 결과가 나왔다""며 ""오늘 경기 출전 여부는 추후 결정될 것""이라고 밝혔다.

뼈에 이상이 없는 것으로 확인되면서 29일 경기에 나오지 못하더라도 결장 기간이 길지는 않을 것으로 예상된다.

권희동은 이번 시즌 12타수 7안타, 타율 0.583을 기록하며 타율 1위를 달리고 있다. 타율 2위는 0.500(24타수 12안타)을 기록 중인 삼성 라이온즈 김지찬이다.",2025-03-29
[프로야구 창원전적] LG 14-4 NC,"▲ 창원전적(29일)

LG 300 213 500 - 14

NC 001 012 000 - 4

△ 승리투수 = 손주영(2승)

△ 패전투수 = 라일리(1승 1패)

△ 홈런 = 문보경 4호(5회1점) 오스틴 3호(6회3점·이상 LG)

김형준 1호(3회1점) 김휘집 1호(5회1점) 데이비슨 3호(6회2점·이상 NC)

(서울=연합뉴스)",2025-03-29
"'충격' NC-LG 경기 중 구조물 추락, 3명 부상... NC ""구단이 할 수 있는 조치 다할 것"" [MD창원]","창원NC파크 구조물이 떨어졌다./창원=심혜진 기자

[마이데일리 = 창원 심혜진 기자] 창원NC파크에서 사고가 터졌다. 구조물이 떨어져 팬들이 부상을 당했다.

LG와 NC는 29일 창원NC파크에서 주말 2연전 두 번째 경기를 치르고 있다.

전날(28일) NC의 홈 개막전에서는 LG가 8-4로 승리했다.

NC는 박민우(지명타자)-김주원(유격수)-손아섭(우익수)-데이비슨(1루수)-박건우(중견수)-권희동(좌익수)-도태훈(2루수)-김형준(포수)-김휘집(3루수)으로 선발 라인어을 꾸렸다. 선발 투수 라일리 톰슨.

LG는 홍창기(우익수)-신민재(2루수)-오스틴(1루수)-문보경(3루수)-오지환(유격수)-송찬의(좌익수)-김현수(지명타자)-박동원(포수)-박해민(중견수) 순으로 나섰다. 선발 투수는 손주영.

이날 LG가 승리한다면 개막 7연승을 달린다. 이는 구단 역사상 최다 개막 연승이다.

NC의 실책 연발로 LG가 1회 3득점에 성공한 가운데 3회말 김형준이 솔로포를 쳐 추격을 하고 있다.

경기가 중반으로 향하고 있는 가운데 사고가 터졌다. 구조물이 떨어져 팬들이 부상을 당한 것이다.

곧장 NC 구단은 상황 파악에 나섰다. NC 관계자는 ""오후 5시 20분경 3루 방향 매점 부근의 벽 고정물이 떨어져 3명이 부상을 당했다. 이 중 2명은 구급차를 타고 인근 병원 이송됐다. 나머지 한 분은 구조물에 직접 맞지는 않았고 놀란 상태다. 다른 병원으로 이동했다""고 설명했다.

구조물이 떨어진 이유에 대해서는 확인 중에 있다. 관계자는 ""구단이 할 수 있는 조치는 다 할 예정이다. 현장으로 가는 길목은 모두 통제하고 있다""고 덧붙였다.
창원NC파크 구조물이 떨어진 부분./창원=심혜진 기자",2025-03-29
"'실책-실책-실책' 1회초부터 3실책→3실점...왜 이러나, LG 연승 기세에 눌렀나","[OSEN=창원, 한용섭 기자] 29일 창원NC파크에서 열린 LG 트윈스와 NC 다이노스의 경기. 1회초 시작하자마자 NC가 실책을 쏟아내며 흔들렸다. LG는 1회초 톱타자 홍창기가 NC 선발 라일리 상대로 볼넷을 골라 출루햇다. 2번 신민재의 타구는 2루 베이스쪽 땅볼, 유격수 김주원이 앞으로 달려나오며 잡고서 뒤에 2루수에게 백토스를 시도했다. 그러나 공이 옆으로 빗나가는 송구 실책. 무사 1루와 2루가 됐다. 오스틴의 타구는 중견수가 뒤로 물러나며 잡아내는 뜬공이었다. 2루주자는 3루로 태그업했다. 중견수의 송구를 받은 유격수가 3루로 던진 것이 3루수가 잡을 수 없는 악송구가 됐다. 송구 실책으로 1루주자가 2루로 진루했다. 1사 2,3루에서 이번에는 투수 라일리가 실책으로 자멸했다. 문보경의 1루쪽 빗맞은 땅볼 타구를 잡으려다 떨어뜨렸다. 3루주자는 득점, 문보경이 투수 포구 실책으로 1루로 진루했다. 1회초 타자 4명을 상대하면서 실책이 3개나 쏟아졌다. 1사 1,3루에서 오지환은 우익수 희생플라이로 1타점을 올렸다. 송찬의가 볼넷을 골라 2사 1,2루가 됐고, 김현수가 3유간을 빠져나가는 좌전 적시타를 때려 스코어를 3-0으로 달아났다. 라일리는 1회에만 33개의 공을 던지며 힘들게 시작했다. LG는 3점을 먼저 뽑으며 구단 신기록인 개막 7연승을 향해 좋은 출발을 했다. 한편 NC는 전날 4-4 동점인 8회 2사 만루에서 투수 김재열의 폭투로 결승점을 내줬고, 9회도 투수 류진욱의 폭투로 공짜 점수를 1점 더 줬다. /orange@osen.co.kr",2025-03-29
"""어제 가장 흥분한 경기였다"" 초보 감독의 자책...""대타를 메모까지 해뒀는데 까먹었다"" [오!쎈 창원]","[OSEN=창원, 한용섭 기자] NC 다이노스 이호준 감독이 홈 개막전을 치른 뒤 “가장 흥분한 경기였다”고 아쉬움을 드러냈다. NC는 28일 창원NC파크에서 LG 트윈스와 홈 개막전을 치렀고 4-8로 패배했다. 6회말 1점을 뽑아 2-2 동점을 만들고, 7회말 다시 4-4 동점을 만들었는데, 마지막 고비를 넘기지 못하고 패배했다. 이호준 감독은 29일 경기에 앞서 취재진 인터뷰에서 “어제 마음을 비웠다가 사정권에 들어오니까… 어제는, 감독하면서 6경기째였죠, 6경기 중에 가장 흥분을 많이 한 것 같다”며 “표정이 울긋불긋 했는데 카메라에 많이 잡혔나 보더라”고 웃으며 말했다. 이어 “생각해보니 첫 경기는 왕창 깨져서 편하게 마음 먹고, 삼성 1차전도 왕창 깨지고. 지는 경기로 왕창 깨졌다. 어제는 뭔가 타이트한 게 나도 모르게 조금 흥분한 것 같다”고 말했다. 미리 준비한 계획을 제대로 실행하지 못한 자책도 있었다. 이 감독은 “어제 (박)세혁이를 활용했었어야 됐는데, 형준이가 좀 지쳤는데, 중간에 생각해놨는데, 생각해놓은 것을 까먹고 못 했다”고 자책했다. 이어 “(LG)백승현이가 왼손 타자한테 조금 약한 게 좀 보여서 승현이 때 걸리면 세혁이를 내야겠다 생각했는데, 나 혼자 흥분해서 그거를 끝나고 형준이가 삼진 먹고 나올 때 생각났다. 메모까지 해놨는데 그걸 놓쳤다. 물론 (세혁이를 대타로 냈다면) 결과가 어떻게 됐을지 몰라도, 메모까지 해놓은 건데 그걸 놓치더라”라고 설명하며 아쉬워했다. 이 감독은 ""LG를 크게 의식하지는 않고 있다고 생각했는데 이상하게 흥분됐다. 홈 개막전이라 그랬는지 평소와 달랐다""고 덧붙였다. 이날 NC는 베스트 라인업으로 나선다. 왼손 손가락 잔부상으로 전날 결장했던 박민우가 톱타자로 나선다. 전날 1회 손등에 사구를 맞아 2회 교체된 권희동도 정상 출장한다. 박민우(지명타자) 김주원(유격수) 손아섭(우익수) 데이비슨(1루수) 박건우(중견수) 권희동(좌익수) 도태훈(2루수) 김형준(포수) 김휘집(3루수)이 선발 라인업으로 나선다. 이 감독은 “어제 사실 희동이가 중간에 빠지면서, 민우와 희동이가 빠져버리니까 조금 힘들긴 하더라. 처음에는 뒤에 애들이 잘 받쳐서 가면, 공백이 그렇게 크게 안 느껴지지 않을까 했는데, 막상 해보니 그렇게 쉬운 건 아니더라. 어제 희동이 빠지고 찬스가 한 번 걸렸고, 7회 무사 1,2루도 있었다”고 아쉬워했다. 이어 “무리 안 시키려고 했는데, 트레이닝 파트에서 선수(박민우) 의지가 너무 강하다고 하더라. 민우가 LG 선발 손주영 상대로 우리 팀이 제일 잘 쳤던 것 같다. 9타수 6안타인가 잘 쳤다더라. 권희동은 8-0이라고”하며 기대했다. 박민우는 손주영 상대로 통산 12타수 5안타(타율 .417), 데이비슨이 10타수 5안타(타율 .500) 3홈런 4사사구로 강했다. 권희동은 8타수 무안타다. /orange@osen.co.kr",2025-03-29
"NC 주장 투혼! 상대 타율 0.417 '손주영 저격수'로 선발 출전…""선수 출전 의지가 강하다"" [창원 현장]","(엑스포츠뉴스 창원, 박정현 기자) ""트레이닝 파트 말로는 '선수 출전 의지가 너무 강하다'고 한다."" 이호준 NC 다이노스 감독은 29일 창원 NC파크에서 열릴 '2025 신한 SOL Bank KBO 리그' LG 트윈스와 정규시즌 2차전을 앞두고 선발 라인업을 발표했다. 이날 NC는 박민우(지명타자)-김주원(유격수)-손아섭(우익수)-맷 데이비슨(1루수)-박건우(중견수)-권희동(좌익수)-도태훈(2루수)-김형준(포수)-김휘집(3루수), 선발 투수 라일리 톰슨(1승 5⅓이닝 평균자책점 3.38)으로 진용을 갖췄다. 눈에 띄는 건 부상자 주장 박민우, 외야수 권희동의 복귀다. 박민우는 지난 26일 대구 삼성 라이온즈전에서 도루 중 왼손 중지를 다쳤다. 이후 이틀간 휴식한 뒤 세 경기 만에 선발 라인업에 복귀했다. 권희동은 직전 경기(28일 창원 LG전) 상대 선발 요니 치리노스의 시속 146㎞ 투심 패스트볼에 왼쪽 손등을 맞았다. 부상 탓에 중도 교체돼 우려를 낳았으나 병원 X-레이 결과 '단순 타박' 판정을 받아 정상 출전을 준비한다. 이 감독은 ""어제 저녁에는 (권)희동이와 (박)민우가 출전할 수 있을지 몰랐다. 민우는 원래 2루수로 나서는 것이었는데 포구할 때 충격이 있어 보인다. 타격에서도 통증은 있지만, 트레이닝 파트 말로는 '선수 출전 의지가 너무 강하다'고 한다. 선수도 '나가겠습니다'고 하더라""고 얘기했다. 이로써 NC는 완전체 라인업으로 LG전을 맞이한다. 공격의 핵심 박민우와 권희동은 타선에 활력을 불어넣을 전망이다. 이 감독은 ""중간에 희동이가 빠지면서 조금 힘들긴 했다. 처음에는 선수가 이탈해도 백업 선수들이 잘 받쳐주면, 공백이 크게 안 느껴질 것으로 생각했는데, 막상 해보니 쉬운 게 아니더라. 희동이가 빠졌을 때도 찬스(2회말 1사 1,2루/7회말 무사 1,2루)가 걸렸다. 민우는 무리하지 않으려 했지만, 선수 의지가 너무 강하다. 상대 선발 손주영에게 우리 팀에서 가장 잘 쳤던 것 같다""고 말했다. 실제 박민우는 통산 손주영과 맞대결에서 상대 타율 0.417(12타수 5안타) OPS(출루율+장타율) 0.879를 기록하고 있다. 현재 라인업에 있는 선수 중 데이비슨(10타수 5안타 3홈런 4타점 OPS 2.043)에 이어 가장 뛰어난 수치다. 박민우가 공격의 첨병이자 손주영 저격수로서 제 몫을 해줄지 많은 기대를 받고 있다. 이날 NC는 필승조 전원이 대기한다. 2023년 토미존서저리(팔꿈치 인대 재건 수술)을 받고 돌아온 구원 투수 김진호의 등판 여부만 고심하고 있다. 수술받았기에 충분한 관리를 해주려 한다. 이 감독은 ""오늘(29일) 우리 승리조가 다 복귀했다""며 ""(김)진호만 고민하고 있다. 트레이닝 파트에서 '괜찮다'고 하는데, 상황이 안 되면 안 쓰려고 한다. 쓰더라도 급한 불만 끄고 나오는 걸로 계획한다""고 설명했다. 없음 사진=엑스포츠뉴스 DB",2025-03-29
"“출전 의지가 강하다더라” NC, 베스트 라인업 ‘출격’→LG ‘7연승’ 막는다 [SS창원in]","NC 권희동. 사진 | NC 다이노스

[스포츠서울 | 창원=김민규 기자] “(박)민우, (권)희동이 빠지니깐 힘들더라.” 주축 타자 ‘공백’을 확실히 실감했다. 더욱이 득점 기회를 놓쳤을 때는 빈자리가 더 크게 다가왔다. NC 얘기다. 사령탑의 마음이 닿았을까. 손가락 부상으로 빠졌던 ‘캡틴’ 박민우(32)와 전날 경기 도중 공에 맞았던 권희동(35)이 출전 명단에 이름을 올렸다. ‘베스트 라인업’이다. NC 이호준 감독은 29일 창원NC파크에서 열린 2025 KBO리그 LG와 홈 3연전 둘 째날 경기를 앞두고 만나 “(권)희동이와 (박)민우가 안 될 줄 았았는데 뛸 수 있다더라”며 안도의 미소를 지었다. 이날 NC는 박민우(지명타자)-김주원(유격수)-손아섭(우익수)-데이비슨(1루수)-박건우(중견수)-권희동(좌익수)-도태훈(2루수)-김형준(포수)-김휘집(3루수) 등 베스트 라인업을 꾸렸다. 선발 투수는 라일리 톰슨. 이 감독은 “민우는 원래 2루수로 넣을려고 했는데 수비할 때 공을 잡으면 아직 충격이 있는 것 같다. 방망이도 통증이 있는데, 트레이닝 파트에서 ‘민우가 경기에 나가겠다는 의지가 강하다’고 해서 또 나가게 됐다”고 설명했다. NC 박민우가 23일 광주-기아 챔피언스 필드에서 열린 KIA와 2025 KBO리그 정규시즌 개막 2연전 두 번째 경기에서 승리한 후 인터뷰에 응했다. 광주 | 김동영 기자 raining99@sportsseoul.com

박민우는 손가락 부상으로 전날 경기에도 출전하지 못했다. 그런데 이날 ‘리드오프’로 복귀한 것. 게다가 전날 경기 도중 사구로 2회 교체됐던 권희동도 정상 출장한다. 권희동은 전날 LG와 경기 1회말 치리노스의 146㎞ 속구에 왼손을 맞았다. 결국 2회말 교체됐고 병원 검진을 받았다. 검진 결과 단순 타박상 소견을 받았다. 천만다행이다. 권희동은 NC 타선의 핵이다. 6경기에서 타율 0.583 1홈런 2타점 7득점 OPS(출루율+장타율) 1.616을 적고 있다. 출루율이 무려 0.783이다. 이 감독은 “(박)민우가 없는 상태에서 어제 (권)희동이가 중간에 빠져버리니깐 힘들긴 하더라. 운영하는 입장에서 작년에 민우와 희동이가 빠졌을 때 느낌은 어땠을까라는 생각도 들더라”며 “이 선수들이 빠지면 젊은 애들로 받쳐서 가면 공백이 크게 느껴지지 않을 거라 생각했는데 막상 해보니 쉬운 게 아닌 것 같다”고 돌아봤다. NC 라일리가 9일 창원NC파크에서 열린 2025 KBO리그 시범경기 키움전에 선발 등판해 힘차게 공을 던지고 있다. 사진 | NC 다이노스

이날 NC 선발 투수는 라일리다. 라일리는 지난 23일 KIA전에 선발 등판해 5.1이닝 4안타(1홈런) 3볼넷 5삼진 3실점(2자책)을 기록하며 승리 투수가 됐다. 시즌 2승째 도전. 베스트 라인업을 앞세운 NC가 구단 최다 연승 신기록에 도전하는 LG ‘7연승’ 독주를 막을 수 있을까. kmg@sportsseoul.com",2025-03-29
"'천만 다행' NC 권희동, 사구 맞은 왼손 '단순 타박'","권희동. [NC 다이노스 제공]




2025시즌 타율 1위를 달리는 NC 다이노스 권희동이 경기 도중 투구에 맞은 왼손에 대한 정밀 진단 결과 단순 타박이라는 의사 소견을 받았다.

권희동은 28일 경남 창원NC파크에서 열린 2025 신한 SOL뱅크 KBO리그 LG 트윈스와 홈 경기에 1번 타자 좌익수로 선발 출전했다.

1회말 첫 타석에서 상대 선발 요니 치리노스의 5구째 시속 146㎞ 투심에 왼쪽 손을 맞은 권희동은 결국 2회 교체됐고 인근 병원으로 옮겨 검진받았다.

NC 구단은 29일 권희동의 상태에 대해 ""단순 타박으로 결과가 나왔다""며 ""오늘 경기 출전 여부는 추후 결정될 것""이라고 밝혔다.

뼈에 이상이 없는 것으로 확인되면서 29일 경기에 나오지 못하더라도 결장 기간이 길지는 않을 것으로 예상된다.

권희동은 이번 시즌 12타수 7안타, 타율 0.583을 기록하며 타율 1위를 달리고 있다. 타율 2위는 0.500(24타수 12안타)을 기록 중인 삼성 라이온즈 김지찬이다.",2025-03-29
"NC팬들 가슴 쓸어내렸다…'5할 타자' 권희동 왼손 ""단순 타박""","“왼손 정밀 진단 결과 단순 타박”
29일 LG트윈스전 라인업 포함
권희동 NC다이노스 선수. 사진 제공=NC다이노스

[서울경제]

프로야구 2025시즌 타율 1위를 기록하고 있는 NC다이노스 권희동이 경기 도중 투구에 맞은 왼손에 대한 정밀 진단 결과 단순 타박이라는 의사 소견을 받았다.

NC다이노스는 29일 권희동의 상태에 대해 “단순 타박으로 결과가 나왔다”며 “오늘(29일) LG트윈스와 경기 라인업에 포함됐다”고 밝혔다.

권희동은 전날 경남 창원NC파크에서 열린 2025 신한 SOL뱅크 KBO리그 LG 트윈스와의 홈 경기에 1번 타자 좌익수로 선발 출전했다.

권희동은 1회말 첫 타석에서 상대 선발 요니 치리노스의 5구째 시속 146㎞ 투심에 왼쪽 손을 맞았다. 권희동은 결국 2회에 교체됐고 인근 병원으로 옮겨 검진받았다. 뼈에 이상이 없는 것으로 확인된 권희동은 부상으로 인한 결장 우려를 털고 이날 경기부터 바로 출전을 재개한다.

권희동은 이번 시즌 12타수 7안타, 타율 0.583을 기록하며 프로야구 타율 1위다. 타율 2위는 0.500(24타수 12안타)을 기록 중인 삼성 라이온즈 김지찬이다.",2025-03-29
"프로야구 타율 1위 NC 권희동, 사구 맞은 왼손 '단순 타박'(종합)","NC 권희동
[NC 다이노스 제공. 재판매 및 DB 금지]


(서울=연합뉴스) 김동찬 기자 = 프로야구 2025시즌 타율 1위를 달리는 NC 다이노스 권희동이 경기 도중 투구에 맞은 왼손에 대한 정밀 진단 결과 단순 타박이라는 의사 소견을 받았다.

권희동은 28일 경남 창원NC파크에서 열린 2025 신한 SOL뱅크 KBO리그 LG 트윈스와 홈 경기에 1번 타자 좌익수로 선발 출전했다.

1회말 첫 타석에서 상대 선발 요니 치리노스의 5구째 시속 146㎞ 투심에 왼쪽 손을 맞은 권희동은 결국 2회 교체됐고 인근 병원으로 옮겨 검진받았다.

NC 구단은 29일 권희동의 상태에 대해 ""단순 타박으로 결과가 나왔다""며 ""오늘 LG와 경기 라인업에 포함됐다""고 밝혔다.

뼈에 이상이 없는 것으로 확인된 권희동은 부상으로 인한 결장 우려를 털고 29일 경기부터 바로 출전을 재개했다.

권희동은 이번 시즌 12타수 7안타, 타율 0.583을 기록하며 타율 1위를 달리고 있다. 타율 2위는 0.500(24타수 12안타)을 기록 중인 삼성 라이온즈 김지찬이다.

emailid@yna.co.kr",2025-03-29
