팀 이름,이름,IP,TBF,H,R,ER,BB,HBP,K,HR,GO-FO,NP-S,IR-IS,GSC,ERA,WHIP,LI,WPA,RE24
두산,콜어빈,5.0,25,7,4,4,1,2,6,0,2-5,92-55,0-0,42,7.20,1.60,1.28,-0.187,-0.92
두산,박치국,1.1,4,0,0,0,0,0,0,0,2-2,13-9,0-0,,0.00,0.00,1.34,0.137,0.91
두산,박정수,0.1,1,0,0,0,0,0,0,0,1-0,3-2,0-0,,0.00,0.00,1.41,0.035,0.19
두산,이병헌,0.1,1,0,0,0,0,0,0,0,0-1,5-2,0-0,,0.00,0.00,0.94,0.024,0.13
두산,이영하,1.0,6,1,2,2,2,0,1,1,1-1,26-12,0-0,,18.00,3.00,1.38,-0.534,-1.38
두산,팀 합계,8.0,37,8,6,6,3,2,7,1,6-9,139-80,0-0,42,6.75,1.38,1.27,-0.525,-1.07
SSG,앤더슨,3.2,19,4,4,4,4,0,4,0,4-3,88-52,0-0,37,9.82,2.18,1.03,-0.279,-1.98
SSG,한두솔,0.2,3,1,0,0,0,0,2,0,0-0,12-10,1-0,,0.00,1.50,1.29,0.037,0.44
SSG,이로운,1.1,4,0,0,0,0,0,2,0,0-2,16-10,1-0,,0.00,0.00,1.15,0.113,1.10
SSG,김건우,0.0,2,0,1,1,2,0,0,0,0-0,10-2,0-0,,99.99,99.99,0.96,-0.048,-0.42
SSG,김민,1.0,5,1,0,0,1,0,3,0,0-0,23-15,2-1,,0.00,2.00,1.63,-0.089,-0.08
SSG,노경은,1.0,6,2,0,0,1,0,2,0,0-1,27-16,1-0,,0.00,3.00,1.33,0.008,-0.05
SSG,조병현,1.1,5,1,0,0,0,0,1,0,0-3,17-11,3-0,,0.00,0.75,2.40,0.232,1.53
SSG,팀 합계,9.0,44,9,5,5,8,0,14,0,4-9,193-116,8-1,37,5.00,1.89,1.40,-0.026,0.54
