팀 이름,타순,이름,Pos.,PA,AB,R,H,HR,RBI,BB,HBP,SO,GO,FO,NP,GDP,LOB,AVG,OPS,LI,WPA,RE24
키움,1,송성문,2B,4,4,0,1,0,0,0,0,1,0,2,17,0,1,0.250,0.500,0.35,-0.014,-0.91
키움,,오선진,SS,1,1,0,0,0,0,0,0,0,1,0,5,1,1,0.000,0.000,0.09,-0.003,-1.17
키움,2,푸이그,DH,5,3,2,2,1,2,1,1,1,0,0,20,0,0,0.667,2.467,0.29,0.049,2.52
키움,3,이주형,CF,4,4,0,1,0,0,0,0,1,1,1,14,0,2,0.250,0.500,0.71,-0.012,-0.28
키움,,이재상,3B,1,1,0,1,0,0,0,0,0,0,0,2,0,0,1.000,2.000,0.03,0.002,0.58
키움,4,카디네스,RF,4,4,0,3,0,1,0,0,1,0,0,17,0,0,0.750,1.750,0.70,0.130,1.41
키움,,권혁빈,LF,1,1,0,0,0,0,0,0,0,1,0,5,1,1,0.000,0.000,0.07,-0.003,-1.25
키움,5,최주환,1B,4,4,0,1,0,0,0,0,1,1,1,15,0,4,0.250,0.500,0.80,-0.067,-1.20
키움,,장재영,CF,1,1,0,0,0,0,0,0,0,1,0,2,0,1,0.000,0.000,0.00,0.000,-0.39
키움,6,김태진,SS,3,3,0,1,0,0,0,0,0,2,0,8,1,2,0.333,0.666,0.90,-0.090,-0.57
키움,,전태현,2B,1,1,1,1,0,0,0,0,0,0,0,4,0,0,1.000,2.000,0.02,0.001,0.68
키움,7,여동욱,3B,3,3,1,1,1,1,0,0,1,0,1,8,0,2,0.333,1.666,0.62,0.082,0.08
키움,,이형종,RF,1,1,0,0,0,0,0,0,0,0,1,3,0,1,0.000,0.000,0.04,-0.001,-0.45
키움,8,박주홍,"LF,1B",4,4,0,0,0,0,0,0,1,1,2,15,0,2,0.000,0.000,0.36,-0.036,-1.03
키움,9,김재현,C,2,2,0,0,0,0,0,0,1,1,0,6,0,0,0.000,0.000,0.47,-0.024,-0.32
키움,,김동헌,"PH,C",2,2,1,2,0,1,0,0,0,0,0,10,0,0,1.000,2.000,0.02,0.003,1.77
키움,팀 합계,,,41,39,5,14,2,5,1,1,8,9,8,151,3,17,0.359,0.928,1.82,0.017,-0.53
삼성,1,김지찬,CF,5,5,2,3,0,0,0,0,0,2,0,15,0,2,0.600,1.200,0.45,0.029,0.44
삼성,,김성윤,"PH,CF",1,1,0,0,0,0,0,0,1,0,0,3,0,0,0.000,0.000,0.00,0.000,-0.19
삼성,2,이재현,SS,6,3,4,1,0,0,2,1,1,0,1,23,0,1,0.333,1.334,0.40,0.090,1.40
삼성,3,구자욱,LF,5,4,3,3,1,4,1,0,0,0,1,11,0,1,0.750,2.300,0.82,0.189,3.74
삼성,,홍현빈,LF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.00,0.000,0.00
삼성,4,강민호,C,5,5,1,2,0,2,0,0,1,0,2,18,0,4,0.400,1.200,0.70,0.064,1.02
삼성,,이병헌,C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.00,0.000,0.00
삼성,5,디아즈,1B,5,4,1,3,0,2,0,0,0,1,1,20,0,1,0.750,1.350,0.61,0.097,1.61
삼성,6,박병호,DH,5,4,1,2,0,2,1,0,1,0,1,25,0,2,0.500,1.350,0.61,0.041,1.23
삼성,7,전병우,2B,2,2,0,0,0,0,0,0,2,0,0,10,0,3,0.000,0.000,1.63,-0.082,-0.20
삼성,,류지혁,2B,3,3,0,2,0,1,0,0,0,1,0,10,0,1,0.667,1.334,0.07,0.011,0.99
삼성,8,김영웅,3B,5,5,0,1,0,1,0,0,2,0,2,20,0,3,0.200,0.400,0.29,-0.025,-0.46
삼성,9,김헌곤,RF,3,3,1,1,1,1,0,0,1,1,0,10,0,2,0.333,1.666,0.33,0.104,0.11
삼성,,윤정빈,"PH,RF",2,2,0,0,0,0,0,0,0,0,2,6,0,0,0.000,0.000,0.00,0.000,-0.59
삼성,팀 합계,,,47,41,13,18,2,13,4,1,9,5,10,171,0,20,0.439,1.172,1.97,0.518,9.10
