팀 이름,타순,이름,Pos.,PA,AB,R,H,HR,RBI,BB,HBP,SO,GO,FO,NP,GDP,LOB,AVG,OPS,LI,WPA,RE24
NC,1,박민우,2B,5,5,0,3,0,2,0,0,1,0,1,17,0,3,0.400,1.200,0.87,0.242,1.57
NC,2,김주원,SS,5,5,0,0,0,0,0,0,2,2,1,25,0,2,0.200,0.400,0.82,-0.090,-1.97
NC,3,손아섭,RF,3,3,0,0,0,0,0,0,0,1,2,6,0,0,0.167,0.453,0.92,-0.128,-1.23
NC,,천재환,"PH,CF",1,1,0,0,0,0,0,0,0,0,1,4,0,0,0.000,0.000,0.45,-0.011,-0.22
NC,4,데이비슨,1B,4,3,1,3,1,1,1,0,0,0,0,15,0,0,0.500,1.625,0.55,0.146,1.77
NC,5,박건우,"CF,RF",4,4,1,1,0,0,0,0,0,2,1,12,1,2,0.250,0.625,0.81,-0.049,-0.40
NC,6,권희동,LF,4,2,2,1,0,0,2,0,0,0,1,20,0,0,0.250,0.875,0.89,0.106,2.26
NC,7,서호철,3B,4,2,0,0,0,0,1,0,2,0,0,17,0,4,0.333,0.833,1.10,-0.108,-2.93
NC,8,김형준,C,4,4,0,1,0,1,0,0,1,0,2,13,0,2,0.286,0.572,1.10,0.026,-0.07
NC,9,김휘집,DH,3,2,1,1,0,1,0,1,0,0,1,9,0,2,0.200,0.533,1.19,0.069,0.40
NC,,김성욱,"PR,DH",1,1,0,0,0,0,0,0,1,0,0,6,0,0,0.000,0.000,0.29,-0.008,-0.35
NC,팀 합계,,,38,32,5,10,1,5,4,1,7,5,10,144,1,15,0.313,0.905,1.50,0.195,-1.17
KIA,1,박찬호,SS,5,4,0,1,0,0,1,0,1,1,1,21,0,0,0.125,0.550,1.01,0.023,0.44
KIA,2,최원준,CF,4,4,0,0,0,0,0,0,2,2,0,14,0,2,0.250,0.500,1.35,-0.135,-1.51
KIA,3,나성범,RF,4,4,0,1,0,0,0,0,0,1,1,12,0,2,0.250,0.625,1.05,-0.082,-0.62
KIA,4,위즈덤,1B,4,2,1,0,0,0,2,0,1,1,0,21,0,1,0.000,0.375,1.09,0.048,0.65
KIA,5,최형우,DH,4,4,0,0,0,0,0,0,2,1,1,17,0,4,0.125,0.375,1.34,-0.146,-0.44
KIA,6,김선빈,2B,4,4,1,2,0,1,0,0,0,1,1,14,0,0,0.571,1.339,1.04,0.100,1.47
KIA,7,이우성,LF,4,4,1,1,1,2,0,0,1,2,0,13,0,1,0.429,1.429,1.55,0.054,-0.09
KIA,8,한준수,C,4,4,1,1,1,1,0,0,0,1,2,16,0,1,0.333,1.666,1.06,-0.015,0.07
KIA,9,윤도현,3B,2,2,0,0,0,0,0,0,2,0,0,9,0,0,0.000,0.000,0.96,-0.048,-0.56
KIA,,박재현,PH,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0.000,0.000,1.54,-0.039,-0.35
KIA,,김규성,3B,1,1,0,0,0,0,0,0,0,1,0,6,0,0,0.000,0.000,2.63,-0.065,-0.22
KIA,팀 합계,,,37,34,4,6,2,4,3,0,9,12,6,144,0,11,0.176,0.684,2.92,-0.305,-1.16
