팀 이름,이름,IP,TBF,H,R,ER,BB,HBP,K,HR,GO-FO,NP-S,IR-IS,GSC,ERA,WHIP,LI,WPA,RE24
NC,라일리,5.1,24,4,3,2,3,0,5,1,7-4,97-61,0-0,52,3.38,1.31,0.99,-0.055,-0.93
NC,김민규,1.0,4,1,0,0,0,0,1,0,2-0,16-11,1-0,,0.00,1.00,1.54,0.072,0.68
NC,김태현,0.1,1,0,0,0,0,0,0,0,1-0,4-2,1-0,,0.00,0.00,2.13,0.055,0.64
NC,손주환,0.1,1,0,0,0,0,0,0,0,0-1,2-2,1-0,,0.00,0.00,1.99,0.055,0.40
NC,전사민,1.0,3,0,0,0,0,0,2,0,0-1,10-7,0-0,,27.00,3.00,1.16,0.089,0.68
NC,류진욱,1.0,4,1,1,1,0,0,1,1,2-0,15-9,0-0,,9.00,1.00,1.86,0.091,-0.32
NC,팀 합계,9.0,37,6,4,3,3,0,9,2,12-6,144-92,3-0,52,3.00,1.00,1.61,0.307,1.15
KIA,양현종,5.0,23,6,4,4,3,1,5,1,4-4,84-51,0-0,41,7.20,1.80,1.15,-0.215,-0.58
KIA,임기영,1.0,5,2,1,1,0,0,0,0,0-2,16-10,0-0,,9.00,2.00,0.83,-0.059,-0.32
KIA,이준영,0.2,3,1,0,0,0,0,0,0,1-1,15-9,0-0,,0.00,1.50,0.45,0.018,0.34
KIA,황동하,1.1,4,0,0,0,1,0,0,0,0-3,15-8,1-0,,0.00,1.29,0.47,0.045,1.03
KIA,정해영,1.0,3,1,0,0,0,0,2,0,0-0,14-9,0-0,,0.00,1.00,0.27,0.017,0.68
KIA,팀 합계,9.0,38,10,5,5,4,1,7,1,5-10,144-87,1-0,41,5.00,1.56,0.63,-0.194,1.15
