팀 이름,타순,이름,Pos.,PA,AB,R,H,HR,RBI,BB,HBP,SO,GO,FO,NP,GDP,LOB,AVG,OPS,LI,WPA,RE24
두산,1,김민석,LF,5,5,0,1,0,0,0,0,2,1,1,20,0,0,0.333,0.956,1.00,-0.042,-0.52
두산,2,김재환,DH,5,5,0,0,0,0,0,0,2,0,3,16,0,1,0.200,0.500,0.91,-0.110,-1.09
두산,3,양의지,C,2,1,0,0,0,0,1,0,1,0,0,10,0,0,0.500,1.214,0.72,-0.014,-0.17
두산,,김기연,"PH,C",2,2,0,0,0,0,0,0,1,0,1,5,0,1,0.000,0.000,1.25,-0.061,-0.48
두산,4,케이브,RF,4,4,0,0,0,0,0,0,2,1,1,13,0,2,0.000,0.111,0.89,-0.095,-0.98
두산,5,강승호,3B,4,4,2,3,0,0,0,0,1,0,0,18,0,0,0.375,1.194,0.79,0.115,1.19
두산,6,양석환,1B,4,4,0,3,0,0,0,0,1,0,0,12,0,1,0.333,0.666,1.23,0.042,0.44
두산,7,박준영,SS,4,3,0,0,0,0,1,0,2,1,0,18,0,4,0.250,0.583,1.81,-0.108,-1.21
두산,8,이유찬,2B,4,4,0,2,0,2,0,0,0,1,1,16,0,3,0.500,1.000,1.83,0.143,1.09
두산,9,정수빈,CF,4,4,0,0,0,0,0,0,0,2,2,14,0,4,0.000,0.375,1.70,-0.177,-1.76
두산,팀 합계,,,38,36,2,9,0,2,2,0,12,6,9,142,0,16,0.250,0.622,2.43,-0.307,-3.49
SSG,1,최지훈,CF,4,4,0,2,0,1,0,0,1,1,0,16,0,2,0.250,0.472,1.35,0.013,0.53
SSG,2,정준재,2B,4,4,0,2,0,3,0,0,2,0,0,14,0,2,0.286,0.661,1.40,0.192,1.26
SSG,3,에레디아,LF,4,3,0,1,0,1,0,0,0,1,2,12,1,2,0.286,0.536,0.92,-0.037,-0.98
SSG,4,한유섬,DH,4,4,0,0,0,0,0,0,3,1,0,14,0,4,0.125,0.250,0.93,-0.095,-1.76
SSG,5,이지영,C,4,4,0,0,0,0,0,0,0,1,2,11,0,0,0.167,0.453,0.55,-0.055,-0.97
SSG,6,하재훈,RF,3,3,0,0,0,0,0,0,1,1,1,9,0,0,0.167,0.334,0.49,-0.037,-0.44
SSG,,최준우,PH,1,0,0,0,0,0,1,0,0,0,0,5,0,0,0.000,0.000,0.08,0.003,0.29
SSG,,최상민,"PR,RF",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.15,-0.005,-0.48
SSG,7,고명준,1B,4,3,1,1,0,0,1,0,0,2,0,13,0,0,0.429,0.929,0.58,0.009,0.16
SSG,,오태곤,"PR,1B",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.000,5.000,0.11,0.002,0.13
SSG,8,안상현,SS,4,3,2,2,0,0,1,0,1,0,0,16,0,1,0.667,1.417,1.02,0.179,1.56
SSG,9,박지환,3B,3,3,2,2,0,0,0,0,0,0,1,10,0,2,0.333,0.762,1.36,0.023,0.81
SSG,팀 합계,,,35,31,5,10,0,5,3,0,8,7,6,120,1,13,0.323,0.694,1.79,0.192,0.11
