팀 이름,이름,IP,TBF,H,R,ER,BB,HBP,K,HR,GO-FO,NP-S,IR-IS,GSC,ERA,WHIP,LI,WPA,RE24
롯데,박세웅,5.0,22,8,4,4,0,0,6,3,3-5,94-58,0-0,41,7.20,1.60,0.51,-0.187,-0.58
롯데,박진,1.0,5,2,1,1,0,0,1,1,0-2,23-14,0-0,,9.00,2.00,0.10,-0.017,-0.32
롯데,정현수,1.1,5,0,1,1,1,0,1,0,1-2,21-11,0-0,,6.75,0.75,0.05,0.003,0.72
롯데,구승민,0.2,6,3,4,4,1,0,2,1,0-0,24-14,1-1,,54.00,6.00,0.04,-0.011,-4.35
롯데,팀 합계,8.0,38,13,10,10,2,0,10,5,4-9,162-97,1-1,41,11.25,1.88,0.18,-0.212,-4.53
LG,손주영,7.0,22,1,0,0,2,0,5,0,9-5,96-66,0-0,78,0.00,0.43,0.63,0.282,4.79
LG,백승현,0.0,3,2,1,1,1,0,0,0,0-0,14-6,0-0,,99.99,99.99,0.61,-0.087,-0.32
LG,김진성,1.0,4,1,0,0,0,0,1,0,0-1,19-13,3-1,,0.00,0.50,1.92,0.092,0.00
LG,김강률,1.0,6,2,1,1,1,0,1,0,1-1,17-10,0-0,,9.00,3.00,0.00,0.000,-0.32
LG,팀 합계,9.0,35,6,2,2,4,0,7,0,10-7,146-95,3-1,78,2.00,1.11,0.79,0.287,4.15
