팀 이름,이름,IP,TBF,H,R,ER,BB,HBP,K,HR,GO-FO,NP-S,IR-IS,GSC,ERA,WHIP,LI,WPA,RE24
키움,하영민,3.0,18,8,5,4,0,0,3,1,2-5,60-42,0-0,28,12.00,2.67,0.88,-0.314,-3.17
키움,김연주,2.0,11,3,1,1,2,0,1,1,2-3,46-26,0-0,,4.50,2.50,0.70,-0.017,0.22
키움,이강준,1.0,5,1,2,0,1,0,1,1,1-1,17-9,0-0,,0.00,2.00,0.28,-0.056,-1.39
키움,김선기,1.0,5,1,1,1,1,0,1,0,1-1,25-15,0-0,,9.00,2.00,0.08,-0.006,-0.39
키움,원종현,0.0,2,2,2,2,0,0,0,1,0-0,6-4,0-0,,99.99,99.99,0.26,-0.048,-2.00
키움,오석주,1.0,3,0,0,0,0,0,2,0,0-1,12-10,0-0,,0.00,0.00,0.04,0.003,0.61
키움,팀 합계,8.0,44,15,11,8,4,0,8,4,6-11,166-106,0-0,28,9.00,2.38,0.37,-0.438,-6.12
삼성,백정현,2.2,13,2,2,2,1,1,5,0,1-3,60-37,0-0,50,6.75,1.13,1.22,0.099,1.31
삼성,양창섭,1.0,7,2,1,1,0,2,2,0,1-0,23-15,2-2,,9.00,2.00,1.12,-0.090,-2.41
삼성,이재희,0.1,2,1,0,0,0,0,0,0,0-1,13-7,2-1,,0.00,3.00,1.76,-0.034,-0.46
삼성,김태훈,1.0,4,1,0,0,0,0,2,0,1-0,19-11,0-0,,0.00,1.00,1.20,0.060,0.61
삼성,배찬승,1.0,3,0,0,0,0,0,1,0,1-1,8-6,0-0,,0.00,0.00,0.62,0.047,0.61
삼성,임창민,1.0,4,1,0,0,0,0,0,0,1-2,17-14,0-0,,0.00,1.00,0.32,0.017,0.61
삼성,이승현,0.2,6,3,4,4,1,0,1,1,1-0,26-14,0-0,,54.00,6.00,0.31,-0.065,-3.51
삼성,김재윤,1.1,4,1,0,0,0,0,1,0,2-0,8-7,0-0,,0.00,0.75,0.36,0.028,0.74
삼성,팀 합계,9.0,43,11,7,7,2,3,12,1,8-7,174-111,4-3,50,7.00,1.44,0.86,0.062,-2.50
