팀 이름,타순,이름,Pos.,PA,AB,R,H,HR,RBI,BB,HBP,SO,GO,FO,NP,GDP,LOB,AVG,OPS,LI,WPA,RE24
한화,1,김태연,LF,4,4,1,2,0,0,0,0,1,0,1,16,0,0,0.429,0.929,1.17,0.108,1.41
한화,,이원석,"PR,LF",1,1,0,0,0,0,0,0,1,0,0,4,0,0,0.000,0.000,1.80,-0.045,-0.22
한화,2,문현빈,DH,5,4,1,2,0,0,1,0,0,2,0,15,0,1,0.286,0.946,1.91,0.171,0.14
한화,3,플로리얼,CF,5,4,0,0,0,1,1,0,2,2,0,18,1,2,0.000,0.111,2.34,-0.205,-1.24
한화,4,노시환,3B,5,5,1,2,1,2,0,0,0,1,2,14,0,2,0.444,1.555,2.43,0.289,0.69
한화,5,채은성,1B,4,3,0,1,0,0,1,0,0,2,0,13,1,1,0.333,0.929,1.63,-0.060,-0.14
한화,,권광민,"PR,1B",1,1,0,0,0,0,0,0,1,0,0,4,0,0,0.000,0.000,2.32,-0.059,-0.35
한화,6,황영묵,2B,5,4,0,0,0,0,0,0,0,2,2,12,0,2,0.167,0.500,1.67,-0.150,-1.72
한화,7,임종찬,RF,5,5,1,1,1,1,0,0,1,1,2,18,0,1,0.143,0.714,1.62,-0.075,-0.27
한화,8,최재훈,C,2,2,0,0,0,0,0,0,0,2,0,8,0,0,0.000,0.250,0.89,-0.044,-0.56
한화,,최인호,PH,1,0,0,0,0,0,1,0,0,0,0,8,0,0,0.000,0.500,0.80,0.025,0.23
한화,,이상혁,PR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.00,0.000,0.00
한화,,이재원,C,1,1,0,0,0,0,0,0,0,0,1,3,0,1,0.000,0.000,3.66,-0.103,-0.46
한화,9,심우준,SS,4,4,0,0,0,0,0,0,1,2,1,14,0,1,0.143,0.536,1.28,-0.135,-1.03
한화,팀 합계,,,43,38,4,8,2,4,4,0,7,14,9,147,2,11,0.211,0.733,3.36,-0.283,-3.52
KT,1,강백호,DH,5,4,1,0,0,0,1,0,0,4,0,19,0,2,0.222,0.633,1.19,0.017,0.83
KT,2,로하스,"RF,LF",5,4,1,1,0,1,1,0,1,2,0,19,0,1,0.222,0.633,1.30,0.111,1.06
KT,,안치영,LF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.00,0.000,0.00
KT,3,허경민,3B,5,5,1,2,0,1,0,0,0,3,0,13,0,2,0.500,1.000,1.03,0.086,-1.08
KT,4,김민혁,LF,4,4,0,1,0,1,0,0,0,1,2,14,0,0,0.375,0.750,1.34,0.081,0.83
KT,,송민섭,RF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.00,0.000,0.00
KT,,최성민,"PH,RF",1,1,0,0,0,0,0,0,0,1,0,3,0,1,0.000,0.000,2.30,-0.064,-0.35
KT,5,장성우,C,5,4,0,0,0,0,1,0,3,1,0,28,0,2,0.000,0.111,1.14,-0.036,0.25
KT,,윤준혁,PR,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.00,0.000,0.00
KT,6,문상철,1B,4,3,0,1,0,1,0,0,1,0,1,7,0,1,0.333,0.875,0.74,0.013,1.22
KT,,오윤석,PH,1,1,0,0,0,0,0,0,0,1,0,4,0,1,0.000,0.000,3.19,-0.013,-0.58
KT,7,천성호,2B,5,3,0,0,0,0,1,1,0,2,1,17,0,1,0.167,0.708,1.77,-0.101,-0.95
KT,8,배정대,CF,5,5,0,1,0,1,0,0,0,3,0,10,0,2,0.143,0.508,1.86,0.167,-2.48
KT,9,김상수,SS,4,4,1,1,0,0,0,0,0,1,1,15,0,0,0.375,1.125,0.81,-0.044,-0.27
KT,팀 합계,,,44,38,5,7,0,5,4,1,5,19,5,149,0,13,0.184,0.536,3.33,0.217,-1.52
