팀 이름,이름,IP,TBF,H,R,ER,BB,HBP,K,HR,GO-FO,NP-S,IR-IS,GSC,ERA,WHIP,LI,WPA,RE24
한화,와이스,6.0,26,5,4,3,2,0,4,0,9-4,85-54,0-0,50,4.50,1.17,1.11,-0.202,-0.89
한화,이태양,1.0,4,0,0,0,1,0,0,0,3-0,16-9,0-0,,0.00,1.00,0.61,0.043,0.68
한화,정우주,1.0,3,0,0,0,0,0,1,0,1-1,17-12,0-0,,0.00,0.00,0.41,0.031,-0.32
한화,박상원,1.0,3,0,0,0,0,0,0,0,2-0,7-4,0-0,,0.00,0.50,1.81,0.137,0.68
한화,김서현,1.0,4,1,0,0,0,0,0,0,3-0,11-7,0-0,,0.00,1.00,1.93,0.137,0.68
한화,한승혁,0.1,2,0,1,1,1,0,0,0,1-0,10-4,0-0,,6.75,1.50,2.72,-0.061,-0.36
한화,주현상,0.0,2,1,0,0,0,1,0,0,0-0,3-1,1-1,,9.00,3.00,3.74,-0.302,1.04
한화,팀 합계,10.1,44,7,5,4,4,1,5,0,19-5,149-91,1-1,50,3.48,1.06,1.76,-0.217,1.51
KT,쿠에바스,6.2,26,5,3,3,2,0,4,1,10-5,94-66,0-0,54,4.05,1.05,1.14,0.043,1.45
KT,원상현,0.1,1,0,0,0,0,0,0,0,1-0,3-2,1-0,,9.00,1.00,1.61,0.045,0.35
KT,김민수,1.0,3,1,0,0,0,0,0,0,2-0,6-4,0-0,,10.80,2.40,2.85,0.120,0.68
KT,박영현,2.0,10,2,1,1,2,0,2,1,0-3,33-20,0-0,,4.50,2.00,3.09,-0.063,0.37
KT,손동현,1.0,3,0,0,0,0,0,1,0,1-1,11-8,0-0,,0.00,0.00,1.81,0.137,0.68
KT,팀 합계,11.0,43,8,4,4,4,0,7,2,14-9,147-100,1-0,54,3.27,1.09,2.10,0.282,3.53
