팀 이름,타순,이름,Pos.,PA,AB,R,H,HR,RBI,BB,HBP,SO,GO,FO,NP,GDP,LOB,AVG,OPS,LI,WPA,RE24
롯데,1,황성빈,CF,3,3,0,0,0,0,0,0,2,1,0,8,0,1,0.000,0.000,1.02,-0.081,-1.29
롯데,,정훈,PH,1,1,0,1,0,0,0,0,0,0,0,4,0,0,0.333,0.933,0.90,0.034,0.71
롯데,,한태양,"PR,2B",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.00,0.000,0.00
롯데,,최항,PH,1,1,0,0,0,0,0,0,1,0,0,4,0,2,0.000,0.000,1.25,-0.032,-0.61
롯데,,박승욱,SS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.00,0.000,0.00
롯데,2,고승민,2B,4,3,1,1,0,0,1,0,0,2,0,14,0,1,0.091,0.258,0.98,0.021,0.26
롯데,,정철원,P,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.00,0.000,0.00
롯데,,김원중,P,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.00,0.000,0.00
롯데,,유강남,PH,1,0,0,0,0,0,1,0,0,0,0,10,0,0,0.200,0.533,2.32,0.082,0.71
롯데,,이인한,PR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.00,0.000,0.00
롯데,,박준우,P,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.00,0.000,0.00
롯데,,정현수,P,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.00,0.000,0.00
롯데,,박진,P,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.00,0.000,0.00
롯데,3,나승엽,1B,5,5,0,1,0,0,0,0,1,2,1,12,0,3,0.154,0.385,1.51,-0.082,-0.71
롯데,4,레이예스,LF,5,5,0,1,0,1,0,0,0,1,1,20,0,1,0.333,0.802,1.64,-0.130,-0.84
롯데,5,윤동희,RF,5,5,1,1,0,0,0,0,1,1,1,22,1,3,0.182,0.490,1.40,-0.030,-2.10
롯데,6,전준우,DH,3,3,0,1,0,0,0,0,0,1,1,16,0,0,0.222,0.586,0.77,0.003,0.22
롯데,,장두성,"PR,DH,CF",2,1,0,1,0,0,0,0,0,0,0,6,0,1,1.000,2.000,1.43,0.047,0.60
롯데,7,손호영,3B,5,4,1,2,0,1,1,0,0,1,0,18,0,2,0.333,0.718,1.70,0.170,0.25
롯데,8,전민재,"SS,2B",5,3,0,0,0,0,1,0,1,1,1,23,0,4,0.333,0.929,1.22,-0.081,-0.87
롯데,9,정보근,C,5,4,0,1,0,1,1,0,0,2,1,10,1,3,0.429,1.071,1.13,0.031,-0.86
롯데,팀 합계,,,45,38,3,10,0,3,5,0,6,12,6,167,2,21,0.263,0.665,2.88,-0.048,-4.53
SSG,1,최지훈,CF,5,3,0,1,0,0,2,0,1,1,0,16,0,0,0.273,0.630,1.58,0.125,1.27
SSG,2,정준재,2B,5,5,0,0,0,0,0,0,1,2,2,12,0,3,0.167,0.398,2.13,-0.253,-2.14
SSG,3,박성한,SS,5,4,0,1,0,0,1,0,1,0,2,27,0,2,0.333,0.889,2.29,0.003,-0.11
SSG,,안상현,PR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.667,1.417,0.00,0.000,0.00
SSG,4,에레디아,LF,5,5,1,1,1,1,0,0,0,2,2,16,0,4,0.250,0.731,2.70,0.202,-0.83
SSG,5,오태곤,1B,5,4,0,0,0,0,1,0,1,2,1,26,0,2,0.200,1.133,2.46,-0.174,-0.69
SSG,6,이지영,C,4,3,0,0,0,0,0,0,0,1,2,15,0,1,0.111,0.311,1.42,-0.101,-0.83
SSG,7,고명준,DH,3,3,0,0,0,0,0,0,1,2,0,14,0,1,0.300,0.664,1.51,-0.122,-1.13
SSG,,한유섬,"PH,DH",1,1,0,0,0,0,0,0,0,0,1,4,0,0,0.111,0.222,2.26,-0.057,-0.32
SSG,8,박지환,3B,4,3,0,0,0,0,1,0,0,2,1,13,0,1,0.222,0.586,1.97,-0.180,-1.07
SSG,9,하재훈,RF,4,4,1,1,1,1,0,0,1,1,1,12,0,0,0.200,0.700,1.32,0.008,0.35
SSG,,최상민,RF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.00,0.000,0.00
SSG,팀 합계,,,41,35,2,4,2,2,5,0,6,13,12,155,0,14,0.114,0.511,2.81,-0.549,-5.50
