팀 이름,타순,이름,Pos.,PA,AB,R,H,HR,RBI,BB,HBP,SO,GO,FO,NP,GDP,LOB,AVG,OPS,LI,WPA,RE24
한화,1,김태연,LF,4,4,0,0,0,0,0,0,1,1,1,16,0,0,0.273,0.606,0.62,-0.062,-0.90
한화,2,문현빈,DH,4,3,0,1,0,0,1,0,0,1,1,19,0,0,0.300,0.917,0.61,0.049,0.43
한화,3,플로리얼,CF,4,4,0,0,0,0,0,0,2,2,0,14,0,2,0.000,0.077,1.12,-0.108,-1.23
한화,4,노시환,3B,3,3,0,0,0,0,0,0,1,1,0,11,0,2,0.333,1.166,1.13,-0.085,-0.81
한화,5,채은성,1B,3,3,0,0,0,0,0,0,2,1,0,9,0,1,0.222,0.633,0.90,-0.072,-0.67
한화,6,안치홍,2B,3,3,0,0,0,0,0,0,2,0,1,15,0,0,0.000,0.000,1.33,-0.101,-0.78
한화,,이원석,RF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.00,0.000,0.00
한화,7,임종찬,RF,2,2,0,0,0,0,0,0,1,0,0,5,0,0,0.111,0.555,0.64,-0.032,-0.32
한화,,황영묵,"PH,2B",1,1,0,0,0,0,0,0,0,1,0,1,0,0,0.143,0.429,1.57,-0.039,-0.19
한화,8,최재훈,C,2,2,0,0,0,0,0,0,0,1,1,6,0,0,0.000,0.167,0.78,-0.040,-0.42
한화,,이도윤,"PH,SS",1,1,0,1,0,0,0,0,0,0,0,4,0,0,1.000,2.000,1.03,0.031,0.12
한화,9,심우준,SS,2,2,0,0,0,0,0,0,0,0,2,7,0,0,0.111,0.422,1.03,-0.052,-0.48
한화,,권광민,PH,1,1,0,0,0,0,0,0,0,0,1,4,0,1,0.000,0.000,2.05,-0.058,-0.25
한화,,이재원,C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.00,0.000,0.00
한화,팀 합계,,,30,29,0,2,0,0,1,0,9,8,7,111,0,6,0.069,0.169,2.56,-0.569,-5.50
LG,1,홍창기,RF,4,4,1,1,0,0,0,0,1,2,0,15,0,0,0.364,0.917,0.78,-0.030,-0.03
LG,2,송찬의,LF,4,3,0,1,0,0,0,1,0,1,1,19,0,0,0.455,1.409,0.96,0.005,0.64
LG,,최원영,"PR,LF",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.00,0.000,0.00
LG,3,오스틴,1B,4,3,2,1,0,1,1,0,0,1,0,14,0,1,0.333,1.052,1.03,0.023,0.89
LG,4,문보경,3B,4,3,0,2,0,2,1,0,0,1,0,17,0,0,0.545,1.797,1.03,0.123,2.57
LG,5,오지환,SS,4,3,0,0,0,0,0,0,1,1,1,14,0,5,0.250,0.750,1.34,-0.056,-0.49
LG,6,박동원,C,4,4,0,1,0,1,0,0,0,2,1,19,0,4,0.364,1.098,1.18,0.060,-0.19
LG,7,문정빈,DH,1,1,0,0,0,0,0,0,1,0,0,5,0,1,0.333,1.666,1.21,-0.034,-0.38
LG,,김현수,"PH,DH",2,1,0,0,0,0,0,1,0,1,0,4,0,1,0.111,0.422,1.33,-0.032,-0.21
LG,,문성주,"PH,DH",1,1,0,0,0,0,0,0,0,0,1,4,0,2,0.000,0.000,0.03,-0.002,-0.92
LG,8,박해민,CF,4,4,0,0,0,0,0,0,3,1,0,19,0,5,0.300,0.717,0.89,-0.094,-1.72
LG,9,구본혁,2B,3,2,0,0,0,0,1,0,1,0,1,19,0,0,0.286,1.071,0.86,-0.032,-0.03
LG,,신민재,"PR,2B",0,0,1,0,0,0,0,0,0,0,0,0,0,0,1.000,2.000,0.00,0.000,0.00
LG,팀 합계,,,35,29,5,6,0,4,3,2,7,10,5,149,0,19,0.207,0.600,3.55,-0.069,0.13
