팀 이름,이름,IP,TBF,H,R,ER,BB,HBP,K,HR,GO-FO,NP-S,IR-IS,GSC,ERA,WHIP,LI,WPA,RE24
한화,류현진,6.0,20,3,0,0,0,0,5,0,8-3,81-57,0-0,71,0.00,0.50,1.01,0.355,3.66
한화,박상원,1.0,6,0,1,1,2,1,1,0,1-0,23-10,0-0,,3.00,1.00,1.93,-0.160,-0.39
한화,정우주,0.0,3,1,3,3,1,1,0,0,0-0,17-8,0-0,,27.00,2.00,0.75,-0.081,-2.04
한화,김범수,0.0,3,2,1,0,0,0,0,0,1-0,13-7,3-3,,0.00,99.99,0.40,-0.047,-2.99
한화,김종수,1.0,3,0,0,0,0,0,1,0,0-2,15-10,2-0,,0.00,0.00,0.04,0.003,1.64
한화,팀 합계,8.0,35,6,5,4,3,2,7,0,10-5,149-92,5-3,71,4.50,1.13,0.83,0.070,-0.12
LG,에르난데스,7.0,23,1,0,0,1,0,8,0,6-4,88-56,0-0,82,0.00,0.29,0.95,0.443,4.27
LG,김진성,1.0,4,1,0,0,0,0,0,0,1-2,14-9,0-0,,0.00,0.67,1.70,0.121,0.61
LG,김강률,1.0,3,0,0,0,0,0,1,0,1-1,9-8,0-0,,4.50,1.50,0.08,0.006,0.61
LG,팀 합계,9.0,30,2,0,0,1,0,9,0,8-7,111-73,0-0,82,0.00,0.33,0.91,0.570,5.49
