팀 이름,타순,이름,Pos.,PA,AB,R,H,HR,RBI,BB,HBP,SO,GO,FO,NP,GDP,LOB,AVG,OPS,LI,WPA,RE24
두산,1,김민석,LF,4,4,1,1,0,0,0,0,1,2,0,8,0,1,0.278,0.705,0.86,-0.031,-0.19
두산,,전다민,LF,1,1,0,0,0,0,0,0,0,1,0,1,0,2,0.000,0.000,1.45,-0.042,-0.65
두산,2,김재환,DH,4,4,0,1,0,0,0,0,1,0,1,9,0,0,0.211,0.474,0.96,-0.007,0.04
두산,3,강승호,3B,4,4,1,1,0,0,0,0,1,1,1,13,0,2,0.438,1.096,1.22,-0.034,-0.66
두산,4,케이브,RF,4,4,1,2,0,1,0,0,0,1,1,12,0,0,0.267,0.753,1.30,0.042,0.27
두산,5,양의지,C,4,4,0,2,0,1,0,0,0,0,2,15,0,1,0.333,0.800,1.31,0.174,0.73
두산,6,양석환,1B,4,4,0,1,0,1,0,0,1,0,2,13,0,1,0.313,0.666,1.32,0.035,0.04
두산,,박지훈,1B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.00,0.000,0.00
두산,7,박준영,SS,4,4,0,1,0,0,0,0,1,1,1,12,0,2,0.250,0.558,1.09,-0.018,-0.59
두산,8,오명진,2B,3,3,0,0,0,0,0,0,2,1,0,8,0,3,0.000,0.000,1.44,-0.110,-1.11
두산,,이유찬,2B,1,1,0,0,0,0,0,0,0,1,0,2,0,1,0.250,0.500,0.35,0.009,0.13
두산,9,정수빈,CF,4,4,0,1,0,0,0,0,0,1,2,13,0,1,0.308,0.823,1.05,-0.064,-0.56
두산,팀 합계,,,37,37,3,10,0,3,0,0,7,9,10,106,0,14,0.270,0.594,2.47,-0.046,-2.55
KT,1,강백호,DH,5,5,0,1,0,0,0,0,0,3,1,20,0,2,0.263,0.774,1.85,-0.139,-0.56
KT,2,로하스,RF,4,4,0,1,0,0,0,0,1,0,2,17,0,3,0.188,0.629,1.54,-0.049,-0.86
KT,3,허경민,3B,4,4,0,1,0,1,0,0,0,2,0,11,0,1,0.421,1.000,1.72,-0.049,-0.45
KT,4,김민혁,LF,4,4,0,2,0,0,0,0,0,2,0,15,0,2,0.438,0.938,1.54,0.087,0.32
KT,5,장성우,C,4,4,1,1,0,0,0,0,1,0,2,16,0,2,0.067,0.243,1.99,-0.143,-0.90
KT,6,황재균,1B,2,2,0,0,0,0,0,0,1,0,1,11,0,2,0.167,0.500,1.41,-0.074,-0.83
KT,,문상철,"PH,1B",2,1,0,0,0,0,1,0,0,1,0,8,1,0,0.286,0.829,2.24,-0.104,-0.32
KT,7,오윤석,2B,3,2,0,1,0,1,1,0,0,1,0,13,0,1,0.250,0.900,1.49,0.149,1.37
KT,,천성호,PH,1,1,0,0,0,0,0,0,1,0,0,4,0,0,0.222,0.906,3.47,-0.088,-0.29
KT,8,배정대,CF,4,4,0,0,0,0,0,0,1,2,1,19,0,3,0.267,0.694,2.16,-0.212,-1.56
KT,9,김상수,SS,4,3,1,2,0,0,1,0,0,0,1,16,0,2,0.400,1.105,1.66,0.075,0.54
KT,,윤준혁,PR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.00,0.000,0.00
KT,팀 합계,,,37,34,2,9,0,2,3,0,5,11,8,150,1,18,0.265,0.677,7.02,-0.547,-3.54
