팀 이름,이름,IP,TBF,H,R,ER,BB,HBP,K,HR,GO-FO,NP-S,IR-IS,GSC,ERA,WHIP,LI,WPA,RE24
롯데,김진욱,6.0,24,4,2,2,4,0,7,1,5-4,94-61,0-0,59,3.00,1.33,0.82,0.048,2.10
롯데,박진,0.1,2,1,0,0,0,0,0,0,0-0,4-2,0-0,,3.86,1.71,0.95,-0.017,-0.40
롯데,정현수,0.2,2,0,0,0,0,0,0,0,1-0,6-4,1-0,,4.50,1.00,1.18,0.060,1.08
롯데,김상수,0.1,4,2,1,1,1,0,0,0,0-0,7-5,0-0,,27.00,5.25,0.82,-0.081,-1.64
롯데,송재영,0.1,1,0,0,0,0,0,1,0,0-0,5-3,2-0,,0.00,1.80,0.49,0.011,0.71
롯데,김강현,0.1,1,0,0,0,0,0,1,0,0-0,4-3,2-0,,0.00,1.20,0.46,0.012,0.61
롯데,팀 합계,8.0,34,7,3,3,5,0,9,1,6-4,120-78,5-0,59,3.38,1.50,0.79,0.033,2.46
SSG,송영진,6.1,24,6,1,1,1,0,6,0,9-2,83-56,0-0,62,1.42,1.11,1.38,0.238,2.13
SSG,이로운,0.2,1,0,0,0,0,0,0,0,1-0,1-1,1-0,,0.00,0.67,2.31,0.101,0.65
SSG,김민,1.0,4,1,0,0,0,0,0,0,3-0,13-9,0-0,,0.00,1.36,1.94,0.120,0.68
SSG,노경은,1.0,3,0,0,0,0,0,0,0,1-2,17-11,0-0,,0.00,1.20,0.96,0.074,0.68
SSG,팀 합계,9.0,32,7,1,1,1,0,6,0,14-4,114-77,1-0,62,1.00,0.89,1.65,0.533,4.14
