팀 이름,타순,이름,Pos.,PA,AB,R,H,HR,RBI,BB,HBP,SO,GO,FO,NP,GDP,LOB,AVG,OPS,LI,WPA,RE24
NC,1,권희동,LF,6,4,4,3,1,1,2,0,0,0,1,32,0,1,0.583,1.606,1.07,0.300,3.12
NC,2,김주원,SS,6,4,3,4,0,4,1,0,0,0,0,19,0,2,0.400,0.908,1.40,0.420,6.11
NC,3,손아섭,RF,6,6,0,3,0,2,0,0,0,1,0,17,0,6,0.474,1.103,1.60,-0.071,-0.01
NC,4,데이비슨,1B,6,3,0,0,0,3,1,0,0,2,3,18,1,5,0.389,1.250,1.88,0.015,-1.38
NC,,한재환,1B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.400,0.900,0.00,0.000,0.00
NC,5,박건우,DH,5,5,0,2,0,0,0,0,1,0,1,25,0,3,0.350,0.833,1.49,-0.061,-0.33
NC,6,김형준,C,5,5,1,1,0,0,0,0,3,1,0,22,1,2,0.250,0.607,1.17,-0.165,-1.37
NC,7,도태훈,2B,5,4,2,2,0,0,1,0,0,1,1,17,0,0,0.222,0.808,0.75,0.149,2.55
NC,8,김휘집,3B,4,4,0,1,0,1,0,0,2,1,0,12,0,3,0.167,0.453,1.83,-0.016,-0.89
NC,,서호철,"PR,3B",1,1,0,0,0,0,0,0,0,0,1,2,0,2,0.200,0.473,0.34,-0.017,-0.75
NC,9,박시원,CF,2,1,1,0,0,0,1,0,0,0,1,9,0,0,0.500,1.350,0.86,0.018,0.25
NC,,천재환,"PH,CF",3,3,0,1,0,0,0,0,1,0,1,12,0,3,0.143,0.286,0.99,-0.013,-0.83
NC,팀 합계,,,49,40,11,17,1,11,6,0,7,6,9,185,2,27,0.425,1.079,2.23,0.559,6.47
삼성,1,김지찬,CF,5,3,1,1,0,0,2,0,0,1,1,25,0,2,0.500,1.233,1.12,0.123,1.42
삼성,,양도근,PR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.00,0.000,0.00
삼성,2,이재현,SS,5,4,2,2,1,1,1,0,1,0,1,22,0,2,0.385,1.636,1.25,0.232,1.44
삼성,3,구자욱,LF,5,4,1,0,0,0,1,0,0,1,2,14,0,4,0.368,1.224,1.63,-0.024,-0.28
삼성,4,김영웅,3B,4,2,0,0,0,1,1,0,0,1,2,17,0,2,0.421,1.218,2.10,0.052,-0.23
삼성,5,박병호,DH,4,3,0,0,0,0,1,0,1,0,2,16,0,3,0.263,1.180,2.10,-0.164,-1.08
삼성,6,디아즈,1B,4,4,1,1,0,0,0,0,1,2,0,13,0,1,0.286,0.923,1.44,0.018,0.02
삼성,7,류지혁,2B,4,3,0,0,0,0,0,0,0,2,1,13,0,1,0.313,0.681,1.20,-0.098,-0.97
삼성,8,김헌곤,RF,4,3,0,0,0,0,1,0,0,1,2,22,0,0,0.286,0.833,0.70,-0.022,-0.16
삼성,9,이병헌,C,3,3,0,1,0,0,0,0,0,2,0,15,0,1,0.333,0.666,1.27,-0.056,-0.39
삼성,,김성윤,PH,1,1,0,0,0,0,0,0,1,0,0,4,0,0,0.333,0.666,0.09,-0.002,-0.29
삼성,팀 합계,,,39,30,5,5,1,2,7,0,4,10,11,161,0,16,0.167,0.683,1.84,0.059,-0.52
