팀 이름,이름,IP,TBF,H,R,ER,BB,HBP,K,HR,GO-FO,NP-S,IR-IS,GSC,ERA,WHIP,LI,WPA,RE24
NC,목지훈,4.0,19,4,4,4,3,0,3,1,3-4,84-51,0-0,38,9.00,1.75,1.21,-0.238,-1.55
NC,김민규,1.0,4,1,1,1,0,0,0,0,0-3,13-7,0-0,,4.50,1.00,1.27,-0.096,-0.39
NC,손주환,1.1,5,0,0,0,1,0,0,0,3-1,21-12,0-0,,0.00,0.60,1.26,0.070,0.61
NC,김진호,0.2,4,0,0,0,2,0,0,0,0-2,15-7,1-0,,0.00,1.13,4.13,0.113,0.61
NC,전사민,1.0,3,0,0,0,0,0,0,0,3-0,14-10,0-0,,10.80,1.20,1.16,0.089,0.61
NC,김재열,1.0,4,0,0,0,1,0,1,0,1-1,14-8,0-0,,22.50,3.00,0.06,0.003,0.61
NC,팀 합계,9.0,39,5,5,5,7,0,4,1,10-11,161-95,1-0,38,5.00,1.33,1.52,-0.059,0.50
삼성,김대호,3.2,20,6,4,3,3,0,4,1,3-2,69-41,0-0,36,7.36,2.45,1.16,-0.262,-2.80
삼성,김태훈,1.1,5,2,0,0,0,0,0,0,2-1,19-11,1-0,,2.70,1.50,1.27,0.090,0.87
삼성,배찬승,0.2,6,2,1,1,2,0,1,0,1-0,24-13,0-0,,5.40,2.40,2.77,-0.194,-1.30
삼성,이재희,1.0,5,2,1,1,0,0,1,0,0-1,22-15,3-0,,3.86,2.57,2.17,-0.060,0.28
삼성,임창민,1.1,5,1,1,0,0,0,0,0,0-3,22-15,1-0,,0.00,0.86,1.04,-0.063,-0.13
삼성,김재윤,0.2,6,3,4,4,1,0,1,0,0-1,21-14,0-0,,18.00,2.50,0.52,-0.067,-2.77
삼성,이승현,0.1,2,1,0,0,0,0,0,0,0-1,8-6,1-1,,20.25,3.75,0.02,-0.003,-0.61
삼성,팀 합계,9.0,49,17,11,9,6,0,7,1,6-9,185-115,6-1,36,9.00,2.56,1.28,-0.559,-6.46
