팀 이름,이름,IP,TBF,H,R,ER,BB,HBP,K,HR,GO-FO,NP-S,IR-IS,GSC,ERA,WHIP,LI,WPA,RE24
두산,김유성,5.0,23,6,4,4,1,1,7,1,3-5,97-64,0-0,45,7.20,1.40,0.67,-0.207,-0.93
두산,박신지,1.1,6,1,0,0,1,0,1,0,2-1,26-16,0-0,,0.00,1.20,0.14,0.006,0.06
두산,김정우,0.2,3,0,0,0,0,1,1,0,0-1,13-6,2-0,,0.00,0.60,0.25,0.010,1.17
두산,박치국,1.0,3,0,0,0,0,0,1,0,2-0,9-8,0-0,,3.86,0.86,0.18,0.014,0.61
두산,팀 합계,8.0,35,7,4,4,2,2,10,1,7-7,145-94,2-0,45,4.50,1.13,0.31,-0.177,0.91
KT,오원석,5.0,21,2,0,0,3,3,3,0,7-3,92-46,0-0,63,0.00,1.00,1.01,0.214,3.07
KT,원상현,1.0,4,1,0,0,0,0,1,0,2-0,24-15,0-0,,2.25,0.50,0.81,0.032,0.61
KT,김민수,1.0,5,2,0,0,0,0,1,0,1-1,15-13,0-0,,4.50,1.75,0.62,0.028,0.61
KT,손동현,0.2,4,1,2,0,0,0,2,0,0-1,17-14,0-0,,0.00,0.60,0.32,-0.005,-0.03
KT,박영현,1.1,6,2,1,1,0,0,2,1,0-2,19-16,2-2,,5.40,1.80,1.35,0.053,-1.74
KT,팀 합계,9.0,40,8,3,1,3,3,9,1,10-7,167-104,2-2,63,1.00,1.22,0.82,0.322,2.52
