팀 이름,타순,이름,Pos.,PA,AB,R,H,HR,RBI,BB,HBP,SO,GO,FO,NP,GDP,LOB,AVG,OPS,LI,WPA,RE24
키움,1,푸이그,LF,5,4,1,1,0,0,1,0,0,1,2,19,0,3,0.381,1.004,1.89,-0.038,0.35
키움,2,이주형,CF,5,3,0,2,0,0,2,0,1,0,0,24,0,0,0.429,1.044,1.86,0.167,2.90
키움,3,카디네스,"DH,RF",5,2,1,0,0,1,2,0,1,0,2,23,0,6,0.444,1.353,2.01,0.049,-0.62
키움,4,송성문,2B,5,4,1,0,0,0,1,0,1,2,1,14,0,8,0.227,0.593,2.27,-0.090,-2.13
키움,5,최주환,1B,5,5,1,2,0,2,0,0,0,1,2,17,0,5,0.435,1.110,2.53,0.470,0.37
키움,6,전태현,3B,5,4,0,1,0,0,0,0,1,0,2,25,0,1,0.636,1.394,1.24,-0.076,-0.55
키움,7,이형종,RF,3,3,0,0,0,0,0,0,0,3,0,6,0,1,0.000,0.000,0.81,-0.066,-0.79
키움,,어준서,"PH,SS",2,2,0,1,0,1,0,0,0,1,0,2,0,1,0.500,1.500,2.36,0.111,0.37
키움,,박윤성,P,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.00,0.000,0.00
키움,8,김재현,C,3,3,1,1,0,0,0,0,0,2,0,7,0,1,0.200,0.473,1.16,0.038,0.08
키움,,박주홍,PH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.214,0.428,0.00,0.000,0.00
키움,,여동욱,PH,1,1,0,0,0,0,0,0,1,0,0,5,0,1,0.231,0.795,2.90,-0.069,-0.36
키움,,주승우,P,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.00,0.000,0.00
키움,,오선진,"PH,SS",1,1,0,0,0,0,0,0,1,0,0,5,0,1,0.143,0.536,0.45,-0.013,-0.39
키움,9,김태진,SS,3,1,0,0,0,0,1,0,0,0,0,10,0,1,0.222,0.586,1.30,-0.010,-0.05
키움,,김동헌,"PH,C",1,1,0,1,0,0,0,0,0,0,0,3,0,0,0.300,0.664,2.05,0.047,0.30
키움,팀 합계,,,44,34,5,9,0,4,7,0,6,10,9,160,0,29,0.265,0.705,4.57,0.520,-0.52
KIA,1,김선빈,2B,5,4,1,3,0,0,1,0,0,1,0,21,0,0,0.450,1.092,1.06,0.175,1.11
KIA,2,위즈덤,1B,5,4,0,0,0,0,1,0,0,0,4,25,0,3,0.188,0.847,1.79,-0.174,-1.12
KIA,3,나성범,RF,5,3,1,1,1,2,2,0,1,0,1,23,0,3,0.389,1.466,1.56,0.421,1.57
KIA,4,최형우,DH,4,3,1,0,0,0,1,0,0,2,1,15,1,2,0.263,0.890,1.34,-0.117,-1.10
KIA,5,이우성,LF,4,3,0,0,0,0,1,0,1,2,0,19,0,0,0.300,0.883,1.25,-0.003,-0.29
KIA,,박정우,LF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.500,1.500,0.00,0.000,0.00
KIA,6,한준수,C,4,4,0,0,0,0,0,0,0,2,2,10,0,2,0.214,0.928,1.19,-0.126,-1.06
KIA,7,최원준,CF,4,3,0,1,0,0,1,0,2,0,0,23,0,2,0.300,0.814,1.03,-0.033,-0.36
KIA,8,변우혁,3B,4,3,0,0,0,0,0,1,0,1,1,7,0,2,0.222,0.633,1.40,-0.051,-0.57
KIA,9,김규성,SS,4,4,0,1,0,1,0,0,1,1,1,7,0,0,0.400,0.855,2.10,-0.072,-1.69
KIA,팀 합계,,,39,31,3,6,1,3,7,1,5,9,10,150,1,14,0.194,0.682,2.12,0.020,-3.51
