팀 이름,이름,IP,TBF,H,R,ER,BB,HBP,K,HR,GO-FO,NP-S,IR-IS,GSC,ERA,WHIP,LI,WPA,RE24
키움,윤현,5.0,22,3,1,1,5,1,2,0,4-6,83-43,0-0,54,1.80,1.60,1.49,0.158,3.07
키움,이강준,1.0,4,0,0,0,1,0,1,0,1-1,13-7,0-0,,0.00,1.33,1.24,0.088,0.61
키움,원종현,1.0,5,1,2,2,1,0,0,1,2-1,14-8,0-0,,36.00,4.00,1.62,-0.388,-1.39
키움,주승우,1.0,4,1,0,0,0,0,0,0,2-1,16-10,0-0,,0.00,1.00,0.50,0.031,0.61
키움,박윤성,1.0,4,1,0,0,0,0,2,0,0-1,24-15,0-0,,4.50,1.50,1.83,0.091,0.61
키움,팀 합계,9.0,39,6,3,3,7,1,5,1,9-10,150-83,0-0,54,3.00,1.44,1.34,-0.020,3.51
KIA,김도현,6.0,26,4,2,0,3,0,2,0,9-5,81-51,0-0,59,0.00,1.17,1.35,0.050,1.68
KIA,최지민,0.0,3,1,0,0,2,0,0,0,0-0,17-7,0-0,,0.00,1.88,1.43,-0.159,-1.98
KIA,전상현,1.0,3,0,0,0,0,0,1,0,0-2,11-7,3-0,,0.00,0.00,2.45,0.214,2.60
KIA,조상우,0.1,2,1,0,0,0,0,0,0,0-1,7-4,0-0,,0.00,3.75,1.86,-0.007,0.00
KIA,곽도규,0.2,3,1,0,0,0,0,1,0,0-1,15-9,1-0,,13.50,3.00,3.36,0.127,0.61
KIA,정해영,1.0,7,2,3,3,2,0,2,0,1-0,29-14,0-0,,13.50,2.50,2.54,-0.747,-2.39
KIA,팀 합계,9.0,44,9,5,3,7,0,6,0,10-9,160-92,4-0,59,3.00,1.78,2.17,-0.522,0.52
