팀 이름,타순,이름,Pos.,PA,AB,R,H,HR,RBI,BB,HBP,SO,GO,FO,NP,GDP,LOB,AVG,OPS,LI,WPA,RE24
삼성,1,김지찬,CF,4,4,0,2,0,0,0,0,0,1,0,7,0,0,0.500,1.196,0.98,-0.028,-0.48
삼성,2,이재현,SS,4,4,0,1,0,0,0,0,2,1,0,19,0,3,0.353,1.401,1.36,-0.102,-0.80
삼성,3,구자욱,LF,4,4,0,0,0,0,0,0,0,1,3,12,0,1,0.304,1.022,1.18,-0.118,-1.14
삼성,4,강민호,C,4,4,0,1,0,0,0,0,0,1,1,12,0,1,0.238,0.733,0.92,0.005,0.02
삼성,5,디아즈,1B,4,4,0,0,0,0,0,0,2,1,1,17,0,1,0.240,0.779,1.09,-0.116,-1.18
삼성,6,박병호,DH,3,2,0,0,0,0,1,0,0,0,2,19,0,1,0.238,1.099,1.04,-0.040,-0.35
삼성,7,김영웅,3B,3,3,0,1,0,0,0,0,1,1,0,9,1,0,0.409,1.144,1.05,0.001,-0.29
삼성,,김성윤,"PR,RF",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.333,0.666,2.61,-0.104,-0.74
삼성,8,김헌곤,RF,2,2,0,0,0,0,0,0,0,1,1,7,0,0,0.250,0.732,1.11,-0.057,-0.59
삼성,,전병우,"PH,3B",1,1,0,0,0,0,0,0,1,0,0,6,0,0,0.000,0.000,0.97,-0.024,-0.19
삼성,9,류지혁,2B,3,2,0,1,0,0,1,0,0,1,0,9,0,0,0.333,0.742,0.69,0.028,0.23
삼성,팀 합계,,,32,30,0,6,0,0,2,0,6,8,8,117,1,7,0.200,0.483,13.00,-0.555,-5.51
두산,1,김민석,LF,3,3,0,0,0,0,0,0,1,0,2,7,0,1,0.227,0.579,0.82,-0.061,-0.78
두산,,전다민,LF,1,1,0,0,0,0,0,0,0,1,0,2,0,0,0.000,0.000,0.12,-0.003,-0.13
두산,2,김재환,DH,3,3,1,1,0,0,0,0,1,1,0,10,0,0,0.269,0.719,0.68,-0.006,-0.19
두산,3,강승호,"3B,1B",3,3,0,1,0,2,0,0,1,0,1,8,0,0,0.333,0.902,0.88,0.193,1.58
두산,4,케이브,RF,3,3,0,0,0,0,0,0,1,0,1,8,0,1,0.227,0.684,0.73,-0.058,-0.87
두산,5,양의지,C,3,2,0,0,0,0,1,0,1,1,0,15,0,0,0.235,0.644,0.56,-0.003,-0.04
두산,6,양석환,1B,3,3,0,1,0,0,0,0,1,0,1,14,0,1,0.261,0.553,0.56,-0.017,-0.52
두산,,박계범,3B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.00,0.000,0.00
두산,7,박준영,SS,3,3,0,0,0,0,0,0,2,1,0,13,1,1,0.222,0.578,0.62,-0.065,-0.99
두산,8,이유찬,2B,3,3,0,0,0,0,0,0,3,0,0,18,0,0,0.214,0.481,0.60,-0.046,-0.88
두산,9,정수빈,CF,3,3,1,1,0,0,0,0,0,0,2,4,0,0,0.368,0.899,0.44,0.012,-0.09
두산,팀 합계,,,28,27,2,4,0,2,1,0,11,4,7,99,1,4,0.148,0.401,2.00,-0.054,-2.91
