팀 이름,이름,IP,TBF,H,R,ER,BB,HBP,K,HR,GO-FO,NP-S,IR-IS,GSC,ERA,WHIP,LI,WPA,RE24
KIA,양현종,6.0,27,6,3,1,2,1,5,0,3-8,100-61,0-0,55,4.09,1.55,1.30,0.103,0.68
KIA,최지민,0.2,3,0,0,0,1,0,0,0,2-0,10-5,0-0,,0.00,1.80,1.97,0.034,0.22
KIA,조상우,0.2,4,2,2,1,0,0,0,0,2-0,23-15,1-0,,4.50,3.50,3.43,-0.171,-0.56
KIA,황동하,0.2,3,1,0,0,0,0,2,0,0-0,12-8,2-2,,7.50,1.67,1.56,-0.289,-0.43
KIA,팀 합계,8.0,37,9,5,2,3,1,7,0,7-8,145-89,3-2,55,2.25,1.50,2.07,-0.323,-0.09
한화,와이스,5.0,24,6,4,4,3,0,7,2,4-4,96-63,0-0,43,5.73,1.45,0.78,-0.147,-0.93
한화,권민규,1.1,5,0,0,0,1,0,1,0,2-1,27-14,0-0,,0.00,1.29,0.81,0.080,0.91
한화,김종수,1.2,5,0,0,0,2,0,0,0,3-0,20-9,0-0,,0.00,1.36,0.95,0.082,0.93
한화,김서현,1.0,4,0,0,0,1,0,1,0,2-0,18-8,0-0,,0.00,0.92,3.54,0.162,0.61
한화,팀 합계,9.0,38,6,4,4,7,0,9,2,11-5,161-94,0-0,43,4.00,1.44,1.52,0.177,1.52
