팀 이름,타순,이름,Pos.,PA,AB,R,H,HR,RBI,BB,HBP,SO,GO,FO,NP,GDP,LOB,AVG,OPS,LI,WPA,RE24
KT,1,강백호,DH,5,4,0,1,0,0,1,0,1,1,0,25,0,4,0.219,0.609,1.44,-0.076,-0.52
KT,2,로하스,RF,4,2,1,0,0,0,2,0,0,2,0,16,1,1,0.130,0.572,1.45,0.001,-0.28
KT,3,허경민,3B,4,4,0,2,0,0,0,0,0,1,1,15,1,2,0.387,0.871,1.61,-0.138,-1.23
KT,4,김민혁,LF,4,4,0,1,0,1,0,0,2,1,0,15,0,2,0.423,0.926,1.47,0.024,0.26
KT,5,장성우,C,4,4,0,0,0,0,0,0,2,0,2,15,0,3,0.074,0.212,1.34,-0.141,-1.43
KT,,조대현,C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.00,0.000,0.00
KT,6,황재균,1B,4,4,0,0,0,0,0,0,1,2,1,7,0,0,0.182,0.455,0.87,-0.089,-0.91
KT,7,천성호,2B,4,4,0,1,0,0,0,0,3,0,0,19,0,0,0.211,0.664,0.89,-0.066,-0.55
KT,8,배정대,CF,4,4,0,0,0,0,0,0,0,2,2,16,0,2,0.222,0.722,0.70,-0.033,-0.31
KT,9,김상수,SS,4,2,0,1,0,0,2,0,0,1,0,15,0,0,0.409,1.155,1.06,0.068,0.45
KT,팀 합계,,,37,32,1,6,0,1,5,0,9,10,6,143,2,14,0.188,0.485,5.42,-0.450,-4.52
롯데,1,전준우,LF,4,4,0,1,0,1,0,0,0,2,1,10,0,2,0.167,0.439,1.33,0.067,0.16
롯데,,윤동희,RF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.158,0.518,0.00,0.000,0.00
롯데,2,김민성,2B,4,4,0,0,0,1,0,0,1,1,2,11,0,3,0.286,0.572,1.08,-0.063,-1.26
롯데,,전민재,2B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.200,0.517,0.00,0.000,0.00
롯데,3,손호영,3B,4,4,0,1,0,0,0,0,0,3,0,8,0,1,0.192,0.468,0.55,-0.048,-0.22
롯데,4,레이예스,"RF,LF",4,4,0,1,0,0,0,0,0,1,2,14,0,1,0.185,0.429,0.64,-0.015,-0.75
롯데,5,나승엽,1B,4,4,1,2,1,1,0,0,1,0,1,14,0,2,0.222,0.657,0.70,0.093,0.82
롯데,6,유강남,C,2,2,0,0,0,0,0,0,1,1,0,7,0,1,0.300,0.664,0.78,-0.042,-0.45
롯데,,정보근,C,2,2,0,0,0,0,0,0,0,2,0,8,0,2,0.313,0.728,0.53,-0.027,-0.80
롯데,7,정훈,DH,3,3,1,1,0,0,0,0,1,1,0,9,0,1,0.154,0.584,0.80,0.049,0.11
롯데,8,한태양,SS,2,2,0,1,0,0,0,0,1,0,0,6,0,1,0.333,0.833,1.27,-0.017,0.01
롯데,,이호준,SS,1,0,0,0,0,0,1,0,0,0,0,5,0,0,0.000,0.000,0.40,0.015,0.45
롯데,9,장두성,CF,3,1,1,1,0,0,0,0,0,0,0,9,0,2,1.000,2.000,1.29,0.039,0.03
롯데,팀 합계,,,33,30,3,8,1,3,1,0,5,11,6,101,0,16,0.267,0.757,1.87,0.051,-1.90
