팀 이름,타순,이름,Pos.,PA,AB,R,H,HR,RBI,BB,HBP,SO,GO,FO,NP,GDP,LOB,AVG,OPS,LI,WPA,RE24
LG,1,홍창기,RF,5,3,2,1,0,1,2,0,0,2,0,19,0,2,0.240,0.686,0.64,0.062,1.30
LG,,문정빈,"PH,RF",1,1,0,0,0,0,0,0,0,0,1,6,0,1,0.143,0.714,0.00,0.000,-0.25
LG,2,신민재,2B,6,5,3,2,0,3,1,0,0,3,0,24,0,2,0.438,0.964,0.75,0.184,2.97
LG,3,오스틴,1B,5,5,1,2,1,3,0,0,0,0,3,13,0,4,0.333,1.142,0.73,0.014,2.93
LG,,이영빈,"PR,1B",1,1,1,0,0,0,0,0,0,1,0,5,0,0,0.000,0.000,0.00,0.000,-0.19
LG,4,문보경,3B,3,3,2,1,1,2,0,0,1,1,0,8,0,2,0.375,1.417,0.73,0.102,1.54
LG,,구본혁,3B,3,3,0,0,0,0,0,0,0,0,3,16,0,1,0.250,0.855,0.02,-0.002,-0.88
LG,5,오지환,SS,5,4,0,3,0,2,0,0,1,0,1,15,0,1,0.280,0.736,0.36,0.015,2.41
LG,6,송찬의,LF,5,3,1,0,0,0,2,0,0,2,1,23,0,3,0.364,1.122,0.34,0.033,-0.40
LG,7,김현수,DH,4,3,0,1,0,1,1,0,0,0,2,14,0,2,0.211,0.611,0.68,0.052,0.64
LG,,최원영,"PR,DH,CF",1,1,1,0,0,0,0,0,0,1,0,3,0,0,0.000,0.000,0.08,0.004,-0.06
LG,8,박동원,C,4,3,1,0,0,0,1,0,1,1,1,14,0,4,0.348,0.966,0.56,-0.051,-0.80
LG,,이주헌,"PH,C",1,1,0,1,0,0,0,0,0,0,0,5,0,0,0.333,0.833,0.00,0.000,0.29
LG,9,박해민,CF,5,3,2,1,0,0,1,0,2,0,0,19,0,3,0.273,0.747,0.33,0.012,0.01
LG,,우강훈,P,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.00,0.000,0.00
LG,,김영우,P,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.00,0.000,0.00
LG,팀 합계,,,49,39,14,12,2,12,8,0,5,11,12,184,0,25,0.308,0.904,1.31,0.425,9.51
NC,1,박민우,DH,3,2,0,0,0,0,1,0,2,0,0,24,0,0,0.333,0.956,0.66,-0.035,-0.45
NC,,한재환,"PH,DH,1B",1,1,0,0,0,0,0,0,0,0,1,1,0,1,0.222,0.522,0.02,0.000,-0.36
NC,2,김주원,SS,4,4,0,0,0,0,0,0,0,2,2,8,0,2,0.286,0.685,0.51,-0.050,-0.93
NC,3,손아섭,RF,3,3,1,2,0,0,0,0,1,0,0,13,0,0,0.500,1.167,0.43,0.033,0.77
NC,,박시원,RF,1,1,0,0,0,0,0,0,1,0,0,4,0,0,0.375,1.000,0.01,0.000,-0.29
NC,4,데이비슨,1B,4,4,1,2,1,2,0,0,0,1,1,12,0,2,0.385,1.214,0.64,0.122,2.40
NC,,손주환,P,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.00,0.000,0.00
NC,5,박건우,CF,3,3,0,0,0,0,0,0,1,1,0,16,0,4,0.308,0.744,1.33,-0.064,-0.48
NC,,천재환,CF,1,1,0,0,0,0,0,0,0,1,0,2,0,0,0.111,0.222,0.00,0.000,-0.13
NC,6,권희동,LF,4,4,0,0,0,0,0,0,2,2,0,15,1,3,0.438,1.292,0.97,-0.097,-2.12
NC,7,도태훈,2B,2,2,0,0,0,0,0,0,1,1,0,7,0,3,0.267,0.753,1.19,-0.070,0.10
NC,,서호철,"PH,2B",2,2,0,1,0,0,0,0,0,0,1,7,0,0,0.231,0.517,0.08,-0.004,0.17
NC,8,김형준,C,2,2,1,1,1,1,0,0,0,0,0,4,0,0,0.273,0.759,0.72,0.079,0.71
NC,,박세혁,C,2,2,0,0,0,0,0,0,1,0,1,10,0,1,0.000,0.000,0.01,-0.001,-0.65
NC,9,김휘집,3B,4,4,1,2,1,1,0,0,0,1,1,10,0,1,0.263,0.754,0.35,0.014,0.75
NC,팀 합계,,,36,35,4,8,3,4,1,0,9,9,7,133,1,17,0.229,0.736,1.73,-0.073,-0.51
