팀 이름,이름,IP,TBF,H,R,ER,BB,HBP,K,HR,GO-FO,NP-S,IR-IS,GSC,ERA,WHIP,LI,WPA,RE24
LG,손주영,6.0,25,6,4,4,1,0,6,3,7-3,101-71,0-0,49,2.77,0.77,0.84,0.073,-1.33
LG,이우찬,1.0,4,1,0,0,0,0,0,0,1-2,12-8,0-0,,0.00,1.00,0.02,0.001,0.61
LG,우강훈,1.0,3,0,0,0,0,0,1,0,1-1,9-8,0-0,,0.00,0.50,0.01,0.000,0.61
LG,김영우,1.0,4,1,0,0,0,0,2,0,0-1,11-9,0-0,,0.00,1.00,0.00,0.000,0.61
LG,팀 합계,9.0,36,8,4,4,1,0,9,3,9-7,133-96,0-0,49,4.00,1.00,0.22,0.074,0.50
NC,라일리,5.1,30,7,9,6,6,0,4,2,5-8,108-71,0-0,22,6.75,1.88,0.77,-0.398,-6.65
NC,최우석,1.2,12,4,5,3,2,0,0,0,3-2,48-29,0-0,,7.36,2.45,0.09,-0.028,-4.07
NC,한재승,1.0,4,1,0,0,0,0,1,0,1-1,18-15,0-0,,3.00,2.33,0.00,0.000,0.61
NC,손주환,1.0,3,0,0,0,0,0,0,0,2-1,10-6,0-0,,0.00,0.38,0.00,0.000,0.61
NC,팀 합계,9.0,49,12,14,9,8,0,5,2,11-12,184-121,0-0,22,9.00,2.22,0.22,-0.426,-9.50
