팀 이름,타순,이름,Pos.,PA,AB,R,H,HR,RBI,BB,HBP,SO,GO,FO,NP,GDP,LOB,AVG,OPS,LI,WPA,RE24
SSG,1,최지훈,CF,4,4,1,1,0,0,0,0,0,2,0,11,0,1,0.308,0.829,1.38,-0.057,-0.42
SSG,2,정준재,2B,4,3,0,1,0,0,1,0,2,0,0,20,0,1,0.250,0.683,1.39,0.004,0.52
SSG,3,박성한,SS,4,4,0,0,0,0,0,0,2,1,1,18,0,4,0.278,0.958,1.54,-0.188,-0.61
SSG,4,에레디아,LF,4,4,0,1,0,0,0,0,0,0,3,9,0,3,0.269,0.671,1.56,-0.042,-0.92
SSG,5,고명준,1B,4,4,0,2,0,1,0,0,0,2,0,9,1,0,0.304,0.664,1.61,-0.029,0.32
SSG,6,한유섬,DH,4,4,0,1,0,0,0,0,2,0,1,13,0,3,0.182,0.364,1.01,-0.065,-1.00
SSG,,최상민,PR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.00,0.000,0.00
SSG,7,이지영,C,3,3,0,0,0,0,0,0,0,1,2,8,0,1,0.111,0.311,1.25,-0.094,-0.95
SSG,,오태곤,PH,1,1,0,0,0,0,0,0,0,1,0,4,0,1,0.222,1.031,1.23,-0.035,-0.25
SSG,8,박지환,3B,3,3,0,0,0,0,0,0,1,1,0,8,0,1,0.238,0.542,0.89,-0.069,-0.64
SSG,9,하재훈,RF,1,1,0,0,0,0,0,0,1,0,0,4,0,0,0.182,0.535,0.39,-0.010,-0.13
SSG,,정현승,RF,2,2,0,1,0,0,0,0,0,0,1,10,0,0,0.500,1.500,1.00,0.061,0.55
SSG,팀 합계,,,34,33,1,7,0,1,1,0,8,8,8,114,1,15,0.212,0.538,3.31,-0.524,-3.53
키움,1,푸이그,DH,4,3,0,1,0,0,0,1,0,0,2,14,0,0,0.379,1.092,0.88,0.029,0.44
키움,2,이주형,CF,4,4,0,1,0,0,0,0,1,1,1,21,0,2,0.367,0.874,1.34,-0.066,-0.57
키움,3,카디네스,RF,4,4,1,2,1,2,0,0,0,1,0,13,0,2,0.440,1.355,1.31,0.229,1.27
키움,4,송성문,2B,4,3,0,1,0,0,1,0,0,1,1,17,0,4,0.267,0.720,1.20,0.013,-0.12
키움,5,최주환,1B,4,4,1,2,1,1,0,0,1,1,0,12,0,1,0.433,1.202,1.13,0.097,1.09
키움,6,김동헌,C,4,4,0,1,0,0,0,0,2,0,1,32,0,2,0.235,0.551,0.93,-0.057,-0.95
키움,7,박주홍,LF,4,3,0,1,0,0,1,0,1,1,0,15,1,3,0.235,0.513,1.14,-0.155,-1.21
키움,8,양현종,3B,3,2,1,0,0,0,1,0,1,1,0,18,0,1,0.000,0.333,1.22,-0.020,-0.29
키움,,오선진,3B,1,1,0,0,0,0,0,0,0,1,0,2,0,1,0.125,0.472,0.32,-0.004,-0.22
키움,9,김태진,SS,4,4,0,0,0,0,0,0,1,1,1,12,0,2,0.235,0.610,0.94,-0.092,-1.33
키움,팀 합계,,,36,32,3,9,2,3,3,1,7,8,6,156,1,18,0.281,0.830,3.47,-0.026,-1.89
