팀 이름,타순,이름,Pos.,PA,AB,R,H,HR,RBI,BB,HBP,SO,GO,FO,NP,GDP,LOB,AVG,OPS,LI,WPA,RE24
KIA,1,박재현,CF,5,5,0,1,0,0,0,0,2,1,1,15,0,3,0.125,0.347,0.87,-0.032,-0.64
KIA,2,위즈덤,1B,4,4,1,2,1,2,0,0,1,0,1,15,0,2,0.292,1.304,1.20,0.177,1.11
KIA,3,나성범,RF,4,4,1,1,0,0,0,0,2,0,1,17,0,2,0.296,1.124,1.01,-0.031,-0.56
KIA,,최원준,RF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.286,0.726,0.00,0.000,0.00
KIA,4,최형우,DH,4,4,0,1,0,0,0,0,0,3,0,16,0,1,0.290,0.934,1.12,0.004,-0.28
KIA,5,이우성,LF,3,2,0,0,0,0,1,0,0,1,1,12,1,1,0.250,0.752,1.36,-0.114,-0.89
KIA,,한준수,C,1,1,0,0,0,0,0,0,0,1,0,6,0,0,0.222,0.917,0.38,-0.009,-0.19
KIA,6,변우혁,3B,3,3,0,2,0,1,0,0,0,0,0,5,0,1,0.286,0.690,1.58,0.134,0.81
KIA,,홍종표,"PR,3B",1,1,1,0,0,0,0,0,0,1,0,1,0,0,0.091,0.258,0.26,-0.007,-0.13
KIA,7,서건창,2B,4,3,0,1,0,0,0,0,1,1,0,7,1,2,0.167,0.417,1.07,-0.088,-0.38
KIA,8,김태군,C,2,2,0,0,0,0,0,0,0,2,0,5,0,0,0.167,0.381,1.13,-0.058,-0.59
KIA,,김선빈,PH,1,1,0,1,0,1,0,0,0,0,0,4,0,0,0.440,1.077,2.16,0.183,1.00
KIA,,박정우,"PR,LF",1,1,1,0,0,0,0,0,0,0,1,2,0,1,0.500,1.250,0.45,-0.011,-0.45
KIA,9,김규성,SS,4,4,1,2,0,1,0,0,1,1,0,12,0,1,0.400,0.905,0.85,0.113,0.69
KIA,팀 합계,,,37,35,5,11,1,5,1,0,7,11,5,117,2,14,0.314,0.790,2.69,0.261,-0.50
한화,1,황영묵,2B,5,4,0,1,0,0,1,0,1,2,0,21,1,2,0.136,0.513,1.77,-0.141,-1.12
한화,2,안치홍,DH,5,4,0,0,0,0,1,0,1,0,3,21,0,2,0.071,0.204,1.45,-0.091,-0.69
한화,3,플로리얼,CF,4,3,0,1,0,2,1,0,0,1,1,22,0,2,0.143,0.487,1.58,0.172,1.55
한화,4,노시환,3B,4,4,0,0,0,0,0,0,3,1,0,20,0,5,0.167,0.561,1.88,-0.181,-0.97
한화,5,채은성,1B,4,4,0,0,0,0,0,0,1,3,0,13,0,2,0.240,0.681,1.49,-0.151,-1.33
한화,6,김태연,"LF,RF",4,2,1,0,0,0,1,1,1,0,1,13,0,0,0.185,0.609,0.98,0.024,0.30
한화,7,임종찬,RF,3,3,0,0,0,0,0,0,0,1,2,10,0,2,0.105,0.506,1.39,-0.101,-1.01
한화,,최인호,"PH,LF",1,1,0,0,0,0,0,0,1,0,0,8,0,0,0.000,0.250,1.15,-0.029,-0.19
한화,8,최재훈,C,3,2,1,1,0,0,0,1,0,0,1,16,0,1,0.333,0.800,1.15,0.003,0.20
한화,,문현빈,PH,1,1,0,0,0,0,0,0,0,1,0,2,0,0,0.200,0.604,0.63,-0.017,-0.13
한화,,이재원,C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.00,0.000,0.00
한화,9,심우준,SS,4,4,1,3,0,1,0,0,0,0,1,17,0,1,0.208,0.532,1.59,0.272,1.86
한화,팀 합계,,,38,32,3,6,0,3,4,2,8,9,9,163,1,17,0.188,0.597,3.01,-0.240,-1.53
