팀 이름,이름,IP,TBF,H,R,ER,BB,HBP,K,HR,GO-FO,NP-S,IR-IS,GSC,ERA,WHIP,LI,WPA,RE24
KT,고영표,6.0,26,7,2,2,2,0,6,1,7-3,102-69,0-0,54,4.22,1.69,1.13,0.029,1.67
KT,김민수,1.0,3,0,0,0,0,0,0,0,1-2,6-4,0-0,,3.18,1.24,1.42,0.108,0.61
KT,원상현,1.0,3,1,0,0,0,0,1,0,1-0,9-6,0-0,,1.80,0.60,2.56,0.141,0.61
KT,박영현,1.0,5,1,1,1,2,0,1,0,0-0,23-13,0-0,,5.06,2.06,4.19,-0.300,-0.39
KT,손동현,1.0,3,0,0,0,0,0,1,0,2-0,14-8,0-0,,0.00,0.56,1.81,0.137,0.61
KT,우규민,1.0,5,1,1,1,1,0,0,0,2-0,23-15,0-0,,2.08,0.92,4.40,-0.300,-0.39
KT,팀 합계,11.0,45,10,4,4,5,0,9,1,13-5,177-115,0-0,54,3.27,1.36,2.59,-0.185,2.72
롯데,데이비슨,6.1,25,4,2,2,2,0,5,0,9-3,112-73,0-0,60,2.03,0.83,1.23,0.282,2.11
롯데,박진,0.0,2,1,1,0,0,0,0,0,1-0,9-5,2-2,,2.25,1.25,2.66,-0.371,-2.13
롯데,정현수,0.2,2,0,0,0,0,0,0,0,0-2,5-4,2-1,,2.70,0.60,2.11,-0.022,0.31
롯데,김상수,1.0,4,0,0,0,1,0,1,0,1-1,23-12,0-0,,10.80,2.40,0.73,0.052,0.61
롯데,박준우,1.0,4,1,0,0,0,0,1,0,0-2,12-9,0-0,,8.10,2.40,0.54,0.038,0.61
롯데,김원중,1.2,11,1,1,0,4,0,2,0,1-1,37-19,0-0,,2.45,1.91,4.18,-0.195,-0.32
롯데,송재영,0.1,1,0,0,0,0,0,1,0,0-0,3-3,2-0,,0.00,1.00,1.25,0.032,0.54
롯데,팀 합계,11.0,49,7,4,2,7,0,10,0,12-9,201-125,6-3,60,1.64,1.27,1.81,-0.184,1.73
