팀 이름,이름,IP,TBF,H,R,ER,BB,HBP,K,HR,GO-FO,NP-S,IR-IS,GSC,ERA,WHIP,LI,WPA,RE24
SSG,문승원,5.2,22,3,1,1,2,1,4,1,5-6,88-52,0-0,61,2.31,0.86,1.14,0.155,2.15
SSG,한두솔,0.1,1,0,0,0,0,0,0,0,0-0,5-3,2-0,,0.00,1.50,3.21,0.089,0.53
SSG,노경은,1.0,4,1,0,0,0,0,0,0,0-2,15-11,0-0,,1.69,1.31,2.69,0.108,0.61
SSG,서진용,0.2,5,1,1,1,2,0,0,0,0-2,20-9,0-0,,6.75,3.00,0.07,-0.004,-0.94
SSG,김민,0.1,2,1,0,0,0,0,1,0,0-0,10-8,2-0,,0.00,1.50,0.35,0.006,0.55
SSG,최민준,1.0,4,1,0,0,0,0,0,0,1-2,14-10,0-0,,0.00,1.00,0.06,0.003,0.61
SSG,팀 합계,9.0,38,7,2,2,4,1,5,1,6-12,152-93,4-0,61,2.00,1.22,1.25,0.357,3.51
키움,김윤하,6.0,23,3,2,2,2,0,3,1,4-8,89-53,0-0,59,7.36,1.45,0.92,0.048,1.68
키움,원종현,1.0,4,0,0,0,1,0,0,0,2-0,19-11,0-0,,18.00,2.50,1.38,0.055,0.61
키움,이강준,0.0,3,1,3,2,0,1,0,0,0-0,7-3,0-0,,6.00,1.67,1.14,-0.143,-2.00
키움,전준표,0.0,2,0,2,2,2,0,0,0,0-0,10-2,3-2,,27.00,5.00,1.14,-0.081,-2.00
키움,김연주,1.0,6,1,1,1,1,1,1,0,0-2,20-10,3-3,,9.00,2.60,0.16,-0.024,-1.39
키움,오석주,1.0,3,1,0,0,0,0,0,0,2-0,13-8,0-0,,3.00,1.33,0.01,0.001,0.61
키움,팀 합계,9.0,41,6,8,7,6,2,4,1,8-10,158-87,6-5,59,7.00,1.33,0.79,-0.144,-2.49
