팀 이름,이름,IP,TBF,H,R,ER,BB,HBP,K,HR,GO-FO,NP-S,IR-IS,GSC,ERA,WHIP,LI,WPA,RE24
삼성,레예스,5.0,18,3,2,2,0,0,5,1,5-4,67-46,0-0,58,3.60,0.60,0.91,0.090,1.06
삼성,배찬승,1.0,3,0,0,0,0,0,1,0,1-1,10-9,0-0,,2.70,1.50,1.16,0.088,0.61
삼성,이재희,1.0,3,0,0,0,0,0,1,0,0-2,9-6,0-0,,2.70,1.80,1.42,0.108,0.61
삼성,임창민,1.0,4,0,0,0,1,0,1,0,0-2,17-9,0-0,,0.00,0.90,3.05,0.141,0.61
삼성,김재윤,1.0,5,1,0,0,1,0,0,0,1-2,16-7,0-0,,12.00,2.33,5.90,0.200,0.61
삼성,팀 합계,9.0,33,4,2,2,2,0,8,1,7-11,119-77,0-0,58,2.00,0.67,2.49,0.627,3.50
두산,최원준,7.0,26,4,3,2,2,0,2,0,9-9,105-63,0-0,59,4.09,1.27,0.85,0.038,0.29
두산,이영하,1.0,4,0,0,0,1,0,0,0,3-0,14-7,0-0,,4.15,1.85,1.02,0.052,0.61
두산,김택연,1.0,3,1,0,0,0,0,1,0,0-1,14-9,0-0,,0.00,0.60,0.50,0.038,0.61
두산,팀 합계,9.0,33,5,3,2,3,0,3,0,12-10,133-79,0-0,59,2.00,0.89,0.79,0.128,1.51
