팀 이름,타순,이름,Pos.,PA,AB,R,H,HR,RBI,BB,HBP,SO,GO,FO,NP,GDP,LOB,AVG,OPS,LI,WPA,RE24
LG,1,홍창기,RF,5,2,2,1,0,0,2,1,1,0,0,24,0,0,0.259,0.755,0.51,0.091,1.75
LG,2,송찬의,LF,5,5,0,1,0,0,0,0,3,1,0,23,0,5,0.333,0.993,1.08,0.004,-1.23
LG,3,오스틴,1B,5,4,2,2,1,2,1,0,0,0,2,14,0,4,0.355,1.233,0.94,0.065,1.91
LG,4,문보경,DH,5,4,1,2,0,1,0,0,1,0,2,16,0,2,0.393,1.343,0.70,-0.037,-0.32
LG,5,박동원,C,5,4,0,0,0,0,1,0,2,1,1,29,0,3,0.296,0.850,0.56,-0.060,-0.71
LG,6,오지환,SS,5,5,0,2,0,2,0,0,2,1,0,22,0,2,0.300,0.780,0.83,-0.039,-0.41
LG,7,구본혁,3B,2,2,0,0,0,0,0,0,0,0,2,6,0,0,0.214,0.746,0.20,-0.010,-0.49
LG,,김현수,PH,1,1,0,0,0,0,0,0,0,1,0,4,0,1,0.200,0.583,0.77,-0.021,-0.43
LG,,문정빈,3B,1,1,0,0,0,0,0,0,0,1,0,4,0,1,0.125,0.625,0.51,-0.015,-0.38
LG,8,박해민,CF,4,3,0,0,0,0,1,0,1,0,2,21,0,0,0.240,0.686,0.30,-0.029,-0.52
LG,,최원영,CF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.00,0.000,0.00
LG,9,신민재,2B,4,3,0,1,0,0,1,0,0,1,0,17,0,1,0.421,0.943,0.36,0.032,0.32
LG,팀 합계,,,42,34,5,9,1,5,6,1,10,6,9,180,0,19,0.265,0.763,1.13,-0.019,-0.51
KT,1,로하스,RF,4,3,2,1,1,2,1,0,1,1,0,29,0,0,0.133,0.641,0.36,0.084,1.78
KT,2,강백호,DH,4,4,1,1,0,1,0,0,0,2,1,10,0,0,0.200,0.563,0.44,0.118,0.62
KT,3,허경민,3B,4,4,0,0,0,0,0,0,1,2,1,18,0,1,0.333,0.751,0.36,-0.047,-1.05
KT,4,김민혁,LF,4,3,2,1,0,0,1,0,1,1,0,19,0,0,0.394,0.899,0.36,0.020,0.45
KT,,최성민,LF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.00,0.000,0.00
KT,5,장성우,C,4,4,1,1,0,2,0,0,0,1,1,14,0,1,0.125,0.332,0.58,0.153,0.76
KT,6,김상수,2B,3,2,1,2,0,1,1,0,0,0,0,20,0,0,0.423,1.186,0.39,0.029,1.44
KT,,황재균,1B,1,1,0,0,0,0,0,0,0,1,0,6,0,0,0.188,0.485,0.06,-0.001,-0.13
KT,7,오윤석,"1B,2B",4,4,1,1,0,0,0,0,3,0,0,18,0,2,0.231,0.671,0.43,0.030,-0.04
KT,8,배정대,CF,4,3,0,1,0,1,0,0,0,1,1,20,0,2,0.235,0.684,0.50,0.014,-0.61
KT,9,권동진,SS,4,4,1,1,0,2,0,0,1,1,1,14,0,2,0.250,0.750,0.39,0.079,0.89
KT,팀 합계,,,36,32,9,9,1,9,3,0,7,10,5,168,0,8,0.281,0.833,0.65,0.479,4.11
