팀 이름,이름,IP,TBF,H,R,ER,BB,HBP,K,HR,GO-FO,NP-S,IR-IS,GSC,ERA,WHIP,LI,WPA,RE24
LG,에르난데스,0.2,10,5,8,8,3,0,1,1,0-1,53-30,0-0,8,9.39,1.30,1.20,-0.511,-7.51
LG,이지강,3.1,12,2,1,1,0,0,4,0,5-1,53-31,0-0,,1.69,0.56,0.07,0.000,0.96
LG,우강훈,1.0,5,2,0,0,0,0,1,0,2-0,21-14,0-0,,0.00,1.00,0.26,0.013,0.61
LG,이우찬,1.0,3,0,0,0,0,0,0,0,1-2,15-8,0-0,,0.00,0.50,0.13,0.010,0.61
LG,김영우,1.0,3,0,0,0,0,0,0,0,2-0,12-10,0-0,,0.00,0.50,0.08,0.006,0.61
LG,김유영,1.0,3,0,0,0,0,0,1,0,0-1,14-7,0-0,,0.00,0.00,0.04,0.003,0.61
LG,팀 합계,8.0,36,9,9,9,3,0,7,1,10-5,168-100,0-0,8,10.13,1.50,0.30,-0.479,-4.11
KT,오원석,4.1,23,5,5,5,5,0,7,1,1-4,99-59,0-0,35,4.82,1.61,0.63,-0.089,-1.99
KT,김민수,1.2,7,2,0,0,0,1,1,0,1-2,28-22,3-2,,2.45,1.23,1.00,0.044,0.66
KT,원상현,1.0,4,1,0,0,0,0,1,0,2-0,19-15,0-0,,1.50,0.67,0.40,0.029,0.61
KT,손동현,0.1,3,1,0,0,1,0,0,0,0-1,16-9,0-0,,0.00,0.88,0.46,-0.027,-0.57
KT,우규민,0.2,2,0,0,0,0,0,0,0,1-1,3-3,2-0,,1.80,0.80,1.04,0.050,1.19
KT,박영현,1.0,3,0,0,0,0,0,1,0,1-1,15-11,0-0,,4.26,1.74,0.18,0.014,0.61
KT,팀 합계,9.0,42,9,5,5,6,1,10,1,6-9,180-119,5-2,35,5.00,1.67,0.62,0.021,0.51
