팀 이름,타순,이름,Pos.,PA,AB,R,H,HR,RBI,BB,HBP,SO,GO,FO,NP,GDP,LOB,AVG,OPS,LI,WPA,RE24
롯데,1,전준우,LF,5,4,0,0,0,1,0,0,0,2,3,10,0,4,0.188,0.500,0.63,-0.050,-1.49
롯데,,장두성,CF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.571,1.142,0.00,0.000,0.00
롯데,2,손호영,3B,5,4,1,2,0,1,1,0,0,1,1,22,0,0,0.229,0.537,0.51,0.061,1.55
롯데,,전민재,"PR,3B",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.200,0.517,0.00,0.000,0.00
롯데,3,나승엽,1B,5,4,0,2,0,0,0,1,0,1,1,19,1,4,0.257,0.830,0.55,0.044,-1.16
롯데,4,레이예스,"RF,LF",5,5,0,0,0,1,0,0,1,3,1,16,0,5,0.167,0.373,0.57,-0.032,-1.67
롯데,5,정훈,DH,4,4,1,1,1,1,0,0,0,1,2,22,0,2,0.222,0.864,0.55,-0.016,0.01
롯데,6,윤동희,"CF,RF",4,4,1,1,1,1,0,0,3,0,0,19,0,1,0.154,0.622,0.37,0.078,0.33
롯데,7,김민성,2B,4,4,1,1,0,0,0,0,1,0,2,19,0,0,0.286,0.619,0.43,-0.011,-0.33
롯데,8,유강남,C,3,1,1,1,0,0,1,1,0,0,0,14,0,0,0.333,0.884,0.54,0.087,1.80
롯데,,김동혁,PR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.56,-0.019,-0.48
롯데,,정보근,C,1,1,0,0,0,0,0,0,1,0,0,4,0,0,0.250,0.586,0.07,-0.002,-0.13
롯데,9,이호준,SS,4,3,1,2,0,1,0,1,0,0,1,18,0,0,0.333,1.167,0.47,0.116,2.05
롯데,팀 합계,,,40,34,6,10,2,6,2,3,6,8,11,163,1,16,0.294,0.963,1.05,0.256,0.48
한화,1,황영묵,2B,4,4,0,2,0,0,0,0,1,1,0,29,0,2,0.192,0.584,1.32,-0.001,0.06
한화,2,안치홍,DH,4,4,0,0,0,0,0,0,0,2,2,14,1,4,0.056,0.161,1.50,-0.187,-2.05
한화,3,플로리얼,CF,4,4,0,0,0,1,0,0,2,1,1,15,0,2,0.125,0.431,0.98,-0.098,-1.20
한화,4,노시환,3B,4,4,0,0,0,0,0,0,2,1,1,20,0,1,0.147,0.495,0.77,-0.081,-0.16
한화,5,채은성,1B,4,4,0,1,0,0,0,0,0,1,2,15,0,0,0.241,0.658,0.47,-0.028,-0.07
한화,6,김태연,LF,4,4,0,1,0,0,0,0,0,2,1,18,0,1,0.194,0.596,0.60,-0.029,-0.60
한화,7,이진영,RF,2,1,1,0,0,0,1,0,0,0,1,7,0,1,0.200,0.629,0.86,0.010,0.09
한화,,최재훈,C,2,2,0,1,0,0,0,0,0,0,1,14,0,1,0.357,0.828,0.44,0.026,-0.09
한화,8,이재원,C,2,2,0,1,0,0,0,0,0,0,1,7,0,1,0.125,0.250,0.98,0.040,0.34
한화,,이원석,"PR,RF",1,1,0,0,0,0,0,0,1,0,0,4,0,1,0.000,0.000,1.42,-0.035,-0.36
한화,9,심우준,SS,3,3,1,2,0,0,0,0,0,1,0,9,0,1,0.259,0.619,1.22,0.138,2.54
한화,팀 합계,,,34,33,2,8,0,1,1,0,6,9,10,152,1,15,0.242,0.507,1.76,-0.245,-1.50
