팀 이름,이름,IP,TBF,H,R,ER,BB,HBP,K,HR,GO-FO,NP-S,IR-IS,GSC,ERA,WHIP,LI,WPA,RE24
롯데,김진욱,5.1,21,6,2,1,1,0,3,0,6-5,92-59,0-0,52,2.38,1.32,1.16,0.116,0.35
롯데,박준우,1.0,4,1,0,0,0,0,1,0,0-2,17-11,0-0,,6.23,2.08,0.72,0.023,0.32
롯데,정철원,0.2,2,0,0,0,0,0,1,0,1-0,8-5,1-0,,2.08,0.92,1.13,0.059,-0.39
롯데,정현수,1.0,3,0,0,0,0,0,1,0,1-1,15-12,0-0,,2.08,0.46,0.37,0.028,0.61
롯데,김원중,1.0,4,1,0,0,0,0,0,0,1-2,20-14,0-0,,1.93,1.71,0.37,0.018,0.61
롯데,팀 합계,9.0,34,8,2,1,1,0,6,0,9-10,152-101,1-0,52,1.00,1.00,0.75,0.244,1.50
한화,문동주,2.0,11,4,4,4,1,0,0,1,4-2,42-23,0-0,31,5.14,0.86,0.85,-0.274,-2.78
한화,조동욱,2.1,11,2,1,1,1,2,1,0,3-2,37-18,0-0,,3.86,1.93,0.67,-0.013,0.52
한화,김종수,1.2,5,0,0,0,0,1,2,0,0-2,27-16,0-0,,0.00,0.94,0.32,0.034,0.93
한화,이태양,1.0,4,1,0,0,0,0,1,0,1-1,15-9,0-0,,5.40,2.10,0.28,0.020,0.61
한화,정우주,1.0,4,1,1,1,0,0,2,1,0-1,17-12,0-0,,12.00,1.33,0.14,-0.027,-0.39
한화,권민규,1.0,5,2,0,0,0,0,0,0,0-3,25-16,0-0,,0.00,1.50,0.09,0.004,0.61
한화,팀 합계,9.0,40,10,6,6,2,3,6,2,8-11,163-94,0-0,31,6.00,1.33,0.39,-0.256,-0.50
