팀 이름,이름,IP,TBF,H,R,ER,BB,HBP,K,HR,GO-FO,NP-S,IR-IS,GSC,ERA,WHIP,LI,WPA,RE24
삼성,최원태,6.0,25,4,2,2,3,0,9,1,2-7,110-69,0-0,62,4.91,1.45,0.99,0.122,1.67
삼성,백정현,1.0,3,0,0,0,0,0,0,0,1-2,11-8,0-0,,3.18,0.53,1.16,0.088,0.61
삼성,이재희,1.0,4,0,0,0,1,0,2,0,1-0,15-7,0-0,,2.08,1.62,2.15,0.089,0.61
삼성,김재윤,1.0,3,0,0,0,0,0,1,0,0-1,18-11,0-0,,9.00,1.75,1.19,0.091,0.61
삼성,팀 합계,9.0,35,4,2,2,4,0,12,1,4-10,154-95,0-0,62,2.00,0.89,1.37,0.390,3.50
KIA,김도현,6.0,24,5,2,2,1,0,7,0,4-7,92-58,0-0,60,1.50,1.08,1.01,0.122,1.67
KIA,조상우,1.0,3,0,0,0,0,0,2,0,0-1,13-8,0-0,,1.93,1.50,1.16,0.088,0.61
KIA,전상현,0.1,4,1,2,2,2,0,0,0,0-0,15-6,0-0,,15.00,2.00,2.76,-0.378,-2.24
KIA,곽도규,0.2,2,0,0,0,1,0,0,0,1-0,13-6,1-0,,18.00,3.50,0.85,0.040,0.85
KIA,최지민,1.0,4,1,0,0,0,0,1,0,0-2,13-9,0-0,,1.93,1.93,0.36,0.017,0.61
KIA,팀 합계,9.0,37,7,4,4,4,0,10,0,5-10,146-87,1-0,60,4.00,1.22,1.23,-0.111,1.50
