팀 이름,이름,IP,TBF,H,R,ER,BB,HBP,K,HR,GO-FO,NP-S,IR-IS,GSC,ERA,WHIP,LI,WPA,RE24
키움,윤현,3.2,22,6,3,2,2,1,3,1,6-2,78-40,0-0,40,3.12,1.85,1.49,-0.239,-1.47
키움,오석주,1.1,5,0,0,0,1,0,2,0,0-2,19-10,3-0,,2.08,1.15,1.83,0.153,1.53
키움,김성민,0.2,4,0,0,0,2,0,0,0,2-0,21-10,0-0,,0.00,3.00,1.06,0.011,0.07
키움,김선기,1.1,4,0,0,0,0,0,0,0,3-1,17-11,2-0,,3.38,1.50,1.50,0.152,1.16
키움,박윤성,1.0,6,1,2,1,1,0,1,0,2-0,23-14,0-0,,4.50,1.25,1.56,-0.320,-1.39
키움,팀 합계,8.0,41,7,5,3,6,1,6,1,13-5,158-85,5-0,40,3.38,1.63,1.49,-0.243,-0.10
두산,최승용,6.0,24,4,3,3,1,1,7,1,5-6,91-60,0-0,58,3.97,1.24,0.94,-0.011,-0.33
두산,이영하,2.0,8,1,0,0,0,0,5,0,0-2,29-22,0-0,,2.84,1.42,1.83,0.194,1.22
두산,김택연,1.0,3,0,0,0,0,0,1,0,0-2,16-9,0-0,,0.00,0.46,0.96,0.074,0.61
두산,팀 합계,9.0,35,5,3,3,1,1,13,1,5-10,136-91,0-0,58,3.00,0.67,1.24,0.257,1.50
