팀 이름,타순,이름,Pos.,PA,AB,R,H,HR,RBI,BB,HBP,SO,GO,FO,NP,GDP,LOB,AVG,OPS,LI,WPA,RE24
삼성,1,김지찬,CF,4,4,0,0,0,0,0,0,1,2,1,15,0,2,0.410,1.027,1.18,-0.114,-1.40
삼성,2,이재현,SS,4,4,0,0,0,0,0,0,1,3,0,16,0,3,0.300,1.055,0.83,-0.040,-0.57
삼성,3,구자욱,LF,4,4,0,0,0,0,0,0,0,2,2,13,0,3,0.237,0.765,0.89,-0.095,-1.17
삼성,4,디아즈,1B,4,4,0,0,0,0,0,0,1,1,1,17,0,1,0.211,0.665,0.87,-0.032,-0.43
삼성,,양도근,PR,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.00,0.000,0.00
삼성,5,강민호,C,4,3,0,2,0,1,0,1,0,0,1,11,0,0,0.273,0.806,0.84,0.143,1.87
삼성,6,김영웅,3B,4,4,0,1,0,0,0,0,1,2,0,14,0,2,0.368,0.928,1.42,-0.040,-0.24
삼성,7,박병호,DH,4,3,0,0,0,0,0,1,1,1,1,23,0,3,0.212,0.895,1.52,-0.053,-1.12
삼성,,윤정빈,PR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.125,0.00,0.000,0.00
삼성,8,김헌곤,RF,3,3,0,0,0,0,0,0,0,2,1,6,0,2,0.222,0.633,1.18,-0.098,-1.12
삼성,,김성윤,PH,1,1,0,0,0,0,0,0,1,0,0,4,0,2,0.364,1.000,3.92,-0.089,-0.64
삼성,9,류지혁,2B,4,3,0,1,0,0,1,0,0,2,0,9,0,2,0.323,0.712,1.20,0.000,0.33
삼성,팀 합계,,,36,33,1,4,0,1,1,2,6,15,7,128,0,20,0.121,0.376,4.62,-0.418,-4.49
KIA,1,최원준,RF,4,4,0,0,0,0,0,0,1,1,2,17,0,0,0.222,0.569,0.51,-0.052,-0.90
KIA,2,박재현,CF,4,4,0,0,0,0,0,0,1,2,1,12,0,0,0.077,0.220,0.42,-0.042,-0.80
KIA,3,나성범,DH,4,2,1,0,0,0,2,0,1,1,0,25,0,0,0.273,1.048,0.29,0.014,-0.24
KIA,4,위즈덤,1B,4,3,1,0,0,0,1,0,1,1,0,17,0,1,0.267,1.252,0.45,-0.011,-0.28
KIA,5,이우성,LF,4,3,1,2,0,0,1,0,0,0,1,17,0,0,0.265,0.830,0.70,0.109,1.62
KIA,,박정우,LF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.500,1.250,0.00,0.000,0.00
KIA,6,변우혁,3B,3,3,0,2,0,3,0,0,0,1,0,5,0,1,0.300,0.683,1.40,0.221,2.10
KIA,7,홍종표,2B,3,3,0,0,0,0,0,0,0,1,2,8,0,4,0.071,0.204,0.87,-0.075,-1.62
KIA,8,김태군,C,3,3,0,0,0,0,0,0,0,1,2,9,0,2,0.133,0.309,0.63,-0.048,-1.03
KIA,9,김규성,SS,3,3,0,0,0,0,0,0,2,0,1,7,0,1,0.346,0.778,0.41,-0.033,-0.74
KIA,팀 합계,,,32,28,3,4,0,3,4,0,6,8,9,117,0,9,0.143,0.464,1.89,0.083,-1.89
