팀 이름,타순,이름,Pos.,PA,AB,R,H,HR,RBI,BB,HBP,SO,GO,FO,NP,GDP,LOB,AVG,OPS,LI,WPA,RE24
키움,1,푸이그,DH,4,4,0,1,0,0,0,0,2,1,0,22,0,0,0.293,0.846,0.52,-0.025,-0.42
키움,2,이주형,CF,4,4,0,2,0,0,0,0,1,0,1,13,0,0,0.385,1.027,0.65,0.011,0.63
키움,,박주홍,LF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.190,0.417,0.00,0.000,0.00
키움,3,카디네스,RF,4,4,0,1,0,0,0,0,3,0,0,12,0,3,0.351,1.044,0.80,-0.056,-1.19
키움,4,송성문,2B,4,4,0,0,0,0,0,0,0,2,2,13,0,4,0.225,0.701,0.65,-0.070,-0.30
키움,5,최주환,1B,4,3,1,2,0,0,1,0,0,0,1,15,0,0,0.415,1.138,0.56,0.064,1.50
키움,6,김동헌,C,4,2,0,1,0,1,2,0,0,0,1,16,0,1,0.250,0.625,0.78,0.053,0.99
키움,7,이형종,LF,2,2,0,0,0,0,0,0,0,1,1,11,1,1,0.000,0.000,0.97,-0.066,-0.97
키움,,임병욱,"PH,LF,CF",1,1,0,0,0,0,0,0,1,0,0,5,0,1,0.000,0.000,1.69,-0.039,-0.45
키움,,강진성,PH,1,1,0,0,0,0,0,0,0,1,0,3,1,1,0.000,0.000,0.77,-0.029,-1.22
키움,8,김태진,SS,4,4,0,0,0,0,0,0,1,2,1,14,0,3,0.259,0.606,0.65,-0.067,-1.34
키움,9,이승원,3B,2,2,0,0,0,0,0,0,0,0,1,5,0,0,0.000,0.000,0.61,-0.030,-0.49
키움,,전태현,3B,1,1,0,0,0,0,0,0,1,0,0,4,0,1,0.435,1.002,0.71,-0.020,-0.25
키움,팀 합계,,,35,32,1,7,0,1,3,0,9,7,8,133,2,15,0.219,0.599,3.12,-0.274,-3.51
두산,1,정수빈,CF,4,3,0,1,0,1,1,0,1,1,0,16,0,1,0.333,0.774,0.52,0.017,1.06
두산,2,추재현,RF,4,4,0,0,0,0,0,0,1,2,1,17,1,4,0.143,0.393,0.56,-0.059,-2.41
두산,3,강승호,3B,4,4,1,0,0,0,0,0,2,2,0,14,0,2,0.289,0.857,0.54,-0.038,-1.10
두산,4,김재환,DH,4,3,1,0,0,0,1,0,1,0,2,19,0,0,0.205,0.628,0.41,-0.003,-0.45
두산,5,양의지,C,4,4,1,1,1,3,0,0,1,0,2,11,0,0,0.156,0.513,0.51,0.235,1.97
두산,6,양석환,1B,4,4,1,3,1,1,0,0,1,0,0,14,0,0,0.303,0.858,0.20,0.051,1.42
두산,,여동건,"PR,2B",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.00,0.000,0.00
두산,7,박계범,SS,3,3,0,1,0,0,0,0,0,2,0,8,1,0,0.333,0.666,0.31,0.001,-0.45
두산,,김민혁,"PH,1B",1,0,0,0,0,0,1,0,0,0,0,6,0,0,0.000,0.000,0.08,0.000,0.16
두산,8,오명진,2B,3,3,1,1,0,0,0,0,1,1,0,16,0,2,0.100,0.243,0.35,0.015,0.73
두산,,김인태,PH,1,1,0,1,0,1,0,0,0,0,0,1,0,0,0.500,1.000,0.09,0.007,0.98
두산,,박준영,SS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.208,0.546,0.00,0.000,0.00
두산,9,조수행,LF,4,4,0,0,0,0,0,0,1,1,2,11,0,6,0.000,0.000,0.31,-0.003,-0.80
두산,팀 합계,,,36,33,6,8,2,6,3,0,9,9,7,133,2,15,0.242,0.761,0.78,0.223,1.11
