팀 이름,이름,IP,TBF,H,R,ER,BB,HBP,K,HR,GO-FO,NP-S,IR-IS,GSC,ERA,WHIP,LI,WPA,RE24
KIA,양현종,5.0,23,7,4,4,1,0,3,0,7-5,78-55,0-0,39,5.06,1.56,0.93,-0.197,-0.95
KIA,황동하,1.0,7,0,3,3,4,0,1,0,1-1,32-12,0-0,,9.00,1.88,0.56,-0.035,-1.40
KIA,이준영,1.0,4,2,1,1,0,0,1,0,1-0,15-10,3-3,,7.36,2.45,0.22,-0.039,-1.38
KIA,이형범,1.0,4,1,0,0,0,0,1,0,1-1,16-10,0-0,,0.00,1.50,0.01,0.000,0.61
KIA,팀 합계,8.0,38,10,8,8,5,0,6,0,10-7,141-87,3-3,39,9.00,1.88,0.43,-0.271,-3.12
LG,송승기,5.0,25,7,2,2,3,0,4,0,3-6,87-52,0-0,46,1.50,1.00,1.33,0.086,1.05
LG,김강률,1.0,5,1,0,0,1,0,1,0,1-1,21-10,0-0,,4.50,1.75,1.67,0.065,0.61
LG,이우찬,0.0,1,1,0,0,0,0,0,0,0-0,2-2,0-0,,0.00,1.00,1.34,-0.086,-0.68
LG,김진성,1.0,3,0,0,0,0,0,0,0,2-1,13-9,1-0,,3.38,1.13,1.69,0.157,1.29
LG,장현식,1.0,3,0,0,0,0,0,1,0,0-2,10-7,0-0,,0.00,0.00,0.07,0.006,0.61
LG,김영우,1.0,5,1,0,0,1,0,1,0,1-0,21-14,0-0,,0.00,1.00,0.05,0.003,0.61
LG,팀 합계,9.0,42,10,2,2,5,0,7,0,7-10,154-94,1-0,46,2.00,1.67,1.03,0.231,3.49
