팀 이름,타순,이름,Pos.,PA,AB,R,H,HR,RBI,BB,HBP,SO,GO,FO,NP,GDP,LOB,AVG,OPS,LI,WPA,RE24
KT,1,로하스,"RF,LF,RF",6,5,1,3,0,0,1,0,1,0,1,29,0,0,0.175,0.646,1.43,0.042,0.87
KT,2,강백호,DH,6,6,0,3,0,0,0,0,2,1,0,27,0,3,0.250,0.704,1.75,0.069,0.73
KT,3,허경민,3B,6,5,0,1,0,1,1,0,1,1,2,20,0,5,0.318,0.726,1.83,-0.124,-0.88
KT,4,장성우,C,5,3,0,0,0,0,2,0,0,2,0,22,0,3,0.103,0.314,1.80,-0.114,-1.17
KT,,안치영,PR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.00,0.000,0.00
KT,,조대현,C,1,1,0,0,0,0,0,0,0,0,1,1,0,1,0.000,0.000,2.32,-0.065,-0.25
KT,5,김상수,SS,4,2,0,1,0,0,2,0,1,0,0,26,0,2,0.429,1.197,1.44,0.120,0.38
KT,,권동진,"PR,SS",1,0,0,0,0,0,0,0,0,0,0,2,0,1,0.375,1.125,3.44,-0.023,-0.21
KT,6,문상철,1B,2,2,0,0,0,0,0,0,0,0,2,8,0,3,0.167,0.458,1.14,-0.060,-0.79
KT,,김민혁,"PH,LF",3,2,0,0,0,0,1,0,1,1,0,6,1,1,0.342,0.814,3.06,-0.214,-1.06
KT,7,배정대,CF,5,5,1,1,0,0,0,0,3,1,0,19,0,3,0.233,0.634,1.93,-0.200,-1.59
KT,8,오윤석,2B,3,3,0,0,0,0,0,0,0,2,1,10,0,1,0.176,0.516,0.91,-0.073,-0.63
KT,,천성호,"PH,2B",2,1,0,0,0,0,1,0,1,0,0,11,0,0,0.261,0.781,2.74,0.292,0.25
KT,9,최성민,"LF,RF",2,2,0,1,0,0,0,0,0,1,0,6,0,0,0.333,0.666,0.55,0.008,0.13
KT,,황재균,1B,3,3,0,0,0,0,0,0,2,0,1,12,0,3,0.174,0.425,3.64,-0.274,-1.51
KT,팀 합계,,,49,40,2,10,0,1,8,0,12,9,8,199,1,26,0.250,0.650,4.66,-0.616,-5.73
SSG,1,최지훈,CF,6,3,0,0,0,0,2,0,1,0,2,22,0,4,0.294,0.787,1.62,-0.127,-0.87
SSG,2,정준재,2B,6,4,1,0,0,0,2,0,1,2,1,28,0,2,0.194,0.596,1.35,-0.029,0.06
SSG,3,에레디아,LF,6,4,1,0,0,0,2,0,2,1,1,24,0,4,0.265,0.686,1.52,-0.101,-1.25
SSG,4,한유섬,DH,6,5,0,2,0,0,1,0,0,0,3,18,0,4,0.241,0.658,1.53,0.062,0.67
SSG,,안상현,PR,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.286,0.661,2.92,0.064,0.24
SSG,5,고명준,1B,4,3,0,0,0,0,1,0,1,0,2,15,0,4,0.250,0.594,1.42,-0.090,-0.86
SSG,,최상민,RF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.333,0.00,0.000,0.00
SSG,,하재훈,"PH,RF",2,2,0,0,0,0,0,0,2,0,0,6,0,1,0.167,0.492,2.72,-0.148,-0.76
SSG,6,박성한,SS,6,4,0,3,0,2,2,0,0,0,1,28,0,1,0.308,0.986,1.87,0.303,2.49
SSG,7,오태곤,"RF,1B",6,5,0,2,0,1,1,0,1,1,1,26,0,5,0.250,0.900,2.24,0.270,-1.40
SSG,8,이지영,C,5,5,0,0,0,0,0,0,0,4,1,18,0,9,0.111,0.283,2.14,-0.261,-2.65
SSG,9,김성현,3B,5,4,0,1,0,0,1,0,0,1,2,12,0,2,0.200,0.533,1.49,-0.060,-0.40
SSG,팀 합계,,,52,39,3,8,0,3,12,0,8,9,14,197,0,36,0.205,0.623,2.97,-0.117,-4.73
