팀 이름,이름,IP,TBF,H,R,ER,BB,HBP,K,HR,GO-FO,NP-S,IR-IS,GSC,ERA,WHIP,LI,WPA,RE24
KT,쿠에바스,5.0,26,6,2,2,5,0,1,0,7-6,105-69,0-0,43,3.86,1.39,1.59,0.008,1.05
KT,김민수,1.0,5,0,0,0,2,0,1,0,1-1,21-11,0-0,,2.16,1.32,1.17,0.047,0.61
KT,원상현,1.0,5,0,0,0,2,0,0,0,1-2,17-7,0-0,,1.29,0.86,1.10,0.043,0.61
KT,손동현,1.1,6,1,0,0,1,0,3,0,0-1,20-15,0-0,,0.00,1.00,1.68,0.046,0.37
KT,박영현,1.2,5,0,0,0,0,0,1,0,0-4,16-13,1-0,,3.38,1.38,2.49,0.335,1.47
KT,최동환,0.2,5,1,1,1,2,0,2,0,0-0,18-9,0-0,,3.86,2.14,3.06,-0.363,0.61
KT,팀 합계,10.2,52,8,3,3,12,0,8,0,9-14,197-124,1-0,43,2.53,1.88,1.85,0.116,4.72
SSG,김광현,5.0,22,5,1,1,3,0,3,0,6-4,99-64,0-0,53,2.87,1.53,1.11,0.170,2.05
SSG,노경은,1.0,4,0,0,0,1,0,2,0,1-0,13-8,0-0,,1.42,1.26,1.78,0.080,0.61
SSG,김건우,1.0,5,2,0,0,0,0,2,0,1-0,18-14,0-0,,1.69,0.94,2.47,0.096,0.61
SSG,김민,1.0,4,2,1,0,0,0,1,0,1-0,15-10,0-0,,0.00,1.60,1.95,-0.141,0.61
SSG,조병현,1.0,4,1,0,0,0,0,0,0,0-3,18-11,0-0,,0.00,1.24,1.94,0.137,0.61
SSG,이로운,1.0,6,0,0,0,3,0,2,0,0-0,20-9,0-0,,0.00,1.40,4.16,0.137,0.61
SSG,한두솔,1.0,4,0,0,0,1,0,2,0,0-1,16-10,0-0,,0.00,1.38,1.94,0.137,0.61
SSG,팀 합계,11.0,49,10,2,1,8,0,12,0,9-8,199-126,0-0,53,0.82,1.64,2.19,0.616,5.71
