팀 이름,타순,이름,Pos.,PA,AB,R,H,HR,RBI,BB,HBP,SO,GO,FO,NP,GDP,LOB,AVG,OPS,LI,WPA,RE24
두산,1,이유찬,LF,6,5,4,3,0,2,1,0,0,1,1,21,1,0,0.280,0.733,1.03,0.392,2.45
두산,2,강승호,3B,5,5,1,0,0,0,0,0,2,2,1,21,0,4,0.256,0.761,1.03,-0.023,-0.84
두산,,김기연,C,1,1,0,1,0,0,0,0,0,0,0,3,0,0,0.250,0.500,0.00,0.000,0.57
두산,3,양의지,C,5,5,2,3,0,3,0,0,0,0,1,11,0,0,0.216,0.626,0.74,0.162,3.18
두산,,오명진,2B,1,1,1,0,0,0,0,0,0,1,0,1,0,2,0.095,0.231,0.00,0.000,0.13
두산,4,양석환,1B,6,5,1,2,0,1,0,1,1,1,1,26,0,2,0.316,0.892,0.60,-0.031,1.67
두산,5,김민혁,DH,3,3,0,1,0,0,0,0,1,0,1,9,0,1,0.333,0.833,1.21,-0.022,-0.45
두산,,여동건,"PR,DH",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.00,0.000,0.00
두산,,김인태,"PH,DH,RF",3,2,2,2,1,3,1,0,0,0,0,12,0,0,0.625,1.792,0.21,0.048,2.78
두산,6,박계범,"2B,3B",6,6,1,3,0,1,0,0,1,1,1,22,0,5,0.417,0.917,0.78,-0.029,0.23
두산,7,박준영,SS,5,4,0,1,0,1,1,0,0,2,1,20,0,2,0.214,0.599,0.90,0.051,0.51
두산,8,추재현,RF,3,3,0,1,0,0,0,0,0,2,0,12,0,1,0.200,0.473,1.23,-0.039,-0.57
두산,,조수행,"PR,RF,CF",2,1,2,0,0,0,1,0,0,1,0,7,0,2,0.000,0.167,0.05,0.004,0.15
두산,9,정수빈,CF,5,5,1,2,0,0,0,0,0,2,1,14,0,2,0.342,0.777,0.90,0.049,-0.31
두산,,홍민규,P,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.00,0.000,0.00
두산,팀 합계,,,51,46,15,19,1,11,4,1,5,13,8,179,1,21,0.413,1.123,2.17,0.562,9.50
롯데,1,전준우,DH,5,5,0,0,0,0,0,0,2,1,2,18,0,5,0.150,0.400,0.57,-0.077,-2.24
롯데,2,김민성,2B,5,3,1,0,0,0,2,0,2,0,1,25,0,3,0.190,0.482,0.47,-0.001,-0.84
롯데,3,나승엽,1B,4,4,0,0,0,0,0,0,1,1,2,12,0,4,0.238,0.756,0.70,-0.070,-1.48
롯데,4,레이예스,LF,4,4,1,2,0,0,0,0,1,0,1,19,0,0,0.250,0.573,0.42,0.023,-0.03
롯데,,정훈,LF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.217,0.768,0.00,0.000,0.00
롯데,5,윤동희,"CF,RF",4,4,1,1,0,1,0,0,0,1,2,16,0,1,0.176,0.627,0.69,0.082,0.33
롯데,6,유강남,C,3,3,0,2,0,2,0,0,0,1,0,12,0,0,0.400,1.033,0.91,0.171,2.07
롯데,,강성우,PR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,1.29,-0.053,-0.74
롯데,,정보근,C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.250,0.572,0.00,0.000,0.00
롯데,,박재엽,"PH,C",1,1,0,0,0,0,0,0,1,0,0,6,0,0,0.000,0.000,0.00,0.000,-0.13
롯데,7,조세진,RF,1,1,0,0,0,0,0,0,1,0,0,3,0,1,0.000,0.000,0.65,-0.018,-0.38
롯데,,장두성,CF,3,3,0,0,0,0,0,0,1,1,1,13,0,0,0.364,0.728,0.34,-0.026,-0.48
롯데,8,이호준,SS,3,3,0,0,0,0,0,0,1,1,1,10,0,0,0.333,1.217,0.39,-0.030,-0.61
롯데,,한태양,SS,1,0,0,0,0,0,1,0,0,0,0,4,0,0,0.600,1.314,0.00,0.000,1.04
롯데,9,전민재,3B,4,4,0,3,0,0,0,0,0,0,1,17,0,2,0.273,0.713,0.31,0.059,1.01
롯데,팀 합계,,,38,35,3,8,0,3,3,0,10,6,11,155,0,16,0.229,0.632,1.35,0.060,-2.48
