팀 이름,이름,IP,TBF,H,R,ER,BB,HBP,K,HR,GO-FO,NP-S,IR-IS,GSC,ERA,WHIP,LI,WPA,RE24
두산,잭로그,6.0,26,7,3,3,2,0,6,0,5-6,104-68,0-0,50,5.50,1.44,0.66,-0.081,0.66
두산,이영하,1.0,4,1,0,0,0,0,2,0,1-0,15-9,0-0,,2.45,1.36,0.51,0.020,0.61
두산,김명신,1.0,3,0,0,0,0,0,1,0,0-2,18-12,0-0,,9.00,1.50,0.01,0.000,0.61
두산,홍민규,1.0,5,0,0,0,1,0,1,0,0-3,18-10,0-0,,0.00,1.00,0.00,0.000,0.61
두산,팀 합계,9.0,38,8,3,3,3,0,10,0,6-11,155-99,0-0,50,3.00,1.22,0.30,-0.061,2.49
롯데,반즈,6.1,29,9,6,4,0,1,5,0,8-5,98-66,0-0,40,6.61,1.59,1.30,-0.414,-1.58
롯데,박준우,0.2,5,3,2,2,0,0,0,0,1-1,18-12,1-1,,9.00,2.40,0.48,-0.130,-2.14
롯데,송재영,0.1,2,0,1,1,1,0,0,0,0-1,7-1,0-0,,2.70,1.50,0.08,0.000,0.00
롯데,김상수,0.2,8,5,4,4,1,0,0,1,1-1,29-22,1-1,,18.00,3.50,0.06,-0.016,-4.39
롯데,김강현,1.0,7,2,2,2,2,0,0,0,3-0,27-15,0-0,,6.00,3.00,0.00,0.000,-1.39
롯데,팀 합계,9.0,51,19,15,13,4,1,5,1,13-8,179-116,2-2,40,13.00,2.56,0.38,-0.560,-9.50
