팀 이름,타순,이름,Pos.,PA,AB,R,H,HR,RBI,BB,HBP,SO,GO,FO,NP,GDP,LOB,AVG,OPS,LI,WPA,RE24
한화,1,황영묵,2B,3,3,0,0,0,0,0,0,0,0,3,15,0,0,0.212,0.630,0.49,-0.037,-0.54
한화,,이도윤,2B,1,1,0,0,0,0,0,0,0,1,0,2,0,0,0.500,1.500,0.16,-0.004,-0.29
한화,2,안치홍,DH,4,4,0,1,0,0,0,0,0,0,1,12,0,0,0.080,0.259,0.48,-0.009,-0.49
한화,3,김태연,"LF,RF",4,4,0,2,0,0,0,0,0,0,2,10,0,1,0.231,0.626,0.49,-0.032,-0.14
한화,4,노시환,3B,4,4,0,0,0,0,0,0,2,1,1,16,0,3,0.143,0.449,0.40,-0.043,-0.98
한화,5,채은성,1B,3,3,0,0,0,0,0,0,0,1,2,10,0,1,0.194,0.534,0.70,-0.054,-0.83
한화,6,플로리얼,CF,3,3,0,0,0,0,0,0,2,0,1,11,0,0,0.103,0.376,0.52,-0.039,-0.68
한화,,이재원,C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.222,0.444,0.00,0.000,0.00
한화,7,이원석,RF,2,2,0,0,0,0,0,0,2,0,0,6,0,0,0.000,0.000,0.38,-0.020,-0.25
한화,,문현빈,"PH,LF",1,1,0,0,0,0,0,0,1,0,0,3,0,0,0.182,0.553,0.14,-0.004,-0.19
한화,8,최재훈,C,2,2,0,0,0,0,0,0,0,2,0,9,0,0,0.278,0.659,0.72,-0.037,-0.59
한화,,최인호,"PH,CF",1,1,0,0,0,0,0,0,0,1,0,5,0,1,0.000,0.222,0.06,0.003,0.12
한화,9,심우준,SS,3,3,0,0,0,0,0,0,1,2,0,10,0,1,0.212,0.530,0.37,-0.029,-0.63
한화,팀 합계,,,31,31,0,3,0,0,0,0,8,8,10,109,0,7,0.097,0.194,0.98,-0.305,-5.49
삼성,1,김지찬,CF,4,4,0,1,0,0,0,0,0,2,1,13,0,4,0.395,0.981,0.63,-0.051,-1.41
삼성,,김성윤,CF,1,1,0,1,0,0,0,0,0,0,0,6,0,0,0.417,1.167,0.02,0.001,0.54
삼성,2,구자욱,LF,5,4,1,0,0,0,1,0,2,0,2,21,0,2,0.214,0.711,0.48,-0.003,-0.76
삼성,,김헌곤,LF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.222,0.633,0.00,0.000,0.00
삼성,3,김영웅,3B,5,5,1,2,1,1,0,0,0,2,1,20,0,1,0.372,0.983,0.52,0.144,1.00
삼성,4,강민호,C,4,3,1,3,0,2,1,0,0,0,0,15,0,0,0.333,0.915,0.72,0.126,1.67
삼성,5,디아즈,1B,4,4,0,0,0,0,0,0,2,1,0,12,0,5,0.190,0.603,0.55,-0.055,-1.50
삼성,,양도근,2B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.00,0.000,0.00
삼성,6,박병호,DH,4,3,1,1,1,2,0,1,2,0,0,14,0,0,0.222,0.975,0.50,0.072,1.67
삼성,7,이재현,SS,4,4,0,1,0,0,0,0,0,1,2,17,0,3,0.294,0.996,0.51,-0.048,-1.18
삼성,8,윤정빈,RF,4,3,0,0,0,0,1,0,2,0,1,18,0,0,0.000,0.167,0.23,-0.018,-0.25
삼성,9,류지혁,"2B,1B",4,2,1,0,0,0,2,0,0,1,1,21,0,0,0.303,0.703,0.34,0.028,0.35
삼성,팀 합계,,,39,33,5,9,2,5,5,1,8,7,8,157,0,15,0.273,0.870,1.50,0.196,0.13
