팀 이름,타순,이름,Pos.,PA,AB,R,H,HR,RBI,BB,HBP,SO,GO,FO,NP,GDP,LOB,AVG,OPS,LI,WPA,RE24
NC,1,박민우,2B,5,4,2,2,0,0,0,1,1,1,0,16,0,1,0.333,0.881,1.12,0.058,0.73
NC,2,김주원,SS,5,4,2,1,1,2,1,0,0,2,1,19,1,2,0.257,0.728,1.40,0.144,0.63
NC,3,손아섭,RF,5,5,1,2,0,2,0,0,2,1,0,26,0,2,0.441,1.074,1.29,0.186,1.58
NC,,박시원,RF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.444,1.101,0.00,0.000,0.00
NC,4,데이비슨,1B,4,4,0,1,0,1,0,0,1,0,2,16,0,2,0.353,1.081,1.50,0.074,-0.02
NC,,도태훈,"PR,1B",1,1,0,0,0,0,0,0,0,1,0,3,0,0,0.263,0.701,0.62,0.005,-0.10
NC,5,박건우,CF,5,4,0,2,0,2,0,0,0,1,2,16,0,1,0.313,0.771,1.08,0.152,0.99
NC,6,권희동,LF,5,3,0,2,0,0,1,1,0,1,0,18,0,1,0.455,1.248,0.90,0.053,0.55
NC,,천재환,"PR,LF",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.100,0.200,0.00,0.000,0.00
NC,7,서호철,3B,5,4,0,1,0,0,0,0,2,0,1,13,0,5,0.235,0.513,1.09,-0.051,-0.87
NC,8,박세혁,C,3,2,1,0,0,0,1,0,2,0,0,14,0,4,0.000,0.091,1.47,-0.083,-1.01
NC,,김형준,C,1,1,0,0,0,0,0,0,0,0,1,3,0,0,0.231,0.644,0.45,-0.011,-0.19
NC,9,한재환,DH,4,4,1,1,0,0,0,0,1,1,1,22,0,3,0.286,0.619,1.26,-0.075,-0.77
NC,팀 합계,,,43,36,7,12,1,7,3,2,9,8,8,166,1,21,0.333,0.905,2.03,0.452,1.52
키움,1,푸이그,LF,5,3,0,0,0,0,1,1,1,1,1,17,0,1,0.292,0.914,1.08,0.060,-0.09
키움,2,송성문,2B,5,4,1,0,0,0,1,0,0,0,2,25,0,2,0.200,0.641,1.57,-0.124,-1.00
키움,3,카디네스,DH,5,4,0,1,0,0,1,0,1,2,0,22,0,1,0.326,0.984,1.31,0.049,0.56
키움,4,최주환,1B,4,3,0,0,0,0,1,0,0,2,1,14,0,2,0.354,0.987,1.99,0.005,-0.07
키움,5,김건희,C,4,2,1,0,0,1,1,0,2,0,1,12,0,4,0.167,0.417,2.31,-0.103,-1.18
키움,6,임병욱,CF,2,1,2,1,0,0,1,0,0,0,0,10,0,0,0.333,0.833,1.42,0.166,1.72
키움,,강진성,PH,1,1,0,0,0,0,0,0,0,1,0,3,0,2,0.400,0.900,2.42,-0.067,-0.52
키움,,이형종,RF,1,1,0,1,0,0,0,0,0,0,0,4,0,0,0.111,0.222,1.71,0.078,0.45
키움,7,박주홍,"RF,CF",4,3,1,1,1,3,1,0,2,0,0,19,0,1,0.208,0.602,1.99,0.167,1.97
키움,8,김태진,SS,4,3,0,0,0,0,1,0,0,2,1,11,1,2,0.242,0.597,1.56,-0.161,-1.17
키움,9,전태현,3B,3,3,0,0,0,0,0,0,2,1,0,19,0,2,0.370,0.877,0.91,-0.073,-0.88
키움,,이주형,PH,1,1,0,0,0,0,0,0,0,0,1,5,0,0,0.341,0.919,1.83,-0.047,-0.29
키움,팀 합계,,,39,29,5,4,1,4,8,1,8,9,7,161,1,17,0.138,0.574,3.35,-0.050,-0.50
