팀 이름,이름,IP,TBF,H,R,ER,BB,HBP,K,HR,GO-FO,NP-S,IR-IS,GSC,ERA,WHIP,LI,WPA,RE24
NC,라일리,4.1,20,2,5,5,5,0,5,1,4-4,98-58,0-0,39,7.80,1.80,1.07,-0.202,-1.56
NC,김민규,0.0,1,0,0,0,1,0,0,0,0-0,6-2,1-0,,11.57,2.57,1.81,-0.054,-0.56
NC,최성영,1.2,6,0,0,0,1,0,1,0,2-2,21-12,2-1,,13.50,2.40,2.02,0.044,0.79
NC,김재열,0.1,3,1,0,0,1,0,0,0,0-0,9-3,0-0,,13.50,3.00,2.09,-0.075,-0.57
NC,전사민,1.2,5,1,0,0,0,0,2,0,2-0,16-12,2-0,,7.20,1.00,2.87,0.245,1.79
NC,류진욱,1.0,4,0,0,0,0,1,0,0,1-1,11-7,0-0,,9.00,1.50,1.79,0.091,0.61
NC,팀 합계,9.0,39,4,5,5,8,1,8,1,9-7,161-94,5-1,39,5.00,1.33,1.94,0.049,0.50
키움,김윤하,3.1,19,7,5,5,2,0,5,1,3-2,78-49,0-0,29,8.79,1.74,1.11,-0.191,-1.74
키움,김선기,1.2,8,2,0,0,0,1,1,0,1-2,28-18,2-2,,2.57,1.43,1.68,-0.095,-0.21
키움,김성민,0.0,2,0,2,2,1,1,0,0,0-0,8-2,0-0,,10.80,1.80,1.74,-0.130,-1.03
키움,원종현,1.0,4,1,0,0,0,0,1,0,1-1,14-10,2-2,,9.00,1.50,1.70,-0.115,-0.36
키움,박윤성,1.0,3,0,0,0,0,0,1,0,0-2,13-8,0-0,,3.60,1.00,0.45,0.034,0.61
키움,오석주,2.0,7,2,0,0,0,0,1,0,3-1,25-18,0-0,,1.42,1.11,0.35,0.046,1.22
키움,팀 합계,9.0,43,12,7,7,3,2,9,1,8-8,166-105,4-4,29,7.00,1.67,1.17,-0.451,-1.51
