팀 이름,타순,이름,Pos.,PA,AB,R,H,HR,RBI,BB,HBP,SO,GO,FO,NP,GDP,LOB,AVG,OPS,LI,WPA,RE24
KIA,1,박찬호,SS,4,4,0,1,0,0,0,0,0,1,2,9,0,1,0.231,0.641,0.60,-0.057,-0.69
KIA,2,이우성,LF,4,4,0,0,0,0,0,0,3,1,0,14,0,2,0.262,0.783,0.51,-0.054,-1.02
KIA,3,나성범,RF,4,3,1,1,0,0,1,0,0,0,1,19,0,0,0.256,0.995,0.42,0.029,0.38
KIA,4,최형우,DH,4,4,0,0,0,0,0,0,3,0,1,14,0,2,0.286,0.896,0.71,-0.070,-1.02
KIA,5,위즈덤,1B,4,4,0,0,0,0,0,0,1,1,2,20,0,1,0.256,1.079,0.54,-0.062,-1.17
KIA,6,변우혁,3B,3,3,0,1,0,1,0,0,2,0,0,13,0,0,0.333,0.786,0.47,0.017,0.62
KIA,7,김규성,2B,3,3,0,0,0,0,0,0,0,3,0,11,0,1,0.281,0.656,0.66,-0.053,-0.80
KIA,8,김태군,C,2,1,0,1,0,0,0,1,0,0,0,6,0,0,0.176,0.426,0.61,0.053,0.75
KIA,,한준수,"PH,C",1,1,0,0,0,0,0,0,0,1,0,5,0,0,0.148,0.644,0.49,-0.013,-0.29
KIA,9,박정우,CF,2,2,0,0,0,0,0,0,1,1,0,8,1,1,0.333,0.929,1.14,-0.074,-1.06
KIA,,최원준,"PH,CF",1,1,0,0,0,0,0,0,0,0,1,2,0,0,0.220,0.549,0.28,-0.007,-0.19
KIA,팀 합계,,,32,30,1,4,0,1,1,1,10,8,7,121,1,8,0.133,0.388,2.14,-0.291,-4.49
LG,1,홍창기,RF,4,3,0,1,0,3,0,0,2,0,1,17,0,3,0.282,0.739,1.32,0.213,1.12
LG,2,신민재,2B,4,4,0,2,0,0,0,0,0,1,1,19,0,3,0.313,0.749,0.46,0.026,0.16
LG,3,오스틴,1B,4,3,0,0,0,1,0,0,0,0,4,13,0,1,0.350,1.260,0.59,-0.045,-2.32
LG,4,문보경,DH,4,4,0,0,0,0,0,0,2,1,1,10,0,1,0.375,1.188,0.42,-0.045,-1.06
LG,5,오지환,SS,4,4,0,0,0,0,0,0,1,0,3,16,0,0,0.282,0.746,0.32,-0.033,-0.74
LG,6,김현수,LF,4,4,1,1,0,0,0,0,1,0,2,16,0,0,0.310,0.739,0.32,-0.006,-0.16
LG,,최원영,LF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.00,0.000,0.00
LG,7,박동원,C,3,2,1,1,0,0,1,0,0,1,0,12,0,0,0.294,0.856,0.40,0.033,0.51
LG,8,구본혁,3B,3,1,1,0,0,0,0,1,1,0,0,7,0,2,0.176,0.658,0.56,0.019,0.09
LG,9,박해민,CF,3,1,2,1,0,0,2,0,0,0,0,12,0,0,0.226,0.658,0.73,0.046,1.53
LG,팀 합계,,,33,26,5,6,0,4,3,1,7,3,12,122,0,10,0.231,0.582,1.71,0.208,-0.87
