팀 이름,이름,IP,TBF,H,R,ER,BB,HBP,K,HR,GO-FO,NP-S,IR-IS,GSC,ERA,WHIP,LI,WPA,RE24
한화,엄상백,3.0,16,5,3,3,3,0,3,0,4-1,78-44,0-0,37,5.87,2.09,1.33,-0.161,-1.17
한화,조동욱,2.0,8,2,1,1,0,0,0,0,4-2,23-16,0-0,,3.68,1.50,0.30,0.033,0.77
한화,한승혁,0.2,4,2,1,0,0,0,1,0,1-0,15-11,1-1,,7.20,2.20,0.35,-0.047,-1.19
한화,김범수,0.1,1,0,0,0,0,0,0,0,1-0,5-3,1-0,,0.00,3.00,0.09,0.002,0.25
한화,김종수,1.0,6,1,0,0,2,0,2,0,0-1,26-15,0-0,,1.29,1.43,0.07,0.003,0.61
한화,권민규,1.0,9,3,5,5,3,0,1,1,0-2,39-20,0-0,,8.44,2.25,0.01,-0.005,-4.39
한화,팀 합계,8.0,44,13,10,9,8,0,7,1,10-6,186-109,2-1,37,10.13,2.63,0.36,-0.175,-5.12
삼성,레예스,7.0,22,1,0,0,0,0,6,0,7-8,92-62,0-0,81,1.50,0.33,0.57,0.301,3.82
삼성,이호성,1.0,2,0,0,0,0,0,1,0,1-0,8-5,1-0,,3.18,0.88,0.30,0.024,1.06
삼성,백정현,1.0,3,0,0,0,0,0,0,0,0-2,9-7,0-0,,2.70,0.45,0.00,0.000,0.61
삼성,팀 합계,9.0,27,1,0,0,0,0,7,0,8-10,109-74,1-0,81,0.00,0.11,0.29,0.325,5.49
