팀 이름,타순,이름,Pos.,PA,AB,R,H,HR,RBI,BB,HBP,SO,GO,FO,NP,GDP,LOB,AVG,OPS,LI,WPA,RE24
LG,1,홍창기,RF,4,3,2,1,0,0,1,0,1,1,0,15,0,2,0.286,0.746,0.36,0.047,0.08
LG,,송찬의,LF,1,1,0,0,0,0,0,0,1,0,0,3,0,0,0.273,0.818,0.00,0.000,-0.29
LG,2,신민재,2B,4,3,2,1,0,1,1,0,0,1,1,21,0,0,0.314,0.758,0.63,0.073,0.80
LG,,구본혁,2B,1,1,0,0,0,0,0,0,0,1,0,2,0,0,0.167,0.626,0.00,0.000,-0.19
LG,3,오스틴,1B,4,4,2,1,0,2,0,0,0,1,2,12,0,3,0.341,1.194,0.90,0.170,2.30
LG,,문정빈,"1B,3B",1,0,1,0,0,0,0,1,0,0,0,2,0,0,0.167,0.703,0.00,0.000,0.13
LG,4,문보경,"3B,1B",5,5,1,3,0,3,0,0,0,1,0,14,0,0,0.400,1.186,0.53,0.166,2.87
LG,5,오지환,SS,5,4,1,2,0,3,0,0,0,0,3,18,0,1,0.302,0.761,0.27,0.001,0.92
LG,6,김현수,DH,5,4,1,1,1,1,1,0,0,2,1,12,0,3,0.303,0.819,0.16,-0.014,0.29
LG,7,박동원,C,4,4,1,3,1,2,0,0,0,1,0,12,0,0,0.342,0.997,0.14,-0.002,2.40
LG,,이주헌,C,1,0,0,0,0,0,1,0,0,0,0,5,0,0,0.400,0.971,0.00,0.000,0.45
LG,8,함창건,"LF,RF",5,5,0,0,0,0,0,0,2,0,3,18,0,4,0.000,0.000,0.10,-0.012,-1.82
LG,9,박해민,CF,3,2,2,1,0,0,1,0,1,0,0,15,0,1,0.242,0.722,0.10,0.010,0.33
LG,,최원영,CF,2,2,0,0,0,0,0,0,0,2,0,4,1,0,0.000,0.000,0.00,0.000,-0.74
LG,팀 합계,,,45,38,13,13,2,12,5,1,5,10,10,153,1,14,0.342,0.948,1.06,0.439,7.53
키움,1,푸이그,LF,4,4,0,2,0,0,0,0,0,1,1,11,0,4,0.286,0.857,0.25,0.040,0.71
키움,,박주홍,LF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.231,0.671,0.00,0.000,0.00
키움,2,이주형,CF,4,4,0,0,0,0,0,0,2,2,0,17,2,4,0.294,0.812,0.43,-0.079,-3.38
키움,,임병욱,CF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.250,0.650,0.00,0.000,0.00
키움,3,최주환,1B,4,4,0,0,0,0,0,0,0,1,3,16,0,4,0.309,0.859,0.12,-0.012,-1.55
키움,,박주성,P,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.00,0.000,0.00
키움,4,장재영,RF,4,3,0,0,0,0,1,0,1,1,1,15,0,1,0.000,0.200,0.05,-0.005,-0.38
키움,5,송성문,2B,3,3,1,2,0,0,0,0,0,0,1,6,0,0,0.212,0.632,0.05,0.000,0.55
키움,,전태현,"PR,2B",1,1,0,0,0,0,0,0,0,0,1,4,0,1,0.367,0.874,0.00,0.000,-0.44
키움,6,여동욱,3B,4,3,0,0,0,0,1,0,1,1,1,18,1,1,0.188,0.691,0.04,-0.004,-0.63
키움,7,강진성,"DH,1B",4,3,0,0,0,0,1,0,1,2,0,14,1,2,0.250,0.650,0.04,-0.003,-1.24
키움,8,오선진,SS,3,2,0,1,0,1,1,0,0,1,0,10,0,0,0.250,0.690,0.04,0.002,1.25
키움,9,김건희,C,3,3,0,1,0,0,0,0,1,1,0,9,0,1,0.200,0.450,0.03,-0.001,0.63
키움,팀 합계,,,34,30,1,6,0,1,4,0,6,10,8,120,4,18,0.200,0.494,0.35,-0.062,-4.48
