팀 이름,타순,이름,Pos.,PA,AB,R,H,HR,RBI,BB,HBP,SO,GO,FO,NP,GDP,LOB,AVG,OPS,LI,WPA,RE24
NC,1,박민우,2B,4,3,1,2,0,0,1,0,0,1,0,18,0,0,0.353,0.965,1.44,0.251,1.54
NC,2,김주원,SS,4,4,0,1,0,0,0,0,3,0,0,19,0,3,0.256,0.702,2.05,-0.217,-1.55
NC,3,손아섭,RF,4,4,0,0,0,1,0,0,1,2,1,19,0,1,0.385,0.955,1.84,-0.127,-0.72
NC,4,데이비슨,1B,4,4,0,0,0,0,0,0,4,0,0,18,0,1,0.286,0.884,1.43,-0.157,-0.83
NC,5,권희동,DH,3,3,0,0,0,0,0,0,1,2,0,13,0,0,0.414,1.122,0.83,-0.063,-0.71
NC,6,김휘집,3B,3,3,0,0,0,0,0,0,0,0,2,10,0,0,0.241,0.781,0.94,-0.071,-0.68
NC,7,박세혁,C,1,1,0,0,0,0,0,0,1,0,0,4,0,0,0.000,0.083,0.39,-0.010,-0.13
NC,,김형준,C,2,2,1,1,1,1,0,0,0,1,0,7,0,0,0.281,0.928,0.72,0.088,0.87
NC,8,천재환,"LF,CF",3,3,0,0,0,0,0,0,1,1,1,15,0,0,0.188,0.376,1.22,-0.092,-0.78
NC,9,박시원,CF,2,2,0,0,0,0,0,0,1,0,0,6,0,0,0.333,0.846,0.74,-0.036,-0.39
NC,,한재환,"PH,LF",1,1,0,0,0,0,0,0,1,0,0,4,0,0,0.294,0.627,1.03,-0.027,-0.13
NC,,송승환,LF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.00,0.000,0.00
NC,팀 합계,,,31,30,2,4,1,2,1,0,13,7,4,133,0,5,0.133,0.428,3.16,-0.461,-3.51
KT,1,로하스,RF,4,3,1,0,0,0,1,0,2,0,1,20,0,2,0.174,0.633,0.96,-0.066,-1.03
KT,,최성민,RF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.167,0.334,0.00,0.000,0.00
KT,2,허경민,3B,4,4,1,1,0,0,0,0,0,2,1,14,0,1,0.308,0.692,0.85,-0.007,-0.27
KT,3,강백호,DH,4,3,0,0,0,0,1,0,1,1,1,16,0,2,0.222,0.652,0.90,-0.061,-0.92
KT,4,김민혁,LF,4,3,0,1,0,0,1,0,0,2,0,13,0,0,0.341,0.816,0.95,0.034,0.19
KT,,유준규,LF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.00,0.000,0.00
KT,5,장성우,C,4,3,0,1,0,2,1,0,2,0,0,17,0,2,0.152,0.431,1.48,0.154,1.01
KT,6,김상수,2B,4,3,0,0,0,0,1,0,0,3,0,18,0,3,0.343,0.997,0.84,-0.072,-0.96
KT,7,황재균,1B,4,4,1,1,0,0,0,0,1,1,0,12,0,1,0.185,0.436,1.05,0.136,0.96
KT,8,배정대,CF,3,2,0,0,0,0,1,0,2,0,0,20,0,1,0.250,0.686,0.60,-0.051,-0.51
KT,9,권동진,SS,3,2,0,0,0,0,1,0,1,0,1,12,0,0,0.300,0.964,0.97,-0.028,-0.34
KT,,장준원,SS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.00,0.000,0.00
KT,팀 합계,,,34,27,3,4,0,2,7,0,9,9,4,142,0,12,0.148,0.472,2.87,0.039,-1.87
