팀 이름,타순,이름,Pos.,PA,AB,R,H,HR,RBI,BB,HBP,SO,GO,FO,NP,GDP,LOB,AVG,OPS,LI,WPA,RE24
SSG,1,최지훈,CF,5,5,1,1,0,0,0,0,2,2,0,17,0,0,0.279,0.719,0.91,-0.008,-0.23
SSG,2,정준재,2B,4,3,1,0,0,0,1,0,2,0,1,26,0,1,0.184,0.558,0.80,-0.038,-0.62
SSG,,김성현,PH,1,1,0,0,0,0,0,0,1,0,0,5,0,0,0.167,0.453,0.04,-0.001,-0.13
SSG,3,에레디아,LF,4,4,0,3,0,0,0,0,0,0,1,11,0,0,0.317,0.773,0.87,0.109,0.89
SSG,4,한유섬,RF,4,4,0,1,0,2,0,0,0,3,0,11,0,2,0.222,0.588,1.38,0.092,0.61
SSG,5,오태곤,1B,2,2,0,0,0,0,0,0,0,2,0,5,0,1,0.273,0.840,0.92,-0.050,-0.54
SSG,,고명준,1B,2,2,0,0,0,0,0,0,2,0,0,9,0,2,0.226,0.540,1.55,-0.071,-0.92
SSG,6,박성한,SS,4,2,0,0,0,0,2,0,2,0,0,26,0,0,0.290,0.940,1.08,0.037,0.19
SSG,7,이지영,C,4,4,1,2,1,1,0,0,0,0,2,16,0,3,0.161,0.470,1.56,-0.078,0.44
SSG,,조형우,C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.167,0.334,0.00,0.000,0.00
SSG,8,최준우,DH,4,2,0,0,0,0,2,0,1,1,0,15,0,0,0.000,0.375,1.04,0.041,0.56
SSG,9,박지환,3B,3,3,0,0,0,0,0,0,1,1,0,19,0,3,0.167,0.379,1.66,-0.211,-1.46
SSG,,안상현,3B,1,1,0,0,0,0,0,0,0,0,1,5,0,0,0.250,0.583,0.34,-0.009,-0.29
SSG,팀 합계,,,38,33,3,7,1,3,5,0,11,9,5,165,0,12,0.212,0.619,3.04,-0.187,-1.50
삼성,1,이재현,SS,5,4,2,1,0,0,1,0,0,2,1,9,0,1,0.304,1.032,0.63,0.013,0.11
삼성,2,김성윤,CF,4,4,0,1,0,1,0,0,2,1,0,13,0,2,0.435,1.132,1.10,-0.009,0.01
삼성,3,김영웅,3B,4,4,1,2,0,2,0,0,1,0,1,12,0,0,0.352,0.929,0.88,0.102,2.06
삼성,4,강민호,C,4,4,0,1,0,2,0,0,1,2,0,12,0,2,0.375,0.965,0.67,0.073,0.22
삼성,5,디아즈,1B,4,3,0,1,0,0,1,0,2,0,0,17,0,0,0.259,0.830,0.52,0.013,0.10
삼성,6,구자욱,LF,4,4,1,1,0,0,0,0,2,0,1,17,0,3,0.179,0.575,0.68,-0.030,-0.77
삼성,7,박병호,DH,4,4,1,1,1,1,0,0,1,1,1,16,0,3,0.213,0.913,0.77,0.056,0.10
삼성,8,류지혁,2B,4,4,1,2,0,1,0,0,0,2,0,20,0,0,0.325,0.742,0.61,0.112,0.73
삼성,9,김헌곤,RF,4,4,1,1,0,0,0,0,1,1,1,18,0,1,0.250,0.727,0.49,-0.015,-0.44
삼성,팀 합계,,,37,35,7,11,1,7,2,0,10,9,5,134,0,12,0.314,0.808,1.27,0.315,2.12
