팀 이름,이름,IP,TBF,H,R,ER,BB,HBP,K,HR,GO-FO,NP-S,IR-IS,GSC,ERA,WHIP,LI,WPA,RE24
SSG,송영진,5.0,22,6,3,3,1,0,7,1,5-3,76-50,0-0,49,3.18,1.24,0.81,-0.093,0.05
SSG,김건우,0.2,8,5,4,4,1,0,1,0,1-0,28-17,0-0,,6.43,1.57,0.98,-0.232,-3.91
SSG,최민준,1.1,4,0,0,0,0,0,2,0,1-1,16-10,2-0,,0.00,0.43,0.08,0.008,1.13
SSG,최현석,1.0,3,0,0,0,0,0,0,0,2-1,14-9,0-0,,0.00,0.00,0.04,0.003,0.61
SSG,팀 합계,8.0,37,11,7,7,2,0,10,1,9-5,134-86,2-0,49,7.88,1.63,0.48,-0.314,-2.12
삼성,최원태,5.0,25,6,2,2,5,0,3,0,7-3,104-62,0-0,45,4.50,1.69,1.45,0.069,0.05
삼성,이호성,1.0,3,0,0,0,0,0,2,0,1-0,12-7,0-0,,2.70,0.75,1.05,0.080,0.61
삼성,배찬승,1.0,3,0,0,0,0,0,1,0,1-1,14-9,0-0,,1.93,1.29,0.22,0.017,0.61
삼성,이승현,0.2,3,1,1,1,0,0,2,1,0-0,16-9,0-0,,11.81,2.25,0.16,0.002,-0.52
삼성,백정현,1.1,4,0,0,0,0,0,3,0,0-1,19-15,0-0,,2.25,0.38,0.17,0.018,0.74
삼성,팀 합계,9.0,38,7,3,3,5,0,11,1,9-5,165-102,0-0,45,3.00,1.33,0.61,0.186,1.49
