팀 이름,이름,IP,TBF,H,R,ER,BB,HBP,K,HR,GO-FO,NP-S,IR-IS,GSC,ERA,WHIP,LI,WPA,RE24
한화,문동주,4.0,17,5,4,3,0,0,5,1,5-2,64-40,0-0,43,5.73,1.00,0.96,-0.262,-1.56
한화,조동욱,0.1,3,1,0,0,0,1,0,0,0-0,9-7,0-0,,3.52,1.57,1.12,-0.034,-0.56
한화,김종수,1.2,6,1,0,0,0,0,3,0,1-1,21-16,2-0,,1.04,1.27,1.31,0.129,1.78
한화,김범수,1.0,3,0,0,0,0,0,0,0,1-2,9-6,0-0,,0.00,1.20,1.16,0.088,0.61
한화,박상원,0.1,2,1,1,1,0,0,0,0,1-0,7-3,0-0,,6.00,1.33,2.86,-0.145,-0.39
한화,한승혁,0.2,4,0,0,0,2,0,0,0,1-1,16-7,1-1,,6.35,2.29,2.38,-0.125,-0.45
한화,김서현,1.0,3,0,0,0,0,0,1,0,1-0,10-8,1-0,,0.00,0.60,3.67,0.211,1.06
한화,정우주,1.0,4,0,0,0,1,0,1,0,0-2,19-12,0-0,,6.35,1.06,1.93,0.137,0.61
한화,이상규,0.2,6,3,1,1,1,0,0,0,0-2,16-9,0-0,,13.50,6.00,3.88,-0.363,0.61
한화,팀 합계,10.2,48,11,6,5,4,1,10,1,10-10,171-108,4-1,43,4.22,1.41,2.14,-0.364,1.71
두산,최승용,6.0,26,6,3,3,2,1,2,1,6-8,76-46,0-0,48,4.15,1.27,0.93,0.028,-0.35
두산,박치국,0.1,3,2,1,1,0,0,1,0,0-0,11-6,0-0,,5.40,1.50,1.76,-0.074,-0.56
두산,이영하,0.2,3,1,0,0,0,0,1,0,0-1,11-7,2-1,,4.00,1.67,3.29,-0.033,0.17
두산,김명신,0.1,4,3,1,1,0,0,0,0,0-1,14-7,0-0,,9.00,2.67,2.03,-0.283,-1.56
두산,이병헌,0.2,2,0,0,0,0,0,1,0,0-1,11-6,2-0,,5.40,0.90,1.80,0.086,1.17
두산,김택연,2.0,6,0,0,0,0,0,3,0,0-2,22-17,0-0,,0.00,0.38,1.81,0.275,1.22
두산,최지강,1.0,3,0,0,0,0,0,1,0,0-1,13-7,0-0,,0.00,0.00,1.81,0.137,0.61
두산,팀 합계,11.0,47,12,5,5,2,1,9,1,6-14,158-96,4-1,48,4.09,1.27,1.92,0.136,0.70
