팀 이름,타순,이름,Pos.,PA,AB,R,H,HR,RBI,BB,HBP,SO,GO,FO,NP,GDP,LOB,AVG,OPS,LI,WPA,RE24
KIA,1,박찬호,SS,4,3,0,0,0,0,1,0,1,1,0,20,1,0,0.160,0.476,0.70,-0.056,-1.05
KIA,,최정용,PH,1,1,0,0,0,0,0,0,1,0,0,5,0,0,0.250,0.500,0.02,0.000,-0.13
KIA,2,박재현,CF,4,4,1,1,0,0,0,0,1,2,0,17,0,1,0.158,0.411,0.60,-0.040,-0.58
KIA,3,나성범,DH,4,3,1,2,0,1,1,0,0,1,0,20,0,0,0.280,1.018,0.50,0.070,1.33
KIA,4,위즈덤,1B,4,3,1,1,0,0,1,0,1,1,0,24,0,2,0.245,0.977,0.94,-0.030,0.01
KIA,5,이우성,LF,4,4,0,2,0,2,0,0,1,0,1,13,0,2,0.250,0.762,1.00,0.046,1.39
KIA,6,변우혁,3B,4,3,0,0,0,0,1,0,1,2,0,17,0,1,0.282,0.666,0.92,-0.047,-0.59
KIA,7,최원준,RF,4,4,0,0,0,0,0,0,0,3,1,11,0,3,0.200,0.533,0.96,-0.085,-1.27
KIA,8,김태군,C,3,3,0,0,0,0,0,0,0,2,1,8,0,2,0.214,0.508,0.71,-0.061,-1.06
KIA,,한준수,PH,1,1,0,0,0,0,0,0,1,0,0,5,0,0,0.143,0.623,0.16,-0.004,-0.29
KIA,9,서건창,2B,3,2,0,0,0,0,1,0,1,1,0,15,0,0,0.118,0.343,0.60,0.000,-0.03
KIA,,김규성,2B,1,1,0,0,0,0,0,0,1,0,0,6,0,0,0.220,0.517,0.07,-0.002,-0.19
KIA,팀 합계,,,37,32,3,6,0,3,5,0,9,13,3,161,1,11,0.188,0.578,1.44,-0.209,-2.46
롯데,1,황성빈,CF,5,5,1,2,0,2,0,0,0,2,1,8,0,2,0.240,0.509,0.45,-0.005,0.65
롯데,2,고승민,2B,5,4,0,1,0,0,1,0,1,2,0,23,0,3,0.273,0.703,0.41,0.024,0.07
롯데,,이호준,2B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.238,0.836,0.00,0.000,0.00
롯데,3,전준우,LF,4,4,0,0,0,1,0,0,0,2,0,7,0,3,0.211,0.512,0.59,-0.040,-1.32
롯데,,장두성,RF,1,1,0,0,0,0,0,0,1,0,0,8,0,1,0.235,0.470,0.03,-0.001,-0.38
롯데,4,레이예스,"RF,LF",4,3,0,1,0,1,0,0,0,2,1,17,0,2,0.297,0.689,0.42,-0.012,0.07
롯데,5,유강남,C,4,4,1,2,0,0,0,0,2,0,0,21,0,2,0.355,0.992,0.38,0.030,-0.15
롯데,,정보근,C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.250,0.562,0.00,0.000,0.00
롯데,6,김민성,3B,4,3,1,0,0,0,0,1,0,2,1,18,0,2,0.244,0.643,0.58,0.034,-0.34
롯데,7,나승엽,1B,4,4,1,2,1,3,0,0,0,2,0,18,0,0,0.228,0.779,0.61,0.196,2.15
롯데,8,정훈,DH,4,4,1,3,0,0,0,0,0,0,0,13,0,0,0.283,0.797,0.31,0.046,1.69
롯데,,한태양,"PR,DH",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.571,1.381,0.00,0.000,0.00
롯데,9,전민재,SS,4,4,2,2,0,0,0,0,1,1,0,17,0,2,0.375,0.919,0.38,0.018,0.72
롯데,팀 합계,,,39,36,8,13,1,7,1,1,5,13,3,150,0,17,0.361,0.913,0.83,0.290,3.16
