팀 이름,이름,IP,TBF,H,R,ER,BB,HBP,K,HR,GO-FO,NP-S,IR-IS,GSC,ERA,WHIP,LI,WPA,RE24
KIA,윤영철,1.0,11,6,6,6,1,1,0,1,3-0,37-25,0-0,16,24.00,5.33,0.96,-0.338,-5.44
KIA,황동하,4.0,15,3,0,0,0,0,1,0,7-2,50-36,3-2,,6.00,1.50,0.26,-0.003,1.08
KIA,최지민,1.1,5,1,0,0,0,0,1,0,2-0,25-19,2-0,,2.35,1.70,0.44,0.053,1.75
KIA,이형범,1.0,5,2,2,1,0,0,1,0,1-1,25-17,1-0,,3.00,1.67,0.19,-0.001,-0.54
KIA,이준영,0.2,3,1,0,0,0,0,2,0,0-0,13-10,1-1,,6.23,2.31,0.04,-0.002,0.00
KIA,팀 합계,8.0,39,13,8,7,1,1,5,1,13-3,150-107,7-3,16,7.88,1.75,0.38,-0.291,-3.15
롯데,반즈,5.0,23,5,3,3,4,0,3,0,9-1,98-60,0-0,44,6.33,1.64,0.77,0.067,0.03
롯데,김상수,1.1,5,0,0,0,1,0,0,0,4-0,21-13,0-0,,10.80,2.70,0.68,0.044,0.60
롯데,정현수,0.1,2,1,0,0,0,0,1,0,0-0,8-7,1-0,,4.26,1.11,0.96,0.007,0.07
롯데,정철원,1.0,3,0,0,0,0,0,2,0,0-1,16-9,2-0,,6.75,1.75,1.02,0.079,1.02
롯데,김원중,1.1,4,0,0,0,0,0,3,0,0-1,18-13,0-0,,1.29,1.57,0.12,0.013,0.73
롯데,팀 합계,9.0,37,6,3,3,5,0,9,0,13-3,161-102,3-0,44,3.00,1.22,0.71,0.210,2.45
