팀 이름,타순,이름,Pos.,PA,AB,R,H,HR,RBI,BB,HBP,SO,GO,FO,NP,GDP,LOB,AVG,OPS,LI,WPA,RE24
한화,1,이도윤,2B,5,4,0,0,0,0,1,0,3,1,0,19,0,3,0.222,0.744,0.65,-0.038,-1.15
한화,2,플로리얼,CF,5,5,1,1,0,0,0,0,1,1,1,21,1,1,0.180,0.537,0.88,0.015,-0.75
한화,,이상혁,CF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.00,0.000,0.00
한화,3,문현빈,DH,5,5,2,4,0,0,0,0,0,1,0,20,0,0,0.286,0.833,1.02,0.121,0.86
한화,4,노시환,3B,5,4,2,1,0,0,1,0,2,1,0,26,0,2,0.217,0.671,0.85,-0.008,0.23
한화,5,채은성,1B,5,4,0,1,0,0,1,0,1,1,1,19,0,3,0.189,0.542,0.76,-0.032,0.62
한화,6,김태연,LF,5,4,1,3,0,3,1,0,0,0,1,23,0,1,0.241,0.606,0.89,0.174,2.68
한화,7,이진영,RF,3,3,0,1,0,0,0,0,0,1,1,14,0,1,0.261,0.792,0.94,-0.047,-0.39
한화,,이원석,"PR,RF",2,2,1,0,0,0,0,0,1,1,0,11,1,3,0.000,0.000,0.33,-0.001,-1.58
한화,8,이재원,C,4,3,0,1,0,2,1,0,0,1,1,18,0,1,0.235,0.513,0.56,0.037,1.74
한화,9,하주석,SS,4,4,0,1,0,0,0,0,1,1,1,14,0,1,0.250,0.500,0.45,-0.038,-0.73
한화,팀 합계,,,43,38,7,13,0,5,5,0,9,9,6,185,2,16,0.342,0.814,2.44,0.183,1.53
두산,1,정수빈,CF,4,4,0,0,0,0,0,0,3,1,0,18,0,0,0.310,0.742,0.43,-0.044,-0.73
두산,,박지훈,CF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.00,0.000,0.00
두산,2,케이브,RF,4,4,0,2,0,0,0,0,2,0,0,22,0,0,0.250,0.708,0.51,0.089,0.55
두산,3,양의지,C,3,3,0,0,0,0,0,0,1,1,1,7,0,2,0.291,0.832,0.91,-0.082,-1.07
두산,,박준영,SS,1,0,0,0,0,0,1,0,0,0,0,4,0,0,0.200,0.590,0.08,0.005,0.29
두산,4,양석환,1B,4,4,0,0,0,0,0,0,1,0,3,14,0,3,0.298,0.824,0.64,-0.072,-1.27
두산,5,강승호,3B,4,4,0,0,0,0,0,0,2,1,1,12,0,2,0.286,0.801,0.62,-0.067,-1.05
두산,6,김재환,DH,3,3,1,1,0,0,0,0,0,1,1,11,0,0,0.200,0.570,0.64,-0.042,-0.03
두산,7,추재현,LF,3,3,1,1,1,2,0,0,0,1,1,10,0,0,0.276,0.840,0.49,-0.020,1.23
두산,8,박계범,"SS,2B",3,3,0,0,0,0,0,0,0,3,0,11,0,0,0.300,0.756,0.63,-0.048,-0.70
두산,9,오명진,2B,2,2,0,0,0,0,0,0,0,2,0,7,0,0,0.111,0.283,0.60,-0.030,-0.48
두산,,김기연,C,1,1,0,0,0,0,0,0,1,0,0,4,0,0,0.316,0.632,0.17,-0.004,-0.19
두산,팀 합계,,,32,31,2,4,1,2,1,0,10,10,7,120,0,7,0.129,0.414,1.14,-0.315,-3.45
