팀 이름,타순,이름,Pos.,PA,AB,R,H,HR,RBI,BB,HBP,SO,GO,FO,NP,GDP,LOB,AVG,OPS,LI,WPA,RE24
NC,1,박민우,2B,4,3,1,1,0,0,1,0,1,0,1,14,0,0,0.385,1.121,0.71,0.001,0.73
NC,,서호철,2B,1,1,0,0,0,0,0,0,0,1,0,5,0,0,0.250,0.650,0.03,-0.001,-0.32
NC,2,김주원,SS,4,2,2,1,0,0,2,0,0,0,1,18,0,2,0.250,0.607,0.84,0.037,0.48
NC,,도태훈,SS,1,1,0,0,0,0,0,0,1,0,0,4,0,0,0.000,0.000,0.02,0.000,-0.19
NC,3,손아섭,DH,4,4,1,3,0,0,0,0,0,0,1,11,0,1,0.400,0.855,1.07,0.127,2.41
NC,,김형준,"PH,DH",1,1,0,0,0,0,0,0,1,0,0,6,0,0,0.250,0.500,0.01,0.000,-0.16
NC,4,데이비슨,1B,5,4,0,1,0,1,0,0,2,0,2,17,0,7,0.400,1.162,1.19,-0.078,-2.52
NC,5,박건우,RF,3,2,0,1,0,2,0,0,0,1,1,12,0,4,0.300,0.673,1.28,0.028,0.04
NC,,박시원,RF,2,2,1,1,0,0,0,0,0,0,1,5,0,0,0.500,1.500,0.02,0.002,0.57
NC,6,권희동,LF,3,2,0,1,0,1,0,1,1,0,0,7,0,1,0.333,0.969,0.77,0.060,1.35
NC,,천재환,LF,2,2,0,0,0,0,0,0,1,1,0,7,0,1,0.000,0.000,0.03,-0.002,-0.53
NC,7,박세혁,C,4,4,0,0,0,0,0,0,2,0,2,16,0,4,0.000,0.000,0.89,-0.090,-2.52
NC,8,김휘집,3B,3,2,0,0,0,0,1,0,0,0,2,12,0,1,0.143,0.476,0.79,-0.014,0.23
NC,,한재환,3B,1,1,0,1,0,1,0,0,0,0,0,8,0,0,0.500,1.000,0.01,0.001,0.92
NC,9,김성욱,CF,4,4,0,0,0,0,0,0,2,1,1,12,0,3,0.000,0.000,0.58,-0.058,-1.62
NC,팀 합계,,,42,35,5,10,0,5,4,1,11,4,12,154,0,24,0.286,0.671,1.65,0.013,-1.13
삼성,1,김지찬,CF,4,3,3,2,0,0,1,0,0,0,1,20,0,2,0.615,1.412,0.90,0.061,0.87
삼성,,김성윤,CF,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0.500,1.000,0.01,0.000,0.71
삼성,2,이재현,SS,3,2,1,1,1,3,1,0,1,0,0,19,0,2,0.429,1.692,1.23,0.279,2.30
삼성,,양도근,SS,2,1,0,0,0,0,0,0,0,0,0,2,0,2,0.000,0.000,0.14,-0.003,-1.06
삼성,3,구자욱,LF,4,2,2,2,1,4,1,0,0,0,1,10,0,1,0.455,1.591,0.79,0.086,3.20
삼성,,홍현빈,"PH,LF",1,1,0,0,0,0,0,0,1,0,0,4,0,1,0.000,0.000,0.01,0.000,-0.29
삼성,4,강민호,C,5,4,1,0,0,0,1,0,1,2,1,22,0,4,0.231,0.795,0.47,0.021,0.25
삼성,,이병헌,C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.00,0.000,0.00
삼성,5,디아즈,1B,5,4,0,0,0,0,1,0,2,1,1,20,1,3,0.385,1.246,0.55,-0.104,-2.29
삼성,6,박병호,DH,5,3,2,1,1,1,2,0,0,1,1,23,0,1,0.333,1.384,0.36,-0.005,1.54
삼성,7,김영웅,3B,4,4,2,3,1,4,0,0,1,0,0,16,0,0,0.538,1.538,0.46,0.067,3.17
삼성,,전병우,3B,1,1,0,0,0,0,0,0,1,0,0,6,0,0,0.000,0.000,0.00,0.000,-0.19
삼성,8,김헌곤,RF,3,3,1,1,0,0,0,0,0,1,1,11,1,1,0.400,1.100,0.80,-0.022,-0.95
삼성,,윤정빈,"PH,RF",2,1,0,0,0,0,1,0,1,0,0,9,0,0,0.000,0.250,0.00,0.000,0.03
삼성,9,류지혁,2B,4,3,2,1,0,1,0,1,1,1,0,15,0,1,0.556,1.139,0.68,0.132,1.25
삼성,팀 합계,,,44,33,14,12,4,13,8,1,9,6,6,178,2,18,0.364,1.306,1.28,0.512,8.54
