팀 이름,타순,이름,Pos.,PA,AB,R,H,HR,RBI,BB,HBP,SO,GO,FO,NP,GDP,LOB,AVG,OPS,LI,WPA,RE24
롯데,1,황성빈,CF,4,4,0,2,0,0,0,0,1,1,0,15,0,2,0.182,0.364,1.38,0.010,0.02
롯데,2,윤동희,RF,4,3,0,1,0,0,1,0,0,2,0,13,0,2,0.214,0.567,1.70,0.031,0.88
롯데,3,손호영,3B,4,4,0,0,0,0,0,0,1,1,2,19,1,2,0.250,0.544,1.76,-0.258,-3.23
롯데,4,레이예스,LF,4,4,0,0,0,0,0,0,0,3,1,11,1,1,0.250,0.607,1.08,-0.136,-0.36
롯데,5,나승엽,1B,3,3,0,1,0,0,0,0,1,1,0,9,0,0,0.188,0.438,1.28,0.017,0.06
롯데,,장두성,PR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.000,2.000,0.00,0.000,0.00
롯데,,최항,"1B,2B",1,1,0,0,0,0,0,0,0,0,1,4,0,0,0.000,0.000,0.44,-0.012,-0.16
롯데,6,전준우,DH,3,3,1,1,0,0,0,0,0,2,0,11,0,1,0.250,0.607,1.43,-0.050,-0.65
롯데,7,전민재,"2B,SS",3,3,0,1,0,0,0,0,0,2,0,9,1,0,0.333,0.844,1.41,-0.063,-0.14
롯데,8,박승욱,SS,2,2,0,0,0,0,0,0,2,0,0,9,0,2,0.000,0.000,1.79,-0.084,-1.03
롯데,,정훈,"PH,1B",1,1,0,0,0,0,0,0,0,1,0,5,0,0,0.250,0.750,2.16,-0.055,-0.32
롯데,9,정보근,C,3,3,0,1,0,1,0,0,1,1,0,9,0,0,0.400,0.955,1.44,0.066,0.80
롯데,팀 합계,,,32,31,1,7,0,1,1,0,6,14,4,114,3,10,0.226,0.476,2.65,-0.534,-4.13
SSG,1,최지훈,CF,4,4,1,1,1,1,0,0,0,1,1,10,0,3,0.267,0.800,1.02,0.013,-0.35
SSG,2,정준재,2B,4,4,1,2,0,0,0,0,2,0,0,11,0,0,0.250,0.607,0.58,0.042,0.99
SSG,3,오태곤,1B,4,2,0,0,0,0,1,0,0,1,1,15,0,2,0.143,0.904,0.85,-0.048,-0.88
SSG,4,에레디아,LF,4,3,0,0,0,0,1,0,1,1,1,11,0,1,0.200,0.635,0.89,-0.076,-1.42
SSG,5,하재훈,RF,4,3,0,1,0,1,1,0,1,1,0,16,0,0,0.231,0.748,0.74,0.016,0.43
SSG,,최상민,RF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.00,0.000,0.00
SSG,6,박성한,SS,4,3,1,1,0,0,1,0,2,0,0,17,0,3,0.333,0.982,0.57,0.020,-0.05
SSG,7,이지영,C,4,4,0,1,0,0,0,0,2,1,0,14,0,4,0.154,0.368,0.78,-0.026,-0.75
SSG,8,고명준,DH,2,1,0,0,0,0,1,0,1,0,0,11,0,1,0.273,0.658,0.94,-0.016,-0.27
SSG,,김성현,"PH,DH",1,0,0,0,0,0,0,0,0,0,0,3,0,1,0.000,0.000,1.15,-0.011,-0.31
SSG,9,박지환,3B,2,2,0,1,0,1,0,0,0,0,1,8,0,0,0.273,0.658,1.16,0.077,0.87
SSG,,한유섬,PH,1,1,0,0,0,0,0,0,0,1,0,4,0,1,0.100,0.200,1.05,-0.025,-0.73
SSG,,안상현,3B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.667,1.417,0.00,0.000,0.00
SSG,팀 합계,,,34,27,3,7,1,3,5,0,9,6,4,120,0,16,0.259,0.819,2.43,-0.034,-2.47
