등번호,이름,포지션
0,곽도규,투수
1,박찬호,야수
2,박민,야수
02,강이준,투수
3,김선빈,야수
4,유지성,투수
5,김도영,야수
6,홍종표,야수
06,장민기,투수
08,예진원,야수
8,이창진,야수
9,윤도현,야수
10,김태형,투수
11,조상우,투수
12,김두현,야수
13,윤영철,투수
14,김규성,야수
15,박정우,야수
016,정해원,야수
16,최원준,야수
17,임기영,투수
19,윤중현,투수
20,이준영,투수
21,김사윤,투수
22,주효상,야수
23,최정용,야수
24,김승현,투수
25,이우성,야수
26,한승택,야수
27,김호령,야수
28,이형범,투수
028,최건희,투수
29,변우혁,야수
029,나연우,투수
030,임다온,투수
031,엄준현,야수
31,박준표,투수
32,김현수,투수
032,이성원,투수
33,올러,투수
34,최형우,야수
35,김석환,야수
36,박재현,야수
036,박헌,야수
38,장재혁,투수
39,최지민,투수
40,네일,투수
41,황동하,투수
42,김태군,야수
43,김건국,투수
44,이상준,야수
45,위즈덤,야수
46,김정엽,투수
47,나성범,야수
48,이의리,투수
49,김민주,투수
50,유승철,투수
050,조대현,투수
51,전상현,투수
52,황대인,야수
53,김기훈,투수
54,양현종,투수
55,한준수,야수
56,오선우,야수
57,고종욱,야수
58,서건창,야수
59,양수호,투수
60,김도현,투수
61,김민재,투수
62,정해영,투수
63,이호민,투수
69,김대유,투수
